idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1831	vazo	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관
1832	vegetalo	{Ｂ}植物, =vegetaĵo	植物	식물
1833	vegetara	{Ｂ}菜食の	素食的，吃素的	채식의
1834	veki	{Ｂ}［他］目覚めさせる; 《転》呼び覚ます, 呼び起こす	唤醒	잠에서 깨우다, 각성시키다
1835	velki	{Ｂ}［自］枯れる, しおれる, しなびる; 《転》衰える, あせる	枯萎，凋谢；衰弱，衰老	꽃이나 잎이 시들다, 마르다
1836	velo	{Ｂ}【海】帆（ほ）; 【解】帆（はん）, （特に）口蓋帆, =palata 〜	帆	배나 풍차에 다는 돛
1837	vendi	{Ｂ}［他］売る, 売却する, 販売する; 《転》裏切る, 売り渡す	卖，出卖	돈을 받고 물건을 팔다
1838	vendredo	{Ｂ}金曜日	星期五	금요일
1839	veneno	{Ｂ}毒, 毒物, 毒薬, >>tokso; 《転》害毒	毒，毒物	생명을해치는독, 독약
1840	veni	{Ｂ}［自］来る, やって来る; 到着する, 行き着く; 達する	来	오다, 다가오다
1841	venki	{Ｂ}［他］勝つ, 打ち破る; 克服する, 打ち勝つ	战胜；克服	상대나 어려움을 이기다
1842	vento	{Ｂ}【気】風; 《転》空虚なもの	风	대기 중 움직이는 공기
1843	ventro	{Ｂ}【解】腹, 腹部; 【理】（定常波の）腹, ><〜	腹，肚子	몸의 배, 복부
1844	venĝi	{Ｂ}［他］恨みを晴らす, あだを討つ; ［自］復讐する, 報復する	替…报仇，复仇；报复	복수하다, 원수를 갚다
1845	vera	{Ｂ}本当の, 実際の; 真実の, 真の, 本物の	真，实在	참된, 진짜의
1846	verbo	{Ｂ}【Ｇ】動詞	动词	동사
1847	verda	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的；未成熟的；（语）世界语的；环保的	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인
1848	verko	{Ｂ}著作, 著書, 作品; 《転》しわざ, 所業	作品，著作	저작, 작품
1849	vermo	{Ｂ}（ミミズ・寄生虫などの）虫; （毛虫・いも虫など）幼虫; うじ虫	蠕虫，窝囊废	벌레, 유충, 구더기
1850	verso	{Ｂ}【文】詩句, 詩の一行	诗行，诗句	시의 한 행, 시구
1851	verŝi	{Ｂ}［他］（液体・光を）注ぐ; 流す, こぼす	倾倒，浇；倾泻，发泄	액체를 붓거나 쏟다
1852	vespero	{Ｂ}夕方, 夕べ, 夕暮れ, 日暮れ, 宵（よい）, 晩	傍晚；晚会	저녁 무렵
1853	vesto	{Ｂ}服, 着物; 衣服, 衣類; 《転》衣（ころも）	服装	옷, 의복
1854	vetero	{Ｂ}【気】天候, 天気, >>〜	天气	날씨, 기상 상태
1855	veti	{Ｂ}［他］賭ける	赌，赌博，打赌	내기하다
1856	veturi	{Ｂ}［自］（乗り物で）行く; （乗り物が）行く, 運行する	乘，搭乘；行驶	(탈것을)타고 가다
1857	veŝto	{Ｂ}【服】ベスト, チョッキ	背心，坎肩	조끼
1858	vi	{Ｂ}［代］あなた, おまえ, 君; あなたがた, おまえたち, 君たち	您，你们	당신, 너 등 2인칭 단·복수 대명사
1859	viando	{Ｂ}【料】肉（食肉）, >>〜	（食用的）肉，肉食	식용 고기, 살코기
1860	vico	{Ｂ}列, 行列, 並び; 番, 順番; 【数】数列	一列；队列	줄, 차례
1861	vidi	{Ｂ}［他］見る（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	看见	눈으로 보다
1862	vidvo	{Ｂ}男やもめ, 寡夫	鳏，鳏夫	홀아비, 사별한 남자
1863	vigla	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，生气勃勃；警觉的	활발하고 생기 있는; 경계심 있는
1864	viktimo	{Ｂ}【宗】いけにえ, >>oferaĵo; 《転》犠牲, 犠牲者, 被害者	祭祀用的牺牲；牺牲者，受害者	희생자, 피해자
1865	vilaĝo	{Ｂ}村	村；农村	마을
1866	vino	{Ｂ}【料】ぶどう酒, ワイン; 《般》果実酒, 酒	葡萄酒；酒	포도주, 과일로 만든 술
1867	vintro	{Ｂ}冬	冬天	겨울
1868	violo	{Ｂ}【植】スミレ（菫）（属）	堇菜属植物（紫罗兰）	제비꽃속 식물
1869	violono	{Ｂ}【楽】バイオリン	小提琴	바이올린
1870	vipo	{Ｂ}（皮ひもなどを短い棒につけた）むち（鞭）, >>〜, >>skurĝo	鞭子	가죽 끈이 달린 작은 막대기 채찍
1871	virga	{Ｂ}純潔な, 童貞の, 処女の; 《転》人手に触れたことのない, 未開発の; 《転》無垢の	童贞的，处女的，未经开垦的，未经污染的	순결한, 성경험 없는
1872	viro	{Ｂ}男, 男性, ><virino; 一人前の男; （生物の）雄, ><ino	男人；成年男子	성인 남자
1873	virto	{Ｂ}徳, 徳性, 美徳; 美点	德，善，品德，美德	도덕적 선, 미덕
1874	vitro	{Ｂ}ガラス; ガラス板, レンズ, ガラス製品; 【鉱】ガラス質	玻璃	유리, 유리 제품
1875	vivi	{Ｂ}［自］生きている, 生きる, 生存する; 生活する, 暮らす, 住む; 生計を立てる; （動物が）生息する, すむ; 《転》（記憶などに）残る	生活，活	생명이 있어 존재하며 살다
1876	vizaĝo	{Ｂ}顔, 顔面; 顔つき, 顔色; 《転》正面; 《転》表面	面部，面孔	사람의 얼굴
1877	viziti	{Ｂ}［他］訪問する, 訪れる; （見物・参拝・診察・面会・見舞などに）行く; （学校に）通う, 登校する	访问，拜访，参观，游览	사람이나 장소를 찾아가다, 방문하다
1878	viŝi	{Ｂ}［他］ふく, ぬぐう; ふき取る	揩，抹；抹去	닦다, 훔치다
1879	vojaĝi	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =〜; 《俗》（幻覚剤で）トリップする, 幻覚状態になる	旅行	여행하다
1880	vojo	{Ｂ}道, 道路; 通路, 街道; 道筋, 進路, 経路; 【情】パス, 経路; 《転》行き方, 方法, 手段	道路；路程；途径；方法；手段	길, 도로, 경로, 방법, 수단
1881	voki	{Ｂ}［他］（声を出して）呼ぶ; 呼び寄せる, 来させる	呼喊，呼唤，召唤	소리 내어 부르다, 호출하다
1882	voli	{Ｂ}［他］（～する）意志がある, ～したいと思う, ～したがる; （～ことを）望む, 願う; （ものを）欲する, 欲しがる; （～に）行きたい, 行きたがる	愿意，想要	무엇을 바라거나 하고자 하다
1883	volumeno	{Ｂ}【数】体積; 容積, 容量; かさ	体积，容积，容量	부피
1884	volumo	{Ｂ}（書籍などの）巻, 冊	卷，册，合订本	책 한 권, 권수
1885	volvi	{Ｂ}［他］巻く; 巻きつける	缠，绕	둘레를 감다
1886	vomi	{Ｂ}［他］吐く, 嘔吐（おうと）する	呕吐；吐出，喷出	토하다, 구토하다
1887	vorto	{Ｂ}【Ｇ】語; 単語; 言葉; 約束	词，话	낱말, 단어
1888	vosto	{Ｂ}尾, しっぽ; 《転》尾部, すそ	尾巴，尾部	동물의 꼬리, 꼬리 부분
1889	voĉo	{Ｂ}声, 声音, 発音; （裁決時の）票, 意見; 【楽】声部; 【Ｇ】態	嗓音，话语，表决	사람이 내는 목소리
1890	vualo	{Ｂ}【服】ベール; 覆い; 《転》覆い隠すもの	面纱，头巾	면사포, 베일
1891	vulpo	{Ｂ}【動】キツネ（狐）（種）; キツネ（属）	狐	여우
1892	vundo	{Ｂ}傷, けが, 負傷; 《転》心の痛手	伤，创伤，伤口	상처, 부상
1893	zinko	{Ｂ}【化】亜鉛（原子番号３０の金属元素）	锌	금속원소 아연
1894	zono	{Ｂ}【服】帯, ベルト, バンド; 帯状に取り巻くもの; 地帯, 圏, 区域	腰带；带，环状物	허리띠나 띠 모양의 구역
1895	zoologio	{Ｂ}動物学, =bestoscienco	动物学	동물학
1896	zorgi	{Ｂ}［自］配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける	照顾，关心，操劳	걱정하거나 마음을 쓰다
1897	zumi	{Ｂ}［自］（虫などが）ブンブンいう, （低い振動音で）うなる; ［他］【楽】ハミングする	嗡嗡叫，嗡鸣；絮语，唠叨，喃喃；哼唱；嘈杂	벌·기계 등이 윙윙거리는 소리를 내다
1898	ĉagreni	{Ｂ}［他］悩ませる, 困らせる, 苦しめる	使烦恼，使沮丧，使痛心	마음을 괴롭히고 불쾌하게 하다
1899	ĉambro	{Ｂ}部屋, 室	房间	방, 실
