idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1948	ĵurnalo	{Ｂ}（日刊）新聞; 日記, =taglibro; 【情】ログ; 【商】仕訳帳	日报，报纸，日记（帐）；（计）日志	신문, 특히 일간 신문；（컴퓨터） 로그
1949	ĵus	{Ｂ}［副］たった今	刚才，刚刚	방금, 막
1950	ŝafo	{Ｂ}【動】ヒツジ（羊）; 《転》（羊のように）従順な人	绵羊	양, 집에서 기르는 털 많은 가축
1951	ŝajni	{Ｂ}［自］（～と）見える; 思われる	好象；看样子	처럼 보이다
1952	ŝanceli	{Ｂ}［他］揺さぶる（ぐらつかせる）; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	摇晃，摇；使动摇	세게 흔들어 물체나 마음을 동요시키다
1953	ŝanco	{Ｂ}機会, 好機; 見込み, 可能性, 勝ち目	机会，时机	기회, 가능성
1954	ŝanĝi	{Ｂ}［他］変える, 変化させる, 変更する, 改める; 取り換える	换；改变	바꾸다, 변경하다
1955	ŝarĝi	{Ｂ}［他］（～に）荷を積み込む; 【機】負荷をかける; 《転》重荷を負わせる	装载，装满，摆满，使充满	짐을 싣다
1956	ŝati	{Ｂ}［他］価値を認める, 高く評価する, 尊重する; 好む, 好く, 愛好する, =〜	喜欢，重视，器重	좋아하다
1957	ŝaŭmo	{Ｂ}泡, あぶく, 泡沫（ほうまつ）; （馬などの）泡汗; 《転》はかないもの	泡沫，白沫，涎沫，（马、牛的）汗	액체 위에 생기는 거품
1958	ŝelo	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	外皮，壳；（计算机）命令解释器（shell）	껍질; (정보) 셸(명령 해석기)
1959	ŝerci	{Ｂ}［自］冗談を言う; おどける; からかう	开玩笑，取笑	농담하다
1960	ŝi	{Ｂ}［代］彼女	她	그녀
1961	ŝinko	{Ｂ}【料】ハム, >>〜	火腿	돼지고기 햄
1962	ŝipo	{Ｂ}船	船	배, 선박
1963	ŝiri	{Ｂ}［他］ちぎる, 破る, 裂く, 摘む; （無理に）引き離す, 引き裂く; 《転》（心を）かきむしる	撕开，撕裂；拔掉；摘	세게 잡아 찢거나 떼어내다
1964	ŝirmi	{Ｂ}［他］かばう, おおう; 防ぐ, 保護する, 守る; さえぎる, よける; 【理】遮蔽する	遮蔽；保护，掩护；防止	위험이나 손상으로부터 보호하다
1965	ŝlosi	{Ｂ}［他］鍵をかける; 《転》封じる, 閉ざす	锁；[~ilo]钥匙	자물쇠로 잠그다, 봉쇄하다
1966	ŝmiri	{Ｂ}［他］（油などを）塗る, 塗布する; （機械などに）グリースを塗る, 油を差す, >>〜; 《転》買収する	涂，抹，贿赂	바르다, 칠하다
1967	ŝnuro	{Ｂ}綱, なわ, ロープ; 【数】弦	绳	밧줄, 끈
1968	ŝoforo	{Ｂ}（職業的）運転手, >>aŭtisto	（职业性的）汽车司机	직업 운전기사
1969	ŝoveli	{Ｂ}［他］（シャベル・スコップで）すくう, すくい取る, かく	铲	삽으로 퍼내다
1970	ŝovi	{Ｂ}［他］押しやる, ずらせる, すべらす; 押し込む, 突っ込む; すべり込ます	推，推动	밀어 넣다, 미끄러지게 하다
1971	ŝpari	{Ｂ}［他］たくわえる, ためる, 貯蓄する; 節約する, 倹約する; =〜gi	节省，节约	돈이나 자원을 아껴 쓰다, 절약하다
1972	ŝpruci	{Ｂ}［自］噴き出る, わき出る, ほとばしる; 《転》不意に現れる, 躍り出る	喷射，喷洒，迸出；突然出现，涌现	액체가 세차게 분출하다
1973	ŝranko	{Ｂ}戸棚, 食器棚; 洋服ダンス	橱，柜	옷장과찬장등수납장
1974	ŝraŭbo	{Ｂ}【機】ねじ（雄ねじ）, ボルト	螺钉，螺丝，螺栓	나사, 볼트
1975	ŝtalo	{Ｂ}鋼鉄, 鋼（はがね）	钢	강철
1976	ŝtato	{Ｂ}（国民を統治する政治機構としての）国家, 国, 政府, >>〜; （米国やブラジルなどで）=〜（州）	国家，政府；（美国等）州	국가, 정부; (미국 등의) 주
1977	ŝteli	{Ｂ}［他］盗む; こっそり奪う	偷	남의 것을 훔치다
1978	ŝtofo	{Ｂ}反物, 織物, 布地; 材料, 生地	织物，织品	피륙, 직물, 옷감
1979	ŝtono	{Ｂ}石, 石材; 石塊, 石ころ; 宝石; 【医】結石	石；宝石；【医】结石	돌, 보석, 【의학】결석
1980	ŝtopi	{Ｂ}［他］（穴・隙間などを）ふさぐ, 栓をする, 詰め物をする, 埋める; ふさいで邪魔をする, 閉鎖する; 詰めこむ, いっぱいにする; （布や編み物の穴を）繕う, かがる, >>〜	堵塞；填满；封闭；（织物破损处）补上	막다, 가득 채우다, 봉쇄하다, （직물의 구멍을）꿰매 메우다
1981	ŝtrumpo	{Ｂ}【服】長靴下, ストッキング	长袜	긴 양말, 스타킹
1982	ŝtupo	{Ｂ}（階段の）段, （乗り物の）ステップ; 《転》段階; （多段式ロケットの）段	台阶；阶段，（等）级	계단의 단, 비유적으로는 단계
1983	ŝuldi	{Ｂ}［他］借りがある; 【商】債務を負う; （精神的）義務がある; 恩義を受けている, おかげである	欠，负有责任或义务	빚지다, 의무를 지다
1984	ŝultro	{Ｂ}【解】肩; 《転》肩状の部分	肩	어깨
1985	ŝuo	{Ｂ}靴（片方）, 短靴; 《転》靴状のもの	鞋	신발, 한 짝의 구두
1986	ŝuti	{Ｂ}［他］（粉粒を）まく, ばらまく; 《転》ぶちまける	倾，倒出，撒	(가루나 낟알을) 뿌리다, 쏟다
1987	ŝveli	{Ｂ}［自］ふくれる, ふくらむ, 膨張する, はれる; （過度に）増大する, ふくれあがる, （川が）増水する	膨胀，肿胀，充满	부피나 살이 부풀어 붓고 팽창하다
1988	ŝvito	{Ｂ}汗; 《転》にじみ出たもの	汗	땀
1989	-ad-	{Ｂ}［接尾辞］（継続・反復する行為を示す）, >>bros〜o, >>uz〜o	[后缀] 表示动作的持续或重复	행위의 계속·반복을 나타내는 접미사
1990	-an-	{Ｂ}［接尾辞］（構成員・住民・信奉者を示す）, >>parti〜o, >>toki〜o	[后缀] 表示成员、居民、信徒	구성원·주민·신도 나타내는 접미
1991	-ar-	{Ｂ}［接尾辞］（同種のものの集団を示す）, >>arb〜o, >>hom〜o	[后缀] 表示同种事物的集合	집단·무리를 나타내는 접미사
1992	-aĵ-	{Ｂ}［接尾辞］（具体化された事物を示す）, >>lign〜o, >>manĝ〜o	[后缀] 表示具体的事物	구체적 사물을 나타내는 접미사
1993	-ebl-	{Ｂ}［接尾辞］（受身の可能を示す）, >>manĝ〜a, >>kompren〜e	[后缀] 表示可能，可以被...	피동적 가능을 나타내는 접미사
1994	-ec-	{Ｂ}［接尾辞］（性質・特性を示す）, >>grand〜o, >>hom〜o	[后缀] 表示性质、状态	성질·특성이나 상태를 나타내는 〜
1995	-ej-	{Ｂ}［接尾辞］（場所を示す）, >>herb〜o, >>lern〜o	[后缀] 表示场所	접미사, 어떤 활동이 이루어지는 장소
1996	-em-	{Ｂ}［接尾辞］（傾向・習慣を示す）, >>babil〜a, >>toler〜o	[后缀] 表示倾向、习惯	어떤 행동이나 성향이 잘 나타나는
1997	-estr-	{Ｂ}［接尾辞］（長を示す）, >>urb〜o, >>lernej〜o	[后缀] 表示首长、领导者	우두머리를 나타내는 접미사
1998	-i-	{Ｂ}［学術接尾辞］（国名を示す）, =-uj-, >>Japanio, >>Koreio	[后缀] 表示国家（学术用）	나라 이름을 나타내는 학술 접미사
1999	-id-	{Ｂ}［接尾辞］（子・子孫を示す）, >>reĝ〜o, >>kok〜o / ［学術接尾辞］（化合物を示す）, >>cian〜o, >>klor〜o	[后缀] 表示后代、子孙 / [化学] 表示化合物	자손, 새끼를 나타내는 접미사；（화학） 화합물 접미사
