row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1854	vetero	{Ｂ}【気】天候, 天気, >>〜	天气	날씨, 기상 상태
1855	veti	{Ｂ}［他］賭ける	赌，赌博，打赌	내기하다
1856	veturi	{Ｂ}［自］（乗り物で）行く; （乗り物が）行く, 運行する	乘，搭乘；行驶	(탈것을)타고 가다
1857	veŝto	{Ｂ}【服】ベスト, チョッキ	背心，坎肩	조끼
1858	vi	{Ｂ}［代］あなた, おまえ, 君; あなたがた, おまえたち, 君たち	您，你们	당신, 너 등 2인칭 단·복수 대명사
1859	viando	{Ｂ}【料】肉（食肉）, >>〜	（食用的）肉，肉食	식용 고기, 살코기
1860	vico	{Ｂ}列, 行列, 並び; 番, 順番; 【数】数列	一列，队列；顺序，次序；轮次；（数）数列	줄, 열; 순서, 차례; (수학) 수열
1861	vidi	{Ｂ}［他］見る（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	看见；会见；看出，意识到；目击	보다, 보이다; 만나다; 알아차리다, 깨닫다; 목격하다
1862	vidvo	{Ｂ}男やもめ, 寡夫	鳏，鳏夫	홀아비, 사별한 남자
1863	vigla	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，生气勃勃；警觉的	활발하고 생기 있는; 경계심 있는
1864	viktimo	{Ｂ}【宗】いけにえ, >>oferaĵo; 《転》犠牲, 犠牲者, 被害者	祭祀用的牺牲；牺牲者，受害者	(종교) 제물, 희생물; 희생자, 피해자
1865	vilaĝo	{Ｂ}村	村；农村	마을
1866	vino	{Ｂ}【料】ぶどう酒, ワイン; 《般》果実酒, 酒	葡萄酒；酒	포도주, 과일로 만든 술
1867	vintro	{Ｂ}冬	冬天	겨울
1868	violo	{Ｂ}【植】スミレ（菫）（属）	堇菜属植物（紫罗兰）	제비꽃속 식물
1869	violono	{Ｂ}【楽】バイオリン	小提琴	바이올린
1870	vipo	{Ｂ}（皮ひもなどを短い棒につけた）むち（鞭）, >>〜, >>skurĝo	鞭子	가죽 끈이 달린 작은 막대기 채찍
1871	virga	{Ｂ}純潔な, 童貞の, 処女の; 《転》人手に触れたことのない, 未開発の; 《転》無垢の	童贞的，处女的，未经开垦的，未经污染的	순결한, 처녀·동정의; (비유) 손대지 않은, 미개간의; 순수한
1872	viro	{Ｂ}男, 男性, ><virino; 一人前の男; （生物の）雄, ><ino	男人，男性；成年男子；（生）雄性	남자, 남성; 성인 남자; (생물) 수컷
1873	virto	{Ｂ}徳, 徳性, 美徳; 美点	德，善，品德，美德	도덕적 선, 미덕
1874	vitro	{Ｂ}ガラス; ガラス板, レンズ, ガラス製品; 【鉱】ガラス質	玻璃	유리, 유리 제품
1875	vivi	{Ｂ}［自］生きている, 生きる, 生存する; 生活する, 暮らす, 住む; 生計を立てる; （動物が）生息する, すむ; 《転》（記憶などに）残る	活着，生存；生活，居住；以…为生；（动植物）生息；（转）留存于记忆	살다, 생존하다; 생활하다, 거주하다; 생계를 꾸리다; (동물) 서식하다; (비유) 기억에 남다
1876	vizaĝo	{Ｂ}顔, 顔面; 顔つき, 顔色; 《転》正面; 《転》表面	面部，面孔；脸色，神情；（转）正面，表面	얼굴; 안색, 표정; (비유) 정면, 표면
1877	viziti	{Ｂ}［他］訪問する, 訪れる; （見物・参拝・診察・面会・見舞などに）行く; （学校に）通う, 登校する	访问，拜访，参观，游览	방문하다, 찾아가다; (관광·진찰·문안 등으로) 가다; (학교에) 다니다
1878	viŝi	{Ｂ}［他］ふく, ぬぐう; ふき取る	揩，抹；抹去	닦다, 훔쳐 내다, 지우다
1879	vojaĝi	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =〜; 《俗》（幻覚剤で）トリップする, 幻覚状態になる	旅行；出差；（鸟等）迁徙；（俗）迷幻旅行	여행하다; 출장 가다; (새 등이) 이동·철새하다; (속어) 환각 상태가 되다
1880	vojo	{Ｂ}道, 道路; 通路, 街道; 道筋, 進路, 経路; 【情】パス, 経路; 《転》行き方, 方法, 手段	道路；路程；途径；方法；手段	길, 도로, 경로, 방법, 수단
1881	voki	{Ｂ}［他］（声を出して）呼ぶ; 呼び寄せる, 来させる	呼喊，呼唤，召唤	소리 내어 부르다, 호출하다
1882	voli	{Ｂ}［他］（～する）意志がある, ～したいと思う, ～したがる; （～ことを）望む, 願う; （ものを）欲する, 欲しがる; （～に）行きたい, 行きたがる	愿意，想要	무엇을 바라거나 하고자 하다
1883	volumeno	{Ｂ}【数】体積; 容積, 容量; かさ	体积，容积，容量	체적, 용적, 용량; 덩치
1884	volumo	{Ｂ}（書籍などの）巻, 冊	卷，册，合订本	책 한 권, 권수
1885	volvi	{Ｂ}［他］巻く; 巻きつける	缠，绕	둘레를 감다
1886	vomi	{Ｂ}［他］吐く, 嘔吐（おうと）する	呕吐；吐出，喷出	토하다, 구토하다
1887	vorto	{Ｂ}【Ｇ】語; 単語; 言葉; 約束	词，单词；话语；（转）诺言	낱말, 단어; 말; (비유) 약속
1888	vosto	{Ｂ}尾, しっぽ; 《転》尾部, すそ	尾巴，尾部	동물의 꼬리, 꼬리 부분
1889	voĉo	{Ｂ}声, 声音, 発音; （裁決時の）票, 意見; 【楽】声部; 【Ｇ】態	声音，话语；票，表决权；（乐）声部；（语）语态	목소리, 음성; 발언; 표, 의결권; (음악) 성부; (문법) 태
1890	vualo	{Ｂ}【服】ベール; 覆い; 《転》覆い隠すもの	面纱，头巾；遮盖物；（转）掩饰之物	베일, 면사포; 덮개; (비유) 가리는 것
1891	vulpo	{Ｂ}【動】キツネ（狐）（種）; キツネ（属）	狐	여우
1892	vundo	{Ｂ}傷, けが, 負傷; 《転》心の痛手	伤，创伤，伤口；（转）心灵创伤	상처, 부상; (비유) 마음의 상처
1893	zinko	{Ｂ}【化】亜鉛（原子番号３０の金属元素）	锌	금속원소 아연
1894	zono	{Ｂ}【服】帯, ベルト, バンド; 帯状に取り巻くもの; 地帯, 圏, 区域	腰带；带，环状物	허리띠나 띠 모양의 구역
1895	zoologio	{Ｂ}動物学, =bestoscienco	动物学	동물학
1896	zorgi	{Ｂ}［自］配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける	照顾，关心，操劳	돌보다, 보살피다; 신경 쓰다, 걱정하다
1897	zumi	{Ｂ}［自］（虫などが）ブンブンいう, （低い振動音で）うなる; ［他］【楽】ハミングする	嗡嗡作响，发出低沉振动声；（音乐）哼唱	윙윙거리다; (음악) 허밍하다
1898	ĉagreni	{Ｂ}［他］悩ませる, 困らせる, 苦しめる	使烦恼，使沮丧，使痛心	마음을 괴롭히고 불쾌하게 하다
1899	ĉambro	{Ｂ}部屋, 室	房间	방, 실
