idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
2046	bis	{Ｏ}［間］アンコール！	[叹] 再来一次（喝彩）	앙코르!
2047	biskvito	{Ｏ}【料】ビスケット, クッキー, 堅パン; 素焼きの陶磁器	饼干	비스킷, 쿠키류 과자
2048	bombo	{Ｏ}【軍】爆弾; 【理】ボンベ（耐圧容器）	炸弹；[理] 高压气瓶	폭탄, 폭발무기
2049	botaniko	{Ｏ}植物学	植物学	식물학
2050	botoj	{Ｂ}長靴; 【服】ブーツ	靴子	장화, 부츠
2051	brajlo	{Ｂ}点字	盲文	점자
2052	burokrato	{Ｏ}【政】官僚, 役人; 《転》官僚主義者, しゃくし定規な役人	官僚	관료, 정부 관리
2053	buso	{Ｂ}【車】バス（乗合自動車）, =〜 / 【情】バス	公共汽车；[计] 总线	버스；（컴퓨터） 버스
2054	celebri	{Ｂ}［他］（儀式を）とり行う	举行（仪式）	의식을 거행하다
2055	ceramiko	{Ｏ}製陶	陶瓷业，制陶术	도자기 공업
2056	ceremonio	{Ｏ}儀式, 式典; 儀礼	仪式，典礼	의식
2057	damaĝi	{Ｂ}［他］損害を与える, 損傷を与える, >>〜, >>〜	损害，毁坏	손해를 끼치다
2058	daŭri	{Ｂ}［自］続く, 持続する; 長引く; 長持ちする	持续，延续	계속되다, 오랫동안 지속하다
2059	demokratio	{Ｏ}民主政治, 民主政体; =demokrataro	民主	국민이권력을가지는정치
2060	detala	{Ｂ}詳しい, 詳細な	详细的，详尽的	상세한, 자세한
2061	dialekto	{Ｏ}【語】方言	方言	방언, 사투리
2062	diamanto	{Ｏ}【鉱】ダイヤモンド	钻石，金刚石	다이아몬드, 금강석
2063	digno	{Ｏ}威厳, 尊厳; 品位, 自尊心	尊严，威严	존엄, 품위
2064	dinamito	{Ｏ}ダイナマイト	炸药	폭약의 일종
2065	dio	{Ｂ}【宗】神	神	신, 하나님
2066	diplomato	{Ｏ}外交官; 《転》外交家, 駆け引きのうまい人	外交官	외교관
2067	diplomo	{Ｏ}免許状, 証書; 卒業証書	文凭，证书	졸업장 또는 자격증
2068	diskriminacio	{Ｂ}差別; 【法】差別待遇	歧视	차별, 차별대우
2069	distrikto	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区；辖区	행정구역, 관할구; 지구
2070	domaĝo	{Ｂ}惜しいこと, 残念なこと	可惜的事，遗憾的事	안타까운, 유감스러운 일
2071	dosiero	{Ｂ}一件書類; （犯罪者の）前科簿; 【情】ファイル	卷宗，档案；[计] 文件	한 사건에 관한 일건 서류, 파일
2072	drinki	{Ｏ}［他］（酒を）飲む; 深酒する, 飲んだくれる	酗酒，痛饮	술을 많이 마시다, 과음하다
2073	ekologio	{Ｏ}生態学; 《転》生態環境	生态学	생태계와 환경을 연구하는 학문
2074	ekonomiko	{Ｂ}経済学	经济学	경제학
2075	ekskluziva	{Ｏ}排他的な, 独占的な; （～を）除いた, （～と）相いれない, ><〜	排他的，独占的	배타적인, 독점적인
2076	ekspreso	{Ｏ}急行列車; 速達; 急使	快车；快递	급행열차
2077	ekstra	{Ｏ}特別の（追加の）, 格別の, 余分の, 臨時の, >>aldona	额外的，特别的	추가의, 여분의, 특별한
2078	ekzemplero	{Ｏ}（本や新聞などの）一冊, 一部; （同種の生物の）個体, 標本, >>〜	册，份；样本	책·신문 등의 한 부, 한 권
2079	elimini	{Ｂ}［他］除去する, 取り除く, 削除する; ふるい落とす; 【医】排出する; 【数】消去する	消除，排除；淘汰	없애다, 제거하다
2080	elokventa	{Ｏ}雄弁な, 説得力のある; 表情の豊かな	雄辩的	말 잘하는
2081	emfazo	{Ｏ}強調, 力説	强调	강조
2082	emocii	{Ｂ}［他］感動させる, 心を動かす	使感动	감동시키다
2083	enciklopedio	{Ｏ}百科事典	百科全书	백과사전
2084	enketo	{Ｂ}調査, アンケート; 取調べ, 査問, >>esploro	调查，问卷	조사, 설문조사
2085	entuziasmo	{Ｏ}熱狂, 熱中, 情熱, 狂喜	热情，热忱	열정, 열광
2086	epizodo	{Ｏ}【文】エピソード, 挿話; 挿話的な出来事, 逸話	插曲，片段	작품 속 삽화적 사건, 일화
2087	erotika	{Ｏ}性愛の, 官能的な, エロチックな	色情的，性爱的	성애적인, 에로틱한
2088	eseo	{Ｂ}小論, 評論; エッセー, 随筆	随笔，散文	수필, 에세이
2089	etiko	{Ｏ}倫理学; 倫理	伦理学	윤리학, 윤리
2090	etno	{Ｏ}民族（集団）; エスニックグループ	民族，族群	민족 집단
2091	eventuala	{Ｏ}場合によっては起こり得る, 不確定な	可能发生的，不确定的	발생할 수 있는
2092	eŭro	{Ｏ}【貨】ユーロ, >>cendo	欧元	유럽연합 공통 통화
2093	faktoro	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素；（数）因数；（商）代理商	요인; (수학) 인수; (상업) 대리인·중개인
2094	fakturo	{Ｏ}【商】仕切状, 送り状, 請求書	账单，发货单，发票	상품·서비스 대금 청구서
2095	fantomo	{Ｏ}幽霊, 亡霊; 《転》まぼろし	幽灵，鬼魂	유령, 망령
2096	fatalo	{Ｏ}宿命; 悲運	宿命，厄运	불운한 숙명
2097	fekunda	{Ｂ}繁殖力のある, 多産な; 《転》実り多い, 肥沃（ひよく）な	多产的，肥沃的	다산의, 번식력 뛰어난
2098	feminismo	{Ｏ}フェミニズム	女权主义	여권주의
2099	femuro	{Ｏ}ふともも; 【解】大腿（だいたい）	大腿；[解] 股骨	넓적다리, 대퇴
