"family","семья","familio"
"fruit","фрукт","Frukto"
"apple","яблоко","pomo"
"orange","апельсин","Oranĝo"
"banana","банан","banano"
"strawberry","клубника","frago"
"raspberry","малина","frambo"
"vegetable","овощ","legomo"
"potato","картофель","terpomo"
"tomato","помидор","tomato"
"cucumber","огурец","Kukumo"
"carrot","морковь","karoto"
"meat","мясо","viando"
"chicken","курятина","Kokaĵo"
"beef","говядина","Bovaĵo"
"pork","свинина","porkaĵo"
"sausage","колбаса","Kolbaso"
"fish","рыба","fiŝo"
"salmon","сёмга","Salmo"
"shrimp","креветка","Salikoko"
"crab","краб","Krabo"
"milk","молоко","lakto"
"butter","сливочное масло","butero"
"cheese","сыр","Fromaĝo"
"egg","яйцо","Ovo"
"bread","хлеб","Pano"
"bun","булочка","Bulko"
"toast","гренка","Tosto"
"biscuit","печенье","Biskoto"
"wheat","пшеница","Tritiko"
"rice","рис","Rizo"
"maize","кукуруза","Maizo"
"nut","орех","Nukso"
"sugar","сахар","sukero"
"salt","соль","salo"
"black pepper","чёрный перец","nigra pipro"
"oil","растительное масло","oleo"
"sweet","конфета","Bombono"
"chocolate","шоколад","ĉokolado"
"lollipop","леденец","Suĉbombono"
"honey","мёд","Mielo"
"food","пища","Manĝaĵo"
"breakfast","завтрак","Matenmanĝo"
"lunch","обед","tagmanĝo"
"dinner","ужин","Vespermanĝo"
"soup","суп","Supo"
"salad","салат","Salato"
"sandwich","бутерброд","Sandviĉo"
"cake","торт","Torto"
"jam","варенье","Konfitaĵo"
"sweet","сладкий","dolĉa"
"salty","солёный","Sala"
"sour","кислый","acida"
"bitter","горький","amara"
"water","вода","akvo"
"tea","чай","teo"
"coffee","кофе","kafo"
"juice","сок","suko"
"school","школа","Lernejo"
"pupil","ученик","Lernanto"
"lesson","урок","leciono"
"blackboard","доска","nigra tabulo"
"classroom","кабинет","klasĉambro"
"teacher","преподаватель","Instruisto"
"doctor","врач","Kuracisto"
"nurse","медсестра","Flegistino"
"driver","водитель","ŝoforo"
"actress","актриса","Aktorino"
"cook","повар","Kuiristo"
"text","текст","teksto"
"poem","стихотворение","Poemo"
"story","рассказ","rakonto"
"fairy tale","сказка","Fabelo"
"author","автор","Aŭtoro"
"book","книга","Libro"
"title","название","Titolo"
"cover","обложка","Kovrilo"
"page","страница","paĝo"
"music","музыка","Muziko"
"song","песня","kanto"
"sound","звук","Sono"
"sing","петь","kanti"
"piano","фортепиано","piano"
"guitar","гитара","gitaro"
"drum","барабан","tamburo"
"violin","скрипка","Violono"
"trumpet","труба","trumpeto"
"art","искусство","arto"
"picture","картина","bildo"
"sculpture","скульптура","skulptaĵo"
"draw","рисовать","desegni"
"cinema","кинотеатр","kinejo"
"film","фильм","Filmo"
"screen","экран","Ekrano"
"comedy","комедия","Komedio"
"theatre","театр","Teatro"
"play","пьеса","teatraĵo"
"ballet","балет","Baleto"
"concert","концерт","Koncerto"
"ticket","билет","Bileto"
"tourist","турист","turisto"
"holiday","отпуск","Ferio"
"excursion","экскурсия","Ekskurso"
"travel","путешествовать","Vojaĝi"
"beach","пляж","Plaĝo"
"sand","песок","sablo"
"tan","загар","sunbruno"
"rubber ring","надувной круг","naĝringo"
"game","игра","ludo"
"chess","шахматы","ŝako"
"jigsaw","пазл","Puzlo"
"dominoes","домино","domino"
"play","играть","Ludi"
"sandpit","песочница","sablokesto"
"swing","качели","Balancilo"
"seesaw","качели-балансир","Baskulilo"
"slide","горка","glitejo"
"snowman","снеговик","Neĝhomo"
"football","футбол","futbalo"
"volleyball","волейбол","volejbalo"
"basketball","баскетбол","Basketbalo"
"tennis","теннис","Teniso"
"badminton","бадминтон","Badmintono"
"gym","спортзал","gimnastikejo"
"exercise","упражнение","ekzerco"
"fitness","фитнес","Fitneso"
"train","тренироваться","Trejniĝi"
"sport","спорт","sporto"
"team","команда","Teamo"
"champion","чемпион","Ĉampiono"
"medal","медаль","medalo"
"victory","победа","venko"
"restaurant","ресторан","Restoracio"
"pub","бар","trinkejo"
"menu","меню","Menuo"
"bill","счёт","Fakturo"
"order","заказывать","mendi"
"museum","музей","Muzeo"
"park","парк","Parko"
"bridge","мост","ponto"
"monument","памятник","monumento"
"street","улица","strato"
"way","путь","Vojo"
"parking","стоянка","Parkumejo"
"place","место","loko"
"country","страна","Lando"
"city","город","urbo"
"village","деревня","vilaĝo"
"suburb","пригород","suburbo"
"car","машина","aŭto"
"bus","автобус","buso"
"bicycle","велосипед","biciklo"
"drive","водить","konduki"
"train","поезд","trajno"
"platform","платформа","Platformo"
"wagon","грузовой вагон","varvagono"
"underground","метро","Metroo"
"plane","самолёт","aviadilo"
"airport","аэропорт","flughaveno"
"helicopter","вертолёт","helikoptero"
"fly","летать","flugi"
"ship","судно","Ŝipo"
"boat","лодка","boato"
"port","порт","Haveno"
"anchor","якорь","ankro"
"sail","ходить под парусом","veli"
"television","телевидение","televido"
"radio","радио","radio"
"news","новости","novaĵoj"
"show","шоу","spektaklo"
"computer","компьютер","komputilo"
"monitor","монитор","Monitoro"
"mouse","мышка","Muso"
"keyboard","клавиатура","Klavaro"
"processor","процессор","Procesoro"
"Internet","интернет","Interreto"
"website","веб-сайт","retejo"
"user","пользователь","uzanto"
"password","пароль","Pasvorto"
"phone","телефон","telefono"
"message","сообщение","mesaĝo"
"call","звонить","telefoni"
"charge","заряжать","ŝargi"
"police","полиция","polico"
"police car","полицейская машина","polica aŭto"
"detective","детектив","detektivo"
"handcuffs","наручники","Mankatenoj"
"arrest","арестовывать","aresti"
"cat","кошка","kato"
"dog","собака","Hundo"
"cow","корова","bovino"
"horse","лошадь","ĉevalo"
"pig","свинья","porko"
"hen","курица","Kokino"
"cock","петух","koko"
"duck","утка","Anaso"
"goose","гусь","ansero"
"fox","лиса","vulpo"
"wolf","волк","Lupo"
"bear","медведь","Urso"
"lion","лев","leono"
"elephant","слон","Elefanto"
"owl","сова","strigo"
"swan","лебедь","Cigno"
"crow","ворона","korvo"
"eagle","орёл","aglo"
"frog","лягушка","Rano"
"snake","змея","serpento"
"turtle","черепаха","Testudo"
"crocodile","крокодил","Krokodilo"
"fly","муха","Muŝo"
"ant","муравей","Formiko"
"bee","пчела","abelo"
"spider","паук","Araneo"
"kitten","котёнок","Katido"
"puppy","щенок","Hundido"
"chick","цыплёнок","Kokido"
"piglet","поросёнок","Porkido"
"tree","дерево","Arbo"
"leaf","лист","folio"
"oak","дуб","kverko"
"pine","сосна","Pino"
"maple","клён","acero"
"apple tree","яблоня","Pomujo"
"lemon tree","лимонное дерево","citronarbo"
"peach tree","персиковое дерево","Persikujo"
"olive tree","оливковое дерево","Olivarbo"
"flower","цветок","Floro"
"rose","роза","Rozo"
"tulip","тюльпан","tulipo"
"daffodil","нарцисс","Narciso"
"daisy","маргаритка","lekanto"
"farm","ферма","Farmo"
"rake","грабли","Rastilo"
"shovel","лопата","ŝovelo"
"tractor","трактор","traktoro"
"gardener","садовница","ĝardenistino"
"plant","сажать","Planti"
"water","поливать","akvumi"
"hot","жарко","varme"
"warm","тепло","varma"
"cool","прохладно","malvarmeta"
"cold","холодно","Malvarme"
"air","воздух","aero"
"fog","туман","nebulo"
"storm","буря","ŝtormo"
"thunder","гром","Tondro"
"lightning","молния","Fulmo"
"rainbow","радуга","Ĉielarko"
"hill","холм","Kolino"
"forest","лес","arbaro"
"desert","пустыня","Dezerto"
"mountain","гора","Monto"
"ocean","океан","Oceano"
"sea","море","maro"
"river","река","Rivero"
"lake","озеро","Lago"
"zero","ноль","nulo"
"one","один","unu"
"two","два","du"
"three","три","tri"
"four","четыре","kvar"
"five","пять","kvin"
"six","шесть","ses"
"seven","семь","Sep"
"eight","восемь","ok"
"nine","девять","naŭ"
"ten","десять","dek"
"white","белый","blanka"
"black","чёрный","nigra"
"red","красный","ruĝa"
"yellow","жёлтый","flava"
"blue","синий","blua"
"year","год","jaro"
"winter","зима","vintro"
"spring","весна","Printempo"
"summer","лето","somero"
"autumn","осень","Aŭtuno"
"calendar","календарь","Kalendaro"
"time","время","tempo"
"day","сутки","Tagnokto"
"hour","час","horo"
"minute","минута","minuto"
"second","секунда","Sekundo"
"big","большой","granda"
"small","маленький","Malgranda"
"circle","круг","Cirklo"
"square","квадрат","Kvadrato"
"come","приходить","veni"
"go","идти","iri"
"open","открывать","Malfermi"
"close","закрывать","Fermi"
"make","делать","fari"
"ask","спрашивать","demandi"
"say","сказать","diri"
"repeat","повторять","ripeti"
"talk","разговаривать","paroli"
"shout","кричать","krii"
"old","старый","malnova"
"new","новый","nova"
"empty","пустой","malplena"
"full","полный","plena"
"now","сейчас","nun"
"today","сегодня","hodiaŭ"
"tomorrow","завтра","morgaŭ"
"yesterday","вчера","hieraŭ"
"when","когда","kiam"
"where","где","kie"
"why","почему","kial"
"what","что","kio"
"how","как","kiel"
"I","я","mi"
"you","ты","vi"
"she","она","ŝi"
"he","он","li"
"it","оно","ĝi"
"we","мы","ni"
"you","вы","vi"
"they","они","ili"
"on","на","sur"
"under","под","sub"
"in","в","en"
"near","возле","apud"
"between","между","inter"
"behind","за","malantaŭ"
"in front of","перед","antaŭ"
"and","и","kaj"
"or","или","aŭ"
"if","если","se"
"but","но","sed"
"dot","точка","punkto"
"comma","запятая","komo"
"dash","тире","streketo"
"brackets","скобки","Krampoj"
"husband","муж","edzo"
"wife","жена","Edzino"
"son","сын","filo"
"daughter","дочь","Filino"
"grandfather","дедушка","avo"
"grandmother","бабушка","avino"
"colleague","коллега","kolego"
"stranger","незнакомец","fremdulo"
"boyfriend","молодой человек","koramiko"
"girlfriend","девушка","koramikino"
"meet","знакомиться","Konatiĝi"
"human","человек","homo"
"mister","господин","sinjoro"
"missus","госпожа","Sinjorino"
"miss","барышня","Fraŭlino"
"passport","паспорт","pasporto"
"birthday","день рождения","Naskiĝtago"
"invitation","пригласительное","Invito"
"gift","подарок","Donaco"
"fireworks","фейерверк","fajraĵo"
"ceremony","церемония","Ceremonio"
"celebrate","праздновать","festi"
"honest","честная","honesta"
"patient","терпеливый","pacienca"
"playful","игривая","ludema"
"polite","вежливый","ĝentila"
"talkative","разговорчивая","Parolema"
"clumsy","неуклюжий","Mallerta"
"sly","хитрая","ruza"
"mean","злой","malbonkora"
"impolite","невежливая","Malĝentila"
"envious","завистливый","Envia"
"beautiful","красивая","bela"
"fat","толстый","dika"
"skinny","худой","Magra"
"neat","опрятный","neta"
"sloppy","неряшливый","malzorga"
"asleep","спящая","dormanta"
"awake","проснувшийся","vekiĝinta"
"energetic","энергичная","energia"
"sweaty","вспотевший","ŝvita"
"angry","сердитый","kolera"
"sad","грустная","trista"
"joyful","радостный","ĝoja"
"scared","напуганная","timigita"
"doubtful","сомневающийся","dubanta"
"sure","уверенный","Certa"
"feeling","чувство","sento"
"joy","радость","ĝojo"
"shame","стыд","honto"
"stress","стресс","Streso"
"happiness","счастье","Feliĉo"
"unhappiness","несчастье","Malfeliĉo"
"opinion","мнение","opinio"
"right","правильный","ĝusta"
"wrong","неправильный","Malĝusta"
"simple","простой","simpla"
"complicated","сложный","komplika"
"strange","странный","Stranga"
"friendship","дружба","amikeco"
"envy","зависть","Envio"
"truth","правда","vero"
"lie","ложь","Mensogo"
"clothing","одежда","vestoj"
"T-shirt","футболка","T-ĉemizo"
"blouse","блузка","Bluzo"
"jeans","джинсы","ĝinzo"
"shorts","шорты","ŝorto"
"socks","носки","Ŝtrumpetoj"
"style","стиль","stilo"
"footwear","обувь","ŝuaĵo"
"trainers","кроссовки","Sportŝuoj"
"flip-flops","вьетнамки","fingroŝuoj"
"moccasins","мокасины","Mokasinoj"
"tie","галстук","Kravato"
"wallet","бумажник","Monujo"
"gloves","перчатки","Gantoj"
"earrings","серьги","Orelringoj"
"satchel","ранец","tornistro"
"umbrella","зонтик","ombrelo"
"beauty salon","салон красоты","belosalono"
"comb","гребень","kombilo"
"hairbrush","расчёска","Harbroso"
"fringe","чёлка","Franĝo"
"hairdryer","фен","Harsekigilo"
"tailor's","ателье","Tajlorejo"
"button","пуговица","Butono"
"zip","застёжка-молния","zipo"
"pocket","карман","poŝo"
"needle","иголка","kudrilo"
"fabric","ткань","ŝtofo"
"face","лицо","vizaĝo"
"forehead","лоб","frunto"
"cheek","щека","vango"
"nostrils","ноздри","naztruoj"
"lips","губы","lipoj"
"tongue","язык","lango"
"chin","подбородок","mentono"
"arm","рука","Brako"
"shoulder","плечо","ŝultro"
"elbow","локоть","kubuto"
"leg","нога","kruro"
"knee","колено","genuo"
"belly","живот","Ventro"
"throat","горло","gorĝo"
"liver","печень","hepato"
"intestine","кишечник","Intesto"
"kidneys","почки","Renoj"
"saliva","слюна","salivo"
"internal","внутренний","interna"
"bone","кость","Osto"
"muscle","мышца","muskolo"
"skeleton","скелет","skeleto"
"skin","кожа","haŭto"
"action","действие","ago"
"see","видеть","vidi"
"give","давать","doni"
"read","читать","legi"
"write","писать","skribi"
"cry","плакать","plori"
"smile","улыбаться","rideti"
"flu","грипп","gripo"
"virus","вирус","Viruso"
"mumps","свинка","parotito"
"chickenpox","ветрянка","Varicelo"
"hay fever","сенная лихорадка","fenofebro"
"headache","головная боль","Kapdoloro"
"earache","боль в ухе","Oreldoloro"
"sore throat","боль в горле","gorĝdoloro"
"shiver","дрожь","Tremo"
"hiccup","икота","Singulto"
"cut","порез","Tranĉvundo"
"burn","ожог","brulvundo"
"bite","укус","mordo"
"bruise","синяк","kontuzaĵo"
"bump","шишка","tubero"
"swelling","припухлость","ŝvelaĵo"
"treatment","лечение","kuracado"
"aid","помощь","helpo"
"healthy","здоровый","sana"
"ill","больной","malsana"
"injection","инъекция","injekto"
"vaccine","вакцина","Vakcino"
"X-ray","рентген","Rentgeno"
"plaster cast","гипс","gipso"
"medicine","лекарство","Medikamento"
"ointment","мазь","ŝmiraĵo"
"mixture","микстура","Miksturo"
"iodine","йод","jodo"
"pipette","пипетка","Pipeto"
"dentist","зубной врач","Dentisto"
"tooth","зуб","dento"
"gum","десна","Gingivo"
"root","корень","radiko"
"braces","брекеты","breketoj"
"attic","чердак","Subtegmento"
"loft","мансарда","Mansardo"
"basement","подвал","kelo"
"cellar","погреб","Kelo"
"laundry","прачечная","lavejo"
"sauna","сауна","Saŭno"
"shelf","полка","Breto"
"mirror","зеркало","Spegulo"
"desk","письменный стол","Skribotablo"
"armchair","кресло","Fotelo"
"chest","сундук","Kofro"
"cradle","колыбель","Lulilo"
"bedding","постельное бельё","litaĵo"
"bedsheet","простыня","Littuko"
"blanket","покрывало","kovrilo"
"pillow","подушка","Kuseno"
"pillowcase","наволочка","kusenujo"
"towel","полотенце","viŝtuko"
"lift","лифт","Lifto"
"roof","крыша","Tegmento"
"balcony","балкон","Balkono"
"veranda","веранда","Verando"
"doorbell","дверной звонок","Pordsonorilo"
"lawn","газон","gazono"
"fence","забор","Barilo"
"clean","чистый","pura"
"messy","небрежный","malzorga"
"cosy","уютный","Hejmeca"
"luxurious","роскошный","luksa"
"bakery","пекарня","Bakejo"
"bookshop","книжный магазин","Librejo"
"butcher's","мясная лавка","Viandbutiko"
"florist's","цветочный магазин","Florvendejo"
"stall","палатка","Budo"
"fan","вентилятор","Ventolilo"
"vacuum cleaner","пылесос","Polvosuĉilo"
"cooker","плита","Fornelo"
"oven","духовка","Forno"
"calculator","калькулятор","Kalkulilo"
"battery","батарейка","Baterio"
"charger","зарядное устройство","Ŝargilo"
"plate","тарелка","Telero"
"mug","кружка","kruĉo"
"bottle","бутылка","Botelo"
"jar","банка","bokalo"
"jug","кувшин","Kruĉo"
"kettle","чайник","Bolilo"
"mop","швабра","Ŝvabrilo"
"peg","прищепка","pinĉilo"
"basket","корзина","Korbo"
"dustbin","мусорный ящик","Rubujo"
"chalk","мел","kreto"
"crayon","цветной мелок","krajono"
"glue","клей","Gluo"
"scissors","ножницы","tondilo"
"watercolour","акварель","akvarelo"
"exercise book","тетрадь","Kajero"
"dictionary","словарь","Vortaro"
"encyclopedia","энциклопедия","Enciklopedio"
"coursebook","учебник","Lernolibro"
"workbook","рабочая тетрадь","Laborkajero"
"dummy","соска","suĉilo"
"bib","слюнявчик","Bavilo"
"rattle","погремушка","tintilo"
"soft toy","мягкая игрушка","Pluŝludilo"
"top","юла","Turbo"
"sledge","санки","Sledo"
"cosmetics","косметика","kosmetikaĵoj"
"lotion","лосьон","Locio"
"mascara","тушь","maskaro"
"blusher","румяна","ruĝilo"
"hairspray","лак для волос","harlako"
"wet wipes","влажные салфетки","humidaj tuketoj"
"shampoo","шампунь","ŝampuo"
"balsam","бальзам","Balzamo"
"shower gel","гель для душа","duŝgelo"
"floss","зубная нить","Dentfadeno"
"tool","инструмент","ilo"
"hammer","молоток","Martelo"
"nail","гвоздь","Najlo"
"bulb","лампочка","ampolo"
"pear","груша","Piro"
"apricot","абрикос","abrikoto"
"peach","персик","Persiko"
"cherry","черешня","Merizo"
"grape","виноград","Vinbero"
"pineapple","ананас","ananaso"
"pea","горошек","pizo"
"garlic","чеснок","ajlo"
"onion","лук","Cepo"
"cabbage","капуста","brasiko"
"beetroot","свёкла","Beto"
"sweet pepper","болгарский перец","papriko"
"duck","утятина","Anasaĵo"
"lamb","мясо ягнёнка","ŝafidaĵo"
"ham","ветчина","ŝinko"
"rib","рёбрышко","ripo"
"bacon","бекон","Bekono"
"carp","карп","Karpo"
"trout","форель","Truto"
"caviar","икра","Kaviaro"
"lobster","омар","Omaro"
"squid","кальмар","Kalmaro"
"margarine","маргарин","margarino"
"cream","сливки","kremo"
"cottage cheese","творог","kazeo"
"ice cream","мороженое","glaciaĵo"
"white bread","белый хлеб","blanka pano"
"brown bread","чёрный хлеб","nigra pano"
"cracker","крекер","krakero"
"muffin","маффин","Mufino"
"seed","семечко","semo"
"oats","овёс","Aveno"
"barley","ячмень","hordeo"
"flour","мука","Faruno"
"groundnut","арахис","Arakido"
"spices","пряности","spicoj"
"dill","укроп","aneto"
"parsley","петрушка","Petroselo"
"ketchup","кетчуп","Keĉupo"
"mustard","горчица","mustardo"
"vinegar","уксус","vinagro"
"caramel","карамель","Karamelo"
"candyfloss","сахарная вата","sukervato"
"marshmallow","маршмэллоу","Marŝmalo"
"chocolate bar","плитка шоколада","ĉokoladtabulo"
"chewing gum","жевачка","Maĉgumo"
"meal","приём пищи","Manĝo"
"picnic","пикник","Pikniko"
"barbecue","шашлык","Ŝaŝliko"
"diet","диета","Dieto"
"fast food","быстрое питание","rapidmanĝaĵo"
"dish","блюдо","Plado"
"pie","пирог","Pasteco"
"jelly","желе","Ĝeleo"
"pizza","пицца","Pico"
"waffle","вафля","Vaflo"
"porridge","овсянка","Avenkaĉo"
"pancakes","оладьи","Patkukoj"
"cook","готовить","kuiri"
"cut","резать","Tranĉi"
"boil","варить","boligi"
"fry","жарить","Friti"
"bake","печь","baki"
"cooked","приготовленный","Kuirita"
"delicious","вкусный","Bongusta"
"spicy","острый","pikanta"
"dry","сухой","seka"
"taste","вкус","gusto"
"soda","газировка","sodakvo"
"lemonade","лимонад","limonado"
"cocoa","какао","kakao"
"green tea","зелёный чай","verda teo"
"ice","лёд","glacio"
"form","класс","klaso"
"timetable","расписание","Horaro"
"break","перемена","paŭzo"
"test","тест","testo"
"library","библиотека","Biblioteko"
"canteen","столовая","Manĝejo"
"kindergarten","детский сад","Infanĝardeno"
"learn","учить","Lerni"
"plus sign","знак плюс","Plussigno"
"minus sign","знак минус","minussigno"
"division sign","знак деления","dividosigno"
"multiplication sign","знак умножения","multipliksigno"
"equals sign","знак равенства","egalsigno"
"Sun","солнце","Suno"
"Moon","луна","Luno"
"sky","небо","ĉielo"
"star","звезда","stelo"
"planet","планета","planedo"
"world","мир","mondo"
"North","север","Nordo"
"South","юг","Sudo"
"East","восток","Oriento"
"West","запад","Okcidento"
"word","слово","Vorto"
"syllable","слог","silabo"
"letter","буква","Litero"
"alphabet","алфавит","alfabeto"
"language","язык","lingvo"
"florist","цветочница","floristino"
"sailor","моряк","maristo"
"worker","рабочий","laboristo"
"farmer","фермер","Farmisto"
"waiter","официант","Kelnero"
"clown","клоун","Klaŭno"
"engineer","инженер","Inĝeniero"
"tutor","репетитор","Privatinstruisto"
"spy","шпион","spiono"
"builder","строитель","konstruisto"
"magician","фокусник","Prestidigitisto"
"librarian","библиотекарь","Bibliotekisto"
"office","офис","Oficejo"
"boss","шеф","ĉefo"
"salary","зарплата","salajro"
"busy","занятой","okupita"
"work","работать","labori"
"business","бизнес","negoco"
"plan","план","plano"
"firm","фирма","Firmo"
"client","клиент","kliento"
"factory","завод","Fabriko"
"bank","банк","Banko"
"money","деньги","mono"
"banknote","банкнота","Bankbileto"
"coin","монета","monero"
"pay","платить","pagi"
"literature","литература","literaturo"
"ballad","баллада","Balado"
"stanza","строфа","strofo"
"verse","строка","verso"
"reader","читатель","Leganto"
"topic","тема","temo"
"chapter","глава","Ĉapitro"
"contents","содержание","enhavo"
"plot","сюжет","intrigo"
"note","нота","Noto"
"rhythm","ритм","ritmo"
"voice","голос","voĉo"
"melody","мелодия","Melodio"
"volume","громкость","Laŭteco"
"lullaby","колыбельная","Lulkanto"
"flute","флейта","Fluto"
"bell","колокольчик","tintilo"
"cello","виолончель","Violonĉelo"
"clarinet","кларнет","Klarneto"
"accordion","аккордеон","akordiono"
"artwork","произведение искусства","artaĵo"
"portrait","портрет","Portreto"
"paintbrush","кисточка","peniko"
"colour","раскрашивать","kolorigi"
"photograph","фотография","foto"
"photographer","фотограф","Fotografisto"
"photogenic","фотогеничный","fotogena"
"film","плёнка","peliklo"
"studio","студия","Studio"
"fairy","фея","feo"
"dwarf","гном","gnomo"
"mermaid","русалка","Sireno"
"unicorn","единорог","unikorno"
"magic","магия","Magio"
"witch","ведьма","sorĉistino"
"ghost","призрак","Fantomo"
"miracle","чудо","miraklo"
"cartoon","мультфильм","kartuno"
"superhero","супергерой","Superheroo"
"director","режиссёр","Reĝisoro"
"documentary","документальный фильм","dokumentfilmo"
"stage","сцена","Scenejo"
"show","спектакль","Spektaklo"
"role","роль","Rolo"
"mask","маска","Masko"
"dance","танец","Danco"
"binoculars","бинокль","Binoklo"
"hobby","хобби","Hobio"
"fun","веселье","amuzo"
"knitting","вязание","trikado"
"pottery","гончарное дело","potfarado"
"surfing","сёрфинг","surfado"
"trip","поездка","Vojaĝo"
"tour","тур","turneo"
"walk","прогулка","Promenado"
"luggage","багаж","Bagaĝo"
"sunshine","солнечный свет","sunlumo"
"sandcastle","песчаный замок","Sablokastelo"
"wave","волна","ondo"
"beach umbrella","пляжный зонтик","plaĝombrelo"
"camp","лагерь","tendaro"
"tent","палатка","tendo"
"campfire","костёр","tendara fajro"
"sleeping bag","спальный мешок","Dormosako"
"hopscotch","классики","paradizludo"
