Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
8	877	Making Friends	Introductions	Ĉu mi povas prezenti al vi mian fianĉon?	Могу я представить вам своего жениха?	中文	我可以为你介绍一下我的未婚夫（妻）吗？	我可以向你介绍一下我的未婚夫吗？	FIX	EO/RU explicitly indicate male fiancé (fianĉon / жениха); old ZH text introduced gender ambiguity '(妻)' and drifted from source meaning.
9	1025	Making Friends	Describing People	Vi estas tre ĉarma	Ты очень милая.	日本語	とても優しいですね。	とても魅力的ですね。	FIX	EO/RU express charm/attractiveness (ĉarma / милая); old JA shifted to kindness and weakened intended trait.
9	1025	Making Friends	Describing People	Vi estas tre ĉarma	Ты очень милая.	中文	你人真好。	你非常有魅力。	FIX	EO/RU express charm/attractiveness (ĉarma / милая); old ZH shifted to 'you are a nice person' and changed semantic focus.
9	1025	Making Friends	Describing People	Vi estas tre ĉarma	Ты очень милая.	한국어	당신은 정말 친절하시네요.	당신은 정말 매력적이네요.	FIX	EO/RU express charm/attractiveness (ĉarma / милая); old KO translated as kindness/politeness instead of charm.
10	1102	Making Friends	Things You Like & Dislike	Mi vere malamas picon	Я просто ненавижу пиццу.	日本語	ピザは本当に苦手です。	ピザが本当に嫌いです。	FIX	EO/RU convey strong hate intensity (vere malamas / ненавижу); old JA '苦手' was weaker (not good with/dislike) and under-translated sentiment.
11	1235	Dating	On a Date	Mi enamiĝis al vi	Я в тебя влюблён.	中文	我爱你。	我爱上你了。	FIX	EO enamiĝis + RU влюблён indicate falling/in-love state; old ZH '我爱你' states direct love declaration and misses aspect/nuance.
11	1235	Dating	On a Date	Mi enamiĝis al vi	Я в тебя влюблён.	한국어	당신을 사랑하고 있어요.	당신에게 반했어요.	FIX	EO enamiĝis + RU влюблён mean 'fell in love / be in love'; old KO was stronger direct 'I love you' declaration and shifted nuance.
12	1325	Education	At School	Donu al mi la liniilon	Дай мне линейку.	日本語	定規を取ってください。	定規をください。	FIX	EO/RU mean 'give me the ruler'; old JA meant 'take/fetch the ruler' and changed direction of action.
12	1325	Education	At School	Donu al mi la liniilon	Дай мне линейку.	한국어	자 주세요.	자를 주세요.	FIX	EO/RU require explicit object 'the ruler'; old KO omitted object, making request incomplete/ambiguous.
13	1381	Education	At University	Mi estas studento ĉe la Arta Fakultato	Я студент факультета искусств.	日本語	私は文学部の学生です。	私は芸術学部の学生です。	FIX	EO 'Arta Fakultato' + RU 'факультет искусств' specify arts faculty; old JA shifted to literature/humanities faculty.
13	1381	Education	At University	Mi estas studento ĉe la Arta Fakultato	Я студент факультета искусств.	中文	我是文学院的学生。	我是艺术学院的学生。	FIX	EO 'Arta Fakultato' + RU 'факультет искусств' specify arts faculty; old ZH shifted to literature/humanities school.
14	1540	Jobs	Occupation	Por kiu vi laboras?	На кого ты работаешь?	한국어	어느 곳에서 일하시나요?	어느 기관에서 일하시나요?	FIX	EO/RU ask 'for whom / for which employer' (employment entity), while old KO asked only workplace location ('where').
16	1738	Jobs	At the Interview	Mi estas tre dankema pro via propono	Я очень благодарен за ваше предложение.	中文	非常感谢您的好意。	非常感谢您的提议。	FIX	EO/RU explicitly refer to a proposal/offer (propono / предложение); old ZH '好意' meant kindness/goodwill and blurred the concrete 'offer' meaning.
17	1790	Travel	Asking Directions	Kiom malproksime de ĉi tie estas la plaĝo?	Как далеко отсюда до пляжа?	한국어	여기서 해변까지 얼마나 걸리나요?	여기서 해변까지 거리가 얼마나 되나요?	FIX	EO/RU ask about distance (how far), while old KO asked about travel time (how long it takes).
25	2638	Hotel	Booking a Room	Por du noktoj	На две ночи.	한국어	이틀 동안입니다.	2박입니다.	FIX	EO/RU explicitly specify 'two nights' (du noktoj / две ночи); old KO '이틀 동안' means two days and can undercount lodging nights.
25	2653	Hotel	Booking a Room	Mi restos 2 noktojn	Я пробуду 2 ночи.	한국어	이틀 동안 머물 예정이에요.	2박 머물 예정이에요.	FIX	EO/RU explicitly mean 'stay 2 nights'; old KO used 'for two days', which is not night-count precise in hotel booking context.
26	2738	Hotel	During Your Stay	Bonvolu lavi ĉi tiujn aferojn	Пожалуйста, постирайте эти вещи.	한국어	이것들을 깨끗이 청소해 주세요.	이것들을 세탁해 주세요.	FIX	EO/RU use explicit laundry meaning (lavi / постирайте = wash), while old KO used '청소' (clean/tidy), which shifts from washing clothes/items to general cleaning.
27	2812	Hotel	Complaints	La seruro estas rompita	Замок сломан.	日本語	鍵が壊れています。	ドアの錠が壊れています。	FIX	EO/RU explicitly mean the lock (seruro / замок) is broken; old JA used 'key' (鍵) and shifted object meaning from lock mechanism to key itself.
28	2860	Hotel	Renting a Flat	Ĉu estas vazaro?	Есть посуда?	한국어	설거지할 그릇이 있나요?	식기류가 있나요?	FIX	EO/RU ask about available tableware/dishes; old KO phrasing meant 'dishes to wash' and shifted the core meaning.
28	2945	Restaurant & Pub	Ordering Drinks	Ĉu mi povas proponi al vi trinkaĵon?	Я могу предложить вам напиток?	中文	我可以请你喝一杯吗？	要给您来点饮料吗？	FIX	EO/RU mean offering/serving a drink to the guest; old ZH implied 'treating someone to a drink' (paying for them), which changes speaker role and intent.
31	3197	Restaurant & Pub	At the Pub	Faru ĝin duobla, mi petas	Сделайте двойной, пожалуйста.	한국어	두 잔으로 해 주세요.	더블로 해 주세요.	FIX	EO/RU mean 'make it a double' (single serving doubled), while old KO meant 'make it two cups/glasses', which changes order structure.
32	3337	Food	Staple Food & Spices	Li ŝatas fazeolan supon	Ему нравится фасолевый суп.	한국어	그는 콩국을 좋아해요.	그는 콩 수프를 좋아해요.	FIX	EO/RU mean generic bean soup (fazeola supo / фасолевый суп), while old KO '콩국' refers to a specific Korean dish and shifts lexical meaning.
33	3363	Food	Breakfast Food	Ĉu vi manĝas dolĉajn bulkojn por matenmanĝo?	Ты ешь сдобные булочки на завтрак?	日本語	朝食にパンを食べますか？	朝食に甘い菓子パンを食べますか？	FIX	EO/RU explicitly include 'sweet buns/pastry' (dolĉajn bulkojn / сдобные булочки); old JA generalized to plain bread and dropped the sweetness/pastry nuance.
33	3363	Food	Breakfast Food	Ĉu vi manĝas dolĉajn bulkojn por matenmanĝo?	Ты ешь сдобные булочки на завтрак?	中文	你早餐会吃包子吗？	你早餐会吃甜面包吗？	FIX	EO/RU mean sweet buns/pastry for breakfast; old ZH '包子' shifted to steamed buns and changed food type.
34	3539	Shopping	Personal Care	Bonvolu montri al mi alian	Пожалуйста, покажите мне другой.	한국어	다른 예시도 보여주세요.	다른 것 하나 보여주세요.	FIX	EO/RU ask to show another item/product; old KO used 'example' (예시), which shifts shopping context semantics.
35	3617	Shopping	Other Goods	Ĉu vi havas arĝentan manĝilaron kun tia desegno?	У вас есть столовое серебро с таким узором?	한국어	그 무늬의 식기류가 있나요?	그 무늬의 은 식기류가 있나요?	FIX	EO/RU explicitly specify silverware (arĝentan / столовое серебро); old KO omitted the silver material and reduced meaning to generic tableware.
36	3671	Shopping	At the Supermarket	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	日本語	そのチョコレートには何が入っているの？	そのチョコレート菓子には何が入っていますか？	FIX	EO/RU specify chocolate candies/confections (ĉokoladaj bombonoj / шоколадных конфет); old JA 'そのチョコレート' narrowed it toward a generic chocolate piece/bar.
36	3671	Shopping	At the Supermarket	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	中文	那块巧克力里有什么？	那些巧克力糖果里有什么？	FIX	EO/RU refer to chocolate candies (plural); old ZH meant 'that piece of chocolate' and changed both number and product type.
36	3671	Shopping	At the Supermarket	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	한국어	그 초콜릿에는 뭐가 들어 있나요?	그 초콜릿 사탕에는 뭐가 들어 있나요?	FIX	EO/RU refer to chocolate candies/confections; old KO generalized to chocolate and lost candy/confection nuance.
41	4255	Services	At the Bank	Ĉu elekti alian servon?	Выбрать другую услугу?	한국어	다른 서비스인가요?	다른 서비스를 선택하시겠어요?	FIX	EO/RU ask whether to choose another service; old KO asked only "is it another service?" and lost selection intent.
42	4347	Services	At the Estate Agency	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	日本語	新しい物件と昔ながらの物件、どちらをご希望ですか？	新築物件と中古物件、どちらをご希望ですか？	FIX	EO 'novkonstruitan aŭ duamanan' + RU 'новостройку или вторичную' mean new-build vs secondary-market property; old JA shifted to new-vs-old style and lost resale-market distinction.
42	4347	Services	At the Estate Agency	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	中文	你想要现代的房子还是老式的房子？	你想要新房还是二手房？	FIX	EO/RU ask new-build vs second-hand (secondary-market) property; old ZH rendered modern-vs-old style and changed the decision criterion.
42	4347	Services	At the Estate Agency	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	한국어	현대적인 집을 원하시나요, 아니면 오래된 집을 원하시나요?	신축 부동산을 원하시나요, 아니면 중고 매물을 원하시나요?	FIX	EO/RU ask new-build vs secondary-market property; old KO translated as modern-vs-old house and missed the resale distinction.
