Batch	PhraseID	Column	EO	RU	Expected	Current	MatchedExpected	ReverseJudgement	Notes
33	3363	日本語	Ĉu vi manĝas dolĉajn bulkojn por matenmanĝo?	Ты ешь сдобные булочки на завтрак?	朝食に甘い菓子パンを食べますか？	朝食に甘い菓子パンを食べますか？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
33	3363	中文	Ĉu vi manĝas dolĉajn bulkojn por matenmanĝo?	Ты ешь сдобные булочки на завтрак?	你早餐会吃甜面包吗？	你早餐会吃甜面包吗？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
34	3539	한국어	Bonvolu montri al mi alian	Пожалуйста, покажите мне другой.	다른 것 하나 보여주세요.	다른 것 하나 보여주세요.	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
35	3617	한국어	Ĉu vi havas arĝentan manĝilaron kun tia desegno?	У вас есть столовое серебро с таким узором?	그 무늬의 은 식기류가 있나요?	그 무늬의 은 식기류가 있나요?	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
36	3671	日本語	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	そのチョコレート菓子には何が入っていますか？	そのチョコレート菓子には何が入っていますか？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
36	3671	中文	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	那些巧克力糖果里有什么？	那些巧克力糖果里有什么？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
36	3671	한국어	Kio estas en tiuj ĉi ĉokoladaj bombonoj?	Что внутри этих шоколадных конфет?	그 초콜릿 사탕에는 뭐가 들어 있나요?	그 초콜릿 사탕에는 뭐가 들어 있나요?	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
41	4255	한국어	Ĉu elekti alian servon?	Выбрать другую услугу?	다른 서비스를 선택하시겠어요?	다른 서비스를 선택하시겠어요?	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
42	4347	日本語	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	新築物件と中古物件、どちらをご希望ですか？	新築物件と中古物件、どちらをご希望ですか？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
42	4347	中文	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	你想要新房还是二手房？	你想要新房还是二手房？	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
42	4347	한국어	Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?	Вы хотите новостройку или вторичную недвижимость?	신축 부동산을 원하시나요, 아니면 중고 매물을 원하시나요?	신축 부동산을 원하시나요, 아니면 중고 매물을 원하시나요?	YES	PASS	EO-RU-JA/ZH/KO aligned; no clear semantic drift in reverse check.
