28	2860	Hotel	Renting a Flat	Ĉu estas vazaro?	Есть посуда?	中文	有菜吗？	有餐具吗？	FIX	vazaro means tableware/dishes; previous ZH shifted to food-dishes meaning.
28	2911	Restaurant & Pub	Booking a Table	Ĉu ni mendu manĝaĵon por forporti?	Может, закажем с собой?	中文	要不要叫个外卖？	我们要不要点外带？	FIX	forporti indicates takeaway/to-go; previous ZH leaned to delivery wording.
28	2952	Restaurant & Pub	Ordering Drinks	Kun gaso aŭ sen?	Без газа или с газом?	中文	要常温水还是气泡水？	要无气水还是气泡水？	FIX	Source contrasts non-sparkling vs sparkling, not temperature.
28	2954	Restaurant & Pub	Ordering Drinks	Akvon sen gaso, mi petas	Воду без газа, пожалуйста.	日本語/中文	お水を一杯お願いします。 / 请给我一杯矿泉水。	炭酸なしの水をお願いします。 / 请给我一杯不含气的水。	FIX	Source explicitly requests still/non-sparkling water.
29	2971	Restaurant & Pub	Ordering Drinks	Nenion plu, dankon	Больше ничего, спасибо.	中文	没有其他问题，谢谢。	不用了，谢谢。	FIX	ZH drifted to “no further questions”; source means “nothing more (to order)”.
29	2972	Restaurant & Pub	Ordering Drinks	Ĉu oni jam servas vin?	Вас уже обслуживают?	日本語/한국어	ご用件をお伺いしておりますか？ / 도움을 드릴까요?	どなたか対応していますか？ / 이미 응대받고 계신가요?	FIX	JA/KO shifted to generic inquiry/offer-help; source asks whether customer is already being served.
29	2973	Restaurant & Pub	Ordering Drinks	Oni jam servas min, dankon	Меня уже обслуживают, спасибо.	한국어	저는 이미 주문을 받았어요, 감사합니다.	저는 이미 응대받고 있어요, 감사합니다.	FIX	KO changed meaning to “I already took an order”; source means “I am already being served.”
30	3114	Restaurant & Pub	Paying the Bill	Ĉio kune	Я оплачу счёт полностью.	日本語/中文	すべてそろっています。 / 全都在一起。	まとめてお願いします。 / 一起结账。	FIX	JA/ZH drifted to “everything is together/present”; payment context requires “all together (single bill)”.
30	3136	Restaurant & Pub	Complaints	Ĉi tio estas tro malvarma	Оно слишком холодное.	日本語/한국어	これは寒すぎます。 / 이거 너무 추워요.	これは冷たすぎます。 / 이거 너무 차가워요.	FIX	JA/KO used weather/body-cold wording; complaint context is food/drink being too cold.
30	3137	Restaurant & Pub	Complaints	Ĝi estas tro varma	Это слишком горячее.	日本語/한국어	暑すぎる。 / 너무 더워요.	これは熱すぎます。 / 너무 뜨거워요.	FIX	JA/KO used weather-hot wording; source means food/drink is too hot.
30	3139	Restaurant & Pub	Complaints	Ĝi estas tro malmola	Оно слишком жёсткое.	日本語/中文/한국어	これは難しすぎます。 / 这太难了。 / 이건 너무 힘들어요.	これは硬すぎます。 / 这太硬了。 / 이건 너무 질겨요.	FIX	CJK translations shifted to “too difficult/hard”; source means physically tough/hard food texture.
31	3207	Restaurant & Pub	At the Pub	Ĉu vi havas ankaŭ ion por manĝi?	У вас есть и что-нибудь поесть?	한국어	혹시 드실 것도 있으신가요?	혹시 먹을 것도 있나요?	FIX	KO shifted addressee to listener (“Do you have something to eat?”); source asks whether the venue has food.
31	3235	Food	Meat & Fish	Ili ŝatus porkajn ripojn	Они бы хотели свиные рёбрышки.	中文	他们想要一些猪排。	他们想要一些猪肋排。	FIX	ZH changed pork ribs to pork chops; source explicitly says ribs.
32	3258	Food	Fruit	Li ne ŝatas prunojn	Ему не нравятся сливы.	日本語	彼は梅が好きではありません。	彼はプラムが好きではありません。	FIX	EO/EN/RU indicate plums; previous JA shifted to ume (梅), which is a different fruit in common usage.
32	3349	Food	Breakfast Food	Mi prenos omleton	Я буду омлет.	中文	我要一份煎蛋。	我要一份煎蛋卷。	FIX	Source means omelette; previous ZH shifted to fried egg.
33	3433	Shopping	Clothes	Bonvolu provi ĉi tiun	Пожалуйста, попробуйте эту.	한국어	이것을 한번 시도해 보세요.	이걸 한번 입어 보세요.	FIX	Clothes context requires “try it on”; previous KO used generic “try/attempt this.”
33	3439	Shopping	Clothes	Ĉi tie estas tro malvaste	Здесь слишком тесно.	中文/한국어	这里太挤了。 / 여기가 너무 비좁아요.	这件这里太紧了。 / 여기가 너무 꽉 껴요.	FIX	In fitting context this means the garment is too tight here; previous ZH/KO sounded like crowded space.
34	3519	Shopping	Accessories	Ĉu vi havas ŝelkojn?	У вас есть подтяжки?	日本語/中文/한국어	矯正器具はつけていますか？ / 你戴牙套了吗？ / 치아 교정기 하고 계신가요?	サスペンダーはありますか？ / 有背带吗？ / 멜빵이 있나요?	FIX	EO/RU mean suspenders/braces (clothing accessory); previous CJK shifted to dental braces.
35	3638	Shopping	At the Supermarket	Ĉu io alia?	Что-нибудь ещё?	한국어	또 다른 궁금한 점 있으신가요?	다른 필요한 것이 있으신가요?	FIX	KO shifted to “Any other questions?”; source means “Anything else (to buy/need)?” in checkout context.
36	3672	Shopping	At the Supermarket	Kiujn markojn vi havas kun filtroj?	Какие марки у вас есть с фильтром?	中文/한국어	你有哪些带有筛选功能的品牌？ / 필터로 선택할 수 있는 브랜드에는 어떤 것이 있나요?	你们有哪些带过滤嘴的品牌？ / 필터가 있는 담배는 어떤 브랜드가 있나요?	FIX	ZH/KO misread “filters” as software-style filter function; source asks brands with filter tips.
36	3678	Shopping	At the Supermarket	Kvaronon de kilogramo, mi petas	Четверть килограмма, пожалуйста.	中文	请给我来一斤四分之一。	请给我来250克。	FIX	Quarter kilogram = 250g; previous ZH quantity expression was incorrect.
36	3690	Shopping	At the Bookshop & Florist's	Mi bezonas kajeron	Мне нужна тетрадь.	한국어	운동장이 필요해요.	공책이 필요해요.	FIX	KO shifted “exercise book/notebook” to “playground.”
37	3849	Leisure Time	At the Theatre	Ĉu ĉi tio estas dramo?	Это драма?	中文	这是在演戏吗？	这是戏剧吗？	FIX	ZH shifted to “is this acting?”; source asks whether the genre is drama.
37	3851	Leisure Time	At the Theatre	Mi ŝatas la dekoraciojn	Мне нравятся декорации.	日本語/中文/한국어	景色が好きです。 / 我喜欢这里的风景。 / 저는 그 풍경이 마음에 들어요.	舞台装置が気に入っています。 / 我喜欢这些舞台布景。 / 저는 그 무대 장치가 마음에 들어요.	FIX	Source means stage decorations/scenery; previous CJK shifted to natural landscape.
38	3890	Leisure Time	At the Theatre	Ĝis kioma horo daŭras la spektaklo?	До которого часа идёт спектакль?	日本語/中文/한국어	その舞台はいつまで上演されていますか？ / 这部戏演到什么时候？ / 연극은 언제까지 공연하나요?	その公演は何時に終わりますか？ / 这场演出到几点结束？ / 공연은 몇 시에 끝나나요?	FIX	Source asks end time of the performance (clock time); previous CJK shifted to end date/run period.
39	3995	Leisure Time	At the Beach	Kiom longe sufiĉos la aerbotelo?	На сколько хватает баллона?	中文	这个油箱能用多久？	这个氧气瓶能用多久？	FIX	ZH shifted to fuel tank; source means scuba air/oxygen cylinder.
40	4125	Leisure Time	Going Camping	Ĝi estas pli longa ol 2 kilometroj	Больше 2 километров.	中文/한국어	它超过两公里长。 / 2킬로미터보다 더 깁니다.	距离超过两公里。 / 2킬로미터 넘게 떨어져 있어요.	FIX	Source indicates distance (“more than 2 km away”); previous ZH/KO phrasing shifted to physical length.
40	4148	Leisure Time	Going Camping	Ĉu vi havas pli ebenan lokon?	У вас есть место поровнее?	日本語/한국어	水平器を置ける場所はありますか？ / 수평을 맞출 수 있는 자리가 있나요?	もっと平らな場所はありますか？ / 좀 더 평평한 자리가 있나요?	FIX	Source asks for a flatter spot; previous JA/KO shifted to level-tool/level-adjustment interpretation.
41	4164	Leisure Time	Family Time	Kiu ludas?	Кто играет?	中文	谁在表演？	谁在比赛？	FIX	Context is match/game (“Who is playing?”); previous ZH shifted to stage performance.
41	4195	Leisure Time	Gardening	Li havas prunarbojn	У него есть сливовые деревья.	日本語	彼は梅の木を持っています。	彼はプラムの木を持っています。	FIX	Source means plum trees; previous JA used ume trees.
42	4318	Services	At the Estate Agency	Mi volas trovi loĝejon por lui	Я хочу найти квартиру, сдающуюся в аренду.	中文	我想找一套房子出租。	我想找一套房子来租。	FIX	ZH was reversed to “renting out a house”; source means looking for a place to rent.
42	4335	Services	At the Estate Agency	Mi bezonas apartamenton kun nur unu dormoĉambro	Мне нужна квартира всего с одной спальней.	日本語	私はワンルームのアパートだけで十分です。	私は1ベッドルームのアパートが必要です。	FIX	Source explicitly means one-bedroom apartment; previous JA shifted to one-room studio.
43	4376	Services	At the Beauty Salon	Tondu pli mallonge, mi petas	Постригите покороче, пожалуйста.	日本語/中文/한국어	手短にお願いします。 / 请简明扼要。 / 간단하게 말씀해 주세요.	もう少し短く切ってください。 / 请再剪短一点。 / 좀 더 짧게 잘라 주세요.	FIX	All CJK shifted from haircut instruction to “speak briefly”; source requests shorter cut.
43	4377	Services	At the Beauty Salon	Razu tute kalve	Побрейте налысо.	日本語/中文/한국어	完全に剃られている / 全身剃光 / 완전히 면도했어요.	完全に丸刈りにしてください。 / 请全部剃光。 / 완전히 삭발해 주세요.	FIX	Source is request for complete head shave; previous CJK were passive statement/body-shave/past statement.
43	4381	Services	At the Beauty Salon	Ĉu vi povas akcepti min nun?	Вы можете принять меня сейчас?	日本語/中文/한국어	今、私のことが見えますか？ / 你现在能看到我了吗？ / 지금 저를 볼 수 있나요?	今、施術していただけますか？ / 你现在能给我做吗？ / 지금 시술해 주실 수 있나요?	FIX	Source asks service acceptance now; previous CJK shifted to visual “can you see me?”.
43	4411	Services	At the Beauty Salon	Ĉu vi ŝatus ion sur ĝi?	Вы бы хотели что-нибудь нанести?	日本語/中文/한국어	何かトッピングはいかがですか？ / 需要加点什么吗？ / 위에 뭐 얹어드릴까요?	何かおつけしますか？ / 您要加点什么吗？ / 뭔가 발라드릴까요?	FIX	Beauty-salon context implies applying product; previous JA/KO used food-topping phrasing.
44	4470	Services	Repairs	La kroneto estas rompita	Заводная головка сломана.	日本語/中文/한국어	巻き上げ機が壊れています。 / 卷绕机坏了。 / 윈더가 고장 났어요.	リューズが壊れています。 / 表冠坏了。 / 용두가 고장 났어요.	FIX	Source means watch crown/winder knob; previous CJK pointed to unrelated winding machine/winder device.
44	4523	Health	At the Doctor	Kiam vi eksentis vin malbone?	Когда вам стало плохо?	한국어	언제 기분이 나빴나요?	언제부터 몸이 안 좋으셨어요?	FIX	KO shifted to mood (“bad mood”); source asks onset time of feeling physically unwell.
46	4671	Health	At the Dentist	Krono rompiĝis	Коронка сломалась.	日本語	王冠が壊れた。	歯のクラウンが壊れました。	FIX	Dental context; JA used royal-crown meaning instead of tooth crown.
46	4671	Health	At the Dentist	Krono rompiĝis	Коронка сломалась.	한국어	왕관이 부러졌어요.	크라운이 부러졌어요.	FIX	Dental context; KO used royal-crown meaning instead of tooth crown.
46	4753	Health	At the Pharmacy	Oni povas ĝin aĉeti sen recepto	Его можно купить без рецепта.	中文	无需处方即可服用。	无需处方即可购买。	FIX	EO+RU specify purchase without prescription; ZH shifted to intake/consumption.
46	4753	Health	At the Pharmacy	Oni povas ĝin aĉeti sen recepto	Его можно купить без рецепта.	한국어	처방전 없이 복용할 수 있습니다.	처방전 없이 구입할 수 있습니다.	FIX	EO+RU specify purchase without prescription; KO shifted to intake/consumption.
47	4776	Health	At the Pharmacy	Ĉu vi havas ion por sekiĝintaj lipoj?	У вас есть что-нибудь для обветренных губ?	한국어	입술이 트셨나요? 사용할 만한 제품이 있을까요?	입술이 텄을 때 쓸 수 있는 게 있나요?	FIX	KO shifted to asking if listener's lips are chapped; source asks availability of a product for chapped lips.
50	5113	Time & Weather	Weather	Mi ŝatas la veteron	Мне нравится погода.	한국어	저는 날씨가 좋아요.	저는 이런 날씨를 좋아해요.	FIX	KO stated weather quality ("the weather is good") instead of speaker preference ("I like the weather").
