PhraseID	Column	CurrentValue	Esperanto	日本語	中文	한국어	Русский язык	Decision	Note
3722	日本語	「ロミオとジュリエット」を一冊ください。	"Bonvolu doni al mi ekzempleron de ""Romeo kaj Julieta"""	「ロミオとジュリエット」を一冊ください。	请给我一本《罗密欧与朱丽叶》。	"""로미오와 줄리엣"" 한 권 주세요."	"Пожалуйста, дайте мне экземпляр ""Ромео и Джульетты""."	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
3722	한국어	"""로미오와 줄리엣"" 한 권 주세요."	"Bonvolu doni al mi ekzempleron de ""Romeo kaj Julieta"""	「ロミオとジュリエット」を一冊ください。	请给我一本《罗密欧与朱丽叶》。	"""로미오와 줄리엣"" 한 권 주세요."	"Пожалуйста, дайте мне экземпляр ""Ромео и Джульетты""."	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
3952	中文	今晚是谁演出？	Kiu prezentiĝas ĉi-vespere?	今夜は誰が出演しますか？	今晚是谁演出？	오늘 밤에는 누가 공연하나요?	Кто сегодня выступает?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
3952	日本語	今夜は誰が出演しますか？	Kiu prezentiĝas ĉi-vespere?	今夜は誰が出演しますか？	今晚是谁演出？	오늘 밤에는 누가 공연하나요?	Кто сегодня выступает?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
3952	한국어	오늘 밤에는 누가 공연하나요?	Kiu prezentiĝas ĉi-vespere?	今夜は誰が出演しますか？	今晚是谁演出？	오늘 밤에는 누가 공연하나요?	Кто сегодня выступает?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4343	中文	您在寻找哪种类型的住房？	Kian loĝejon vi serĉas?	どのような住まいをお探しですか？	您在寻找哪种类型的住房？	어떤 종류의 주거지를 찾고 계신가요?	Какой вид жилья вы ищете?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4343	日本語	どのような住まいをお探しですか？	Kian loĝejon vi serĉas?	どのような住まいをお探しですか？	您在寻找哪种类型的住房？	어떤 종류의 주거지를 찾고 계신가요?	Какой вид жилья вы ищете?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4343	한국어	어떤 종류의 주거지를 찾고 계신가요?	Kian loĝejon vi serĉas?	どのような住まいをお探しですか？	您在寻找哪种类型的住房？	어떤 종류의 주거지를 찾고 계신가요?	Какой вид жилья вы ищете?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4345	中文	您是在找带家具的还是不带家具的住房？	Ĉu vi serĉas meblitan aŭ nemeblitan loĝejon?	家具付きの住まいをご希望ですか、それとも家具なしをご希望ですか？	您是在找带家具的还是不带家具的住房？	가구가 갖춰진 주거지를 원하시나요, 아니면 가구가 없는 주거지를 원하시나요?	Вы ищете меблированное или немеблированное жильё?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4345	한국어	가구가 갖춰진 주거지를 원하시나요, 아니면 가구가 없는 주거지를 원하시나요?	Ĉu vi serĉas meblitan aŭ nemeblitan loĝejon?	家具付きの住まいをご希望ですか、それとも家具なしをご希望ですか？	您是在找带家具的还是不带家具的住房？	가구가 갖춰진 주거지를 원하시나요, 아니면 가구가 없는 주거지를 원하시나요?	Вы ищете меблированное или немеблированное жильё?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4378	中文	你有发缝吗？	Ĉu vi havas disigon?	分け目はありますか？	你有发缝吗？	가르마가 있으신가요?	У вас есть пробор?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4395	日本語	熱いですか？	Ĉu estas varme?	熱いですか？	热吗？	뜨거운가요?	Горячо?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4395	한국어	뜨거운가요?	Ĉu estas varme?	熱いですか？	热吗？	뜨거운가요?	Горячо?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4412	中文	好的，请给我一些发胶喷雾。	Jes. Iom da harsprajo, mi petas	はい。ヘアスプレーをお願いします。	好的，请给我一些发胶喷雾。	네, 헤어스프레이 좀 주세요.	Да. Немного спрея для волос, пожалуйста.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4472	中文	你能修好这块手表吗？	Ĉu vi povas ripari ĉi tiun horloĝon?	この時計を修理できますか？	你能修好这块手表吗？	이 시계를 고칠 수 있나요?	Вы можете починить эти часы?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4546	中文	我摸这里的时候会疼吗？	Ĉu doloras, kiam mi tuŝas ĉi tie?	ここを触ると痛みますか？	我摸这里的时候会疼吗？	여기를 만지면 아프신가요?	Больно, когда я здесь дотрагиваюсь?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4615	한국어	다리 근육을 삔 것 같아요.	Mi pensas, ke mi streĉis muskolon en mia kruro	足の筋肉を痛めたみたいです。	我觉得我的腿拉伤了。	다리 근육을 삔 것 같아요.	Думаю, я потянула мышцу на ноге.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4762	中文	我想要一盒阿司匹林。	Mi ŝatus pakaĵon da aspirino	アスピリンを1箱いただけますか。	我想要一盒阿司匹林。	아스피린 한 팩 주세요.	Я бы хотел упаковку аспирина.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4762	日本語	アスピリンを1箱いただけますか。	Mi ŝatus pakaĵon da aspirino	アスピリンを1箱いただけますか。	我想要一盒阿司匹林。	아스피린 한 팩 주세요.	Я бы хотел упаковку аспирина.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4762	한국어	아스피린 한 팩 주세요.	Mi ŝatus pakaĵon da aspirino	アスピリンを1箱いただけますか。	我想要一盒阿司匹林。	아스피린 한 팩 주세요.	Я бы хотел упаковку аспирина.	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4802	中文	你用的是哪家手机运营商？	Kiun mobilan reton vi havas?	どの携帯会社を使っていますか？	你用的是哪家手机运营商？	어느 이동통신사를 사용하시나요?	Какая у тебя мобильная сеть?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4802	日本語	どの携帯会社を使っていますか？	Kiun mobilan reton vi havas?	どの携帯会社を使っていますか？	你用的是哪家手机运营商？	어느 이동통신사를 사용하시나요?	Какая у тебя мобильная сеть?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
4802	한국어	어느 이동통신사를 사용하시나요?	Kiun mobilan reton vi havas?	どの携帯会社を使っていますか？	你用的是哪家手机运营商？	어느 이동통신사를 사용하시나요?	Какая у тебя мобильная сеть?	PASS	EO↔JA/ZH/KO final consistency check passed (context-allowable, no clear semantic drift).
