Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
13	1431	Education	Student Life	Kiel mi povas plenigi la bibliotekan formularon?	Как мне заполнить библиотечный формуляр?	中文	我该如何填写借书证？	我该如何填写图书馆申请表？	FIX	EO/RU indicate a form (formularo/formulyar), not a borrower card; ZH narrowed to card/certificate object.
13	1431	Education	Student Life	Kiel mi povas plenigi la bibliotekan formularon?	Как мне заполнить библиотечный формуляр?	한국어	도서관 이용 카드는 어떻게 작성하면 되나요?	도서관 신청서는 어떻게 작성하면 되나요?	FIX	EO/RU indicate a form (formularo/formulyar), not a card; KO shifted the object from application form to card.
14	1467	Education	Student Life	Mi ankoraŭ devas ripeti multajn aferojn	Мне всё ещё нужно повторить много вещей.	日本語	まだ直さなければならないことがたくさんあります。	まだ復習しなければならないことがたくさんあります。	FIX	EO/RU indicate review/repetition for study; JA old wording shifted to correction/fixing tasks.
14	1467	Education	Student Life	Mi ankoraŭ devas ripeti multajn aferojn	Мне всё ещё нужно повторить много вещей.	한국어	아직 수정해야 할 부분이 많이 남아 있어요.	아직 복습해야 할 것이 많이 있어요.	FIX	EO/RU indicate review/repetition for study; KO old wording shifted to editing/correction tasks.
14	1509	Education	Numbers & Colours	Sesdek sep, sesdek ok, sesdek naŭ	Шестьдесят семь, шестьдесят восемь, шестьдесят девять.	日本語	676869	六十七、六十八、六十九。	FIX	JA cell collapsed into concatenated digits and lost lexical number sequence meaning.
11	1235	Dating	On a Date	Mi enamiĝis al vi	Я в тебя влюблён.	日本語	あなたに恋しています。	あなたに恋しました。	FIX	EO enamiĝis is inchoative/past ("fell in love"); JA present-state wording was less precise than past transition.
16	1693	Jobs	At the Interview	Mi studis en Kembriĝo	Я училась в Кембридже.	日本語	ケンブリッジに行きました。	ケンブリッジで学びました。	FIX	EO/RU indicate study at Cambridge; JA old wording only said "went to Cambridge" and dropped study meaning.
16	1693	Jobs	At the Interview	Mi studis en Kembriĝo	Я училась в Кембридже.	中文	我去过剑桥。	我曾在剑桥学习。	FIX	EO/RU indicate study at Cambridge; ZH old wording only said "been to Cambridge" and dropped study meaning.
16	1711	Jobs	At the Interview	Ni devos akiri rekomendojn	Нам потребуется получить рекомендации.	中文	我们需要进行背景调查。	我们需要获取推荐信。	FIX	EO/RU specify obtaining references/recommendations; ZH old wording broadened to generic background check.
20	2084	Plane	Passport Control & Customs	Rifuzo de eniro	Отказ во въезде	日本語	入場拒否	入国拒否	FIX	EO/RU indicate immigration entry denial; JA old wording meant venue-entry denial and missed border/immigration context.
24	2550	Other Transport	Taxi	Mi veturas al la Rockefeller-Centro	Я еду в Рокфеллеровский центр.	日本語	ロックフェラーセンターに行ってきます。	ロックフェラーセンターに行きます。	FIX	EO/RU are plain destination statement (I am going to ...); JA old wording added "I will go and come back" nuance.
29	2999	Restaurant & Pub	Ordering Food	Mi estas vegano	Я веган.	中文	我是素食主义者。	我是纯素食者。	FIX	EO/RU/KO explicitly indicate vegan (not general vegetarian); ZH old wording overlapped with vegetarian and weakened the strict vegan meaning.
36	3722	Shopping	At the Bookshop & Florist's	Bonvolu doni al mi ekzempleron de "Romeo kaj Julieta"	Пожалуйста, дайте мне экземпляр "Ромео и Джульетты".	日本語	「ロミオとジュリエット」のコピーをいただけますか。	「ロミオとジュリエット」を一冊ください。	FIX	EO/RU mean one copy/instance of a book title; JA old wording implied photocopy request rather than buying a book copy.
36	3722	Shopping	At the Bookshop & Florist's	Bonvolu doni al mi ekzempleron de "Romeo kaj Julieta"	Пожалуйста, дайте мне экземпляр "Ромео и Джульетты".	中文	请给我一份《罗密欧与朱丽叶》。	请给我一本《罗密欧与朱丽叶》。	FIX	EO/RU mean one book copy/volume; ZH old classifier wording was document-like and less natural for a book purchase request.
36	3722	Shopping	At the Bookshop & Florist's	Bonvolu doni al mi ekzempleron de "Romeo kaj Julieta"	Пожалуйста, дайте мне экземпляр "Ромео и Джульетты".	한국어	"로미오와 줄리엣" 사본 한 부 주세요.	"로미오와 줄리엣" 한 권 주세요.	FIX	EO/RU mean one copy of the book title; KO old wording asked for a photocopy (사본), shifting purchase meaning.
38	3952	Leisure Time	At the Nightclub	Kiu prezentiĝas ĉi-vespere?	Кто сегодня выступает?	日本語	今夜は何があるの？	今夜は誰が出演しますか？	FIX	EO uses "Kiu" (who), asking performer identity; JA old wording shifted to event content (what is on).
38	3952	Leisure Time	At the Nightclub	Kiu prezentiĝas ĉi-vespere?	Кто сегодня выступает?	中文	今晚有什么安排？	今晚是谁演出？	FIX	EO uses "Kiu" (who), asking performer identity; ZH old wording shifted to schedule/content (what is arranged).
38	3952	Leisure Time	At the Nightclub	Kiu prezentiĝas ĉi-vespere?	Кто сегодня выступает?	한국어	오늘 밤에는 뭐가 있나요?	오늘 밤에는 누가 공연하나요?	FIX	EO uses "Kiu" (who), asking performer identity; KO old wording shifted to event existence/content (what is on).
42	4343	Services	At the Estate Agency	Kian loĝejon vi serĉas?	Какой вид жилья вы ищете?	日本語	どのような宿泊先をお探しですか？	どのような住まいをお探しですか？	FIX	EO loĝejo in this real-estate dialog means residence/housing; old JA/ZH/KO wording drifted to temporary lodging context.
42	4343	Services	At the Estate Agency	Kian loĝejon vi serĉas?	Какой вид жилья вы ищете?	中文	您在寻找哪种类型的住宿？	您在寻找哪种类型的住房？	FIX	EO loĝejo in this real-estate dialog means residence/housing; old JA/ZH/KO wording drifted to temporary lodging context.
42	4343	Services	At the Estate Agency	Kian loĝejon vi serĉas?	Какой вид жилья вы ищете?	한국어	어떤 종류의 숙소를 찾고 계신가요?	어떤 종류의 주거지를 찾고 계신가요?	FIX	EO loĝejo in this real-estate dialog means residence/housing; old JA/ZH/KO wording drifted to temporary lodging context.
42	4345	Services	At the Estate Agency	Ĉu vi serĉas meblitan aŭ nemeblitan loĝejon?	Вы ищете меблированное или немеблированное жильё?	中文	您是在找带家具的还是不带家具的住宿？	您是在找带家具的还是不带家具的住房？	FIX	EO asks furnished vs unfurnished housing in property-search context; old ZH/KO wording leaned toward travel lodging.
42	4345	Services	At the Estate Agency	Ĉu vi serĉas meblitan aŭ nemeblitan loĝejon?	Вы ищете меблированное или немеблированное жильё?	한국어	가구가 갖춰진 숙소를 원하시나요, 아니면 가구가 없는 숙소를 원하시나요?	가구가 갖춰진 주거지를 원하시나요, 아니면 가구가 없는 주거지를 원하시나요?	FIX	EO asks furnished vs unfurnished housing in property-search context; old ZH/KO wording leaned toward travel lodging.
43	4378	Services	At the Beauty Salon	Ĉu vi havas disigon?	У вас есть пробор?	中文	你有分发线吗？	你有发缝吗？	FIX	EO/RU ask about a hair parting; old ZH wording used an incorrect term (分发线) and lost salon hair-parting meaning.
43	4395	Services	At the Beauty Salon	Ĉu estas varme?	Горячо?	日本語	暑いですか？	熱いですか？	FIX	EO/RU ask object temperature (hotness) in salon procedure context; old JA/KO wording meant weather heat (暑い/덥다).
43	4395	Services	At the Beauty Salon	Ĉu estas varme?	Горячо?	한국어	덥나요?	뜨거운가요?	FIX	EO/RU ask object temperature (hotness) in salon procedure context; old JA/KO wording meant weather heat (暑い/덥다).
43	4412	Services	At the Beauty Salon	Jes. Iom da harsprajo, mi petas	Да. Немного спрея для волос, пожалуйста.	中文	好的，请给我一些发胶。	好的，请给我一些发胶喷雾。	FIX	EO/RU specify hairspray; old ZH used hair gel (发胶), shifting product type.
44	4472	Services	Repairs	Ĉu vi povas ripari ĉi tiun horloĝon?	Вы можете починить эти часы?	中文	你能修好这只钟吗？	你能修好这块手表吗？	FIX	EO/RU indicate a wristwatch repair request; old ZH used wall-clock wording (钟), shifting object type.
44	4546	Health	At the Doctor	Ĉu doloras, kiam mi tuŝas ĉi tie?	Больно, когда я здесь дотрагиваюсь?	中文	我按这里的时候会疼吗？	我摸这里的时候会疼吗？	FIX	EO distinguishes touch from press; old ZH duplicated the press wording from previous line and lost the touch contrast.
45	4615	Health	Diseases	Mi pensas, ke mi streĉis muskolon en mia kruro	Думаю, я потянула мышцу на ноге.	한국어	다리에 근육이 뭉친 것 같아요.	다리 근육을 삔 것 같아요.	FIX	EO/RU indicate a pulled/strained leg muscle; old KO phrasing implied a mere muscle knot/tightness and weakened injury meaning.
47	4762	Health	At the Pharmacy	Mi ŝatus pakaĵon da aspirino	Я бы хотел упаковку аспирина.	日本語	アスピリンを1本いただけますか。	アスピリンを1箱いただけますか。	FIX	EO/RU specify a pack/package of aspirin; old JA/ZH/KO wording shifted to bottle unit.
47	4762	Health	At the Pharmacy	Mi ŝatus pakaĵon da aspirino	Я бы хотел упаковку аспирина.	中文	我想要一瓶阿司匹林。	我想要一盒阿司匹林。	FIX	EO/RU specify a pack/package of aspirin; old JA/ZH/KO wording shifted to bottle unit.
47	4762	Health	At the Pharmacy	Mi ŝatus pakaĵon da aspirino	Я бы хотел упаковку аспирина.	한국어	아스피린 한 병 주세요.	아스피린 한 팩 주세요.	FIX	EO/RU specify a pack/package of aspirin; old JA/ZH/KO wording shifted to bottle unit.
47	4802	Communication Means	Phone	Kiun mobilan reton vi havas?	Какая у тебя мобильная сеть?	日本語	どのネットワークに接続していますか？	どの携帯会社を使っていますか？	FIX	EO asks about mobile carrier/network provider; old JA/ZH/KO wording shifted to currently connected network state.
47	4802	Communication Means	Phone	Kiun mobilan reton vi havas?	Какая у тебя мобильная сеть?	中文	你现在连接的是哪个网络？	你用的是哪家手机运营商？	FIX	EO asks about mobile carrier/network provider; old JA/ZH/KO wording shifted to currently connected network state.
47	4802	Communication Means	Phone	Kiun mobilan reton vi havas?	Какая у тебя мобильная сеть?	한국어	어느 네트워크에 연결되어 있나요?	어느 이동통신사를 사용하시나요?	FIX	EO asks about mobile carrier/network provider; old JA/ZH/KO wording shifted to currently connected network state.
