row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
969	901-1000	ledo	{Ｂ}なめし革, 革	皮革	가죽
970	901-1000	legi	{Ｂ}［他］読む, 音読する; 読み取る, 解読する; 【情】読み取る	读	읽다, 글을 해독하다
971	901-1000	legomo	{Ｂ}野菜	蔬菜	채소
972	901-1000	lekcio	{Ｂ}（大学の）講義	演讲，讲学	대학 강의
973	901-1000	leki	{Ｂ}［他］なめる; 《転》へつらう	舔，舐；拍…马屁	혀로 핥다
974	901-1000	leono	{Ｂ}【動】ライオン; 獅子（しし）	狮子	사자
975	901-1000	leporo	{Ｂ}【動】ノウサギ; （一般に）ウサギ（兎）, >>〜	兔属动物	산과 들에 사는 토끼
976	901-1000	lerni	{Ｂ}［他］学習する, 学ぶ, 習う, 覚える; 身につける, 体得する	学；学会	배우다, 공부하다
977	901-1000	lerta	{Ｂ}器用な, 巧みな, 上手な; 敏捷な, すばしこい	灵巧，熟练，敏捷；机灵；精巧	솜씨 좋고 능숙한
978	901-1000	letero	{Ｂ}手紙, 書状, 書簡	信	편지, 서신
979	901-1000	levi	{Ｂ}［他］上げる, 持ち上げる, 拾い上げる; 立てる, 起こす; 《転》高める, 出す	（举、抬、提）起；提高，提拔	들어 올려 위로 높이다
980	901-1000	leĝo	{Ｂ}【法】法律, 法, 法規; おきて, 戒律, 律法; 【理】法則	法律，准则，法则	국가가 정한 강제력 있는 법이나 규범
981	901-1000	li	{Ｂ}［代］彼, あの男	他	그, 그 남자
982	901-1000	libera	{Ｂ}自由な; 独立の, 束縛されない, 免れた; ひまな, 空いている, 広々した	自由	자유롭고 구속이나 제약이 없는 상태
983	901-1000	libro	{Ｂ}本, 書籍, 書物, 図書; 帳簿, 記録簿; （書物の）巻, 編, 書	书，簿，册	책, 장부, 권
984	901-1000	liceo	{Ｂ}リセ（フランスの後期中等教育学校）	（法国和意大利的）中学校	프랑스·이탈리아의 중학교
985	901-1000	lifto	{Ｂ}エレベーター, 昇降機; 【海】（帆桁の）つり綱	电梯	사람을 층간에 나르는 승강기
986	901-1000	ligi	{Ｂ}［他］結ぶ, 縛る, つなぐ; 結び合わせる; 《転》束縛する; 関係づける; 団結させる	绑，连，联	묶다, 연결하다
987	901-1000	ligno	{Ｂ}木（木材）, 材木; 【植】木質	木质部，木材	나무의 단단한 부분
988	901-1000	lilio	{Ｂ}【植】ユリ（属）（百合）	百合属植物	백합속식물
989	901-1000	limo	{Ｂ}境界, 境, 端, 果て; 国境; 限界, 限度, 極限; 期限	分界线；范围	경계선
990	901-1000	lingvo	{Ｂ}言語, 言葉; 言葉づかい, 語法; 伝達手段	语言	언어, 말
991	901-1000	linio	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
992	901-1000	lipo	{Ｂ}唇; 《転》口; 【植】唇弁（しんべん）	唇	입술
993	901-1000	listo	{Ｂ}一覧表, 表, リスト, 目録, 名簿	表，目录，名单	목록, 명단
994	901-1000	literaturo	{Ｂ}文学, 文芸; 文献	文学，关于某个问题的全部文献	문학, 문헌
995	901-1000	litero	{Ｂ}文字, 字; 【印】活字, >>ideografiaĵo; 字句, 文面	字母	글자, 문자
996	901-1000	lito	{Ｂ}ベッド, 寝台; 寝床; （動物の）ねぐら	床	침대, 잠자는 자리
997	901-1000	litro	{Ｂ}【単】リットル（容積の単位）	升	부피 단위 리터
998	901-1000	liveri	{Ｂ}［他］配達する, 届ける, 引き渡す, 納品する; 供給する	交货，交付；供给，提供	물건을 배달하거나 인도하다
999	901-1000	logi	{Ｂ}［他］気を引く, （心を）引き付ける, 魅惑する; 誘う, おびき寄せる	引诱；吸引	유혹하다, 꾀어 끌어들이다
1000	901-1000	logiko	{Ｂ}論理学; 論理, 論法, 道理; 論理的必然, 当然の成り行き	逻辑；推理；必然联系	논리, 사물의 이치
