row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1039	1001-1100	marĉo	{Ｂ}沼, 沼沢; 《転》どろ沼	沼泽，沼地；困境	늪, 소택
1040	1001-1100	marŝi	{Ｂ}［自］行進する, 前進する; （比較的長い距離を）歩いて行く	行进，步行，跋涉	걷다, 걸어가다
1041	1001-1100	maso	{Ｂ}かたまり（塊）; 集積, 総体; 【美】マッス; 【理】質量	一堆，一团，一块；质量	뭉쳐 있는 덩어리나 집단
1042	1001-1100	masto	{Ｂ}【海】マスト, 帆柱; （一般に）支柱, 柱	桅杆，樯，架电线等用的长杆	배의 돛대, 마스트
1043	1001-1100	mastro	{Ｂ}主人, 支配人, 雇い主; 持ち主, 所有主; 【生】宿主	主人	집이나 사업체의 주인, 소유자
1044	1001-1100	matematiko	{Ｂ}数学	数学	수학
1045	1001-1100	mateno	{Ｂ}朝, 午前中	早晨	아침
1046	1001-1100	materialo	{Ｂ}材料, 原料, 資材; 用具, 器具, 機材; 《転》資料, データ, 題材	材料，物资；器材，设备	물건을 만드는 재료, 자재
1047	1001-1100	materio	{Ｂ}物質, 物体; 【哲】質料	物质	물질, 질료
1048	1001-1100	mato	{Ｂ}マット, むしろ, ござ, 敷物, >>〜, >>tatamo / 【遊】（チェス・将棋の）詰み, チェックメイト	席子；（国际象棋）将死	돗자리, 깔개；（체스） 체크메이트
1049	1001-1100	matraco	{Ｂ}マットレス（寝床用の厚い敷物）	床垫	침대 매트리스
1050	1001-1100	matura	{Ｂ}熟した, 成熟した; 《転》熟慮した, 練られた; 【商】（手形などが）満期の	成熟；成年；（票据等）到期的	완전히 익어 성숙한, 다 자란 상태；（어음 등이） 만기의
1051	1001-1100	maĉi	{Ｂ}［他］かみ砕く, かむ	（咀）嚼，（像咀嚼似的）体会	음식을 씹다
1052	1001-1100	maŝino	{Ｂ}機械, 機関, 機器; 《転》機構, 仕組み	机器，机械	기계, 기기
1053	1001-1100	meblo	{Ｂ}（個々の）家具, 調度, 備品	家具	가구
1054	1001-1100	medicino	{Ｂ}医学, 医術, 医療	医学，医术	의학, 의술
1055	1001-1100	medikamento	{Ｂ}薬, 医薬, 薬剤, >>kuracilo	药剂，药品	약, 의약품
1056	1001-1100	mediti	{Ｂ}［自］考え込む, 思索する, 黙想する; 瞑想する	沉思，默想	깊이 생각하다
1057	1001-1100	mekaniko	{Ｂ}力学, 機械学, >>dinamiko, >>statiko; 機械の仕組み/原理	力学；机械学	역학, 기계학; 기계의 구조·원리
1058	1001-1100	mekanismo	{Ｂ}機械装置, 仕掛け, メカニズム; 機構, 構造, 仕組み; 【芸】技巧, テクニック	机械原理；机器构造	기계나 조직·과정의 구조, 메커니즘
1059	1001-1100	melono	{Ｂ}【果】メロン; 【植】メロン（種）	甜瓜，香瓜	멜론
1060	1001-1100	mem	{Ｂ}［副］～自身, ～自ら, ～そのもの; 自分から, 自発的に, おのずと	本人；亲自；自愿	스스로, 자기 자신
1061	1001-1100	membro	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	成员，会员；（解）肢体（手脚等）	구성원; (신체) 사지(손·발)
1062	1001-1100	memori	{Ｂ}［他］覚えている, 記憶している, 忘れない	记住，记得，记忆	기억하다, 잊지 않고 간직하다
1063	1001-1100	mencii	{Ｂ}［他］言及する, ちょっと触れる, 名を挙げる	说起，提及，提到	언급하다, 이름을 말하다
1064	1001-1100	mendi	{Ｂ}［他］注文する, あつらえる, 予約する	定购，预定（事后付款）	주문하다, 예약하다
1065	1001-1100	menso	{Ｂ}精神, 心, 知力, >>〜, >>〜, >>〜, >>psiko	精神，心灵；智能，智力	정신, 마음, 지성
1066	1001-1100	mensogi	{Ｂ}［自］嘘（うそ）をつく, 偽る, 欺く	说谎，撒谎	거짓말하다, 속이다
1067	1001-1100	mentono	{Ｂ}【解】下あご, 下顎（かがく）, >>makzelo	下巴；下颌	턱, 아래턱
1068	1001-1100	menuo	{Ｂ}【料】メニュー; 【情】メニュー	饭菜；菜单；（计）菜单	메뉴, 음식차림표；（컴퓨터） 메뉴
1069	1001-1100	meriti	{Ｂ}［他］（賞賛・非難などに）価する, ふさわしい, 当然である	值得，应得	받을 자격이 있다
1070	1001-1100	merkredo	{Ｂ}水曜日	星期三	수요일
1071	1001-1100	metalo	{Ｂ}金属, 地金; 【化】金属元素	金属	금속
1072	1001-1100	meti	{Ｂ}［他］置く, 入れる, 備え付ける, 身につける; （ある状態に）する	放置	어딘가에 놓다, 두다
1073	1001-1100	metio	{Ｂ}手職, 手仕事; 職業	手工业，手艺	손으로 하는 기술직
1074	1001-1100	metodo	{Ｂ}方法, 方式; 【学】測定法	方法，办法，法	방법, 방식
1075	1001-1100	metro	{Ｂ}【単】メートル（長さの単位，m）; メートル尺; 【文】歩格, 韻律	米	길이 단위인 미터
1076	1001-1100	mezo	{Ｂ}まん中, 中央, 中点; 中間, 中位, 中ほど; 最中, 途中	中间	중간, 중심
1077	1001-1100	mezuri	{Ｂ}［他］計る, 寸法をとる; 測定する; 《転》評価する	量，测量	길이·양 등을 재다, 측정하다
1078	1001-1100	mi	{Ｂ}［代］私, 僕（ぼく）, あたし	我	일인칭 대명사 나
1079	1001-1100	mielo	{Ｂ}蜂蜜（はちみつ）, みつ, >>nektaro, >>melaso	蜂蜜，蜜	벌꿀
1080	1001-1100	mieno	{Ｂ}（顔の）表情, 顔つき, 顔色; 外見, 態度, ようす	神态，神情，脸色；气色	얼굴 표정, 안색
1081	1001-1100	migri	{Ｂ}［自］移動する, 遍歴する, 渡り歩く; 移住する; （動物が定期的に）移動する, （鳥が）渡る	漫游，远游；流浪，迁徙	이주하다, 떠돌아다니다
1082	1001-1100	miksi	{Ｂ}［他］混ぜる, 混合する; 《転》混同する	使混合；配置，调制	섞다, 혼합하다
1083	1001-1100	mil	{Ｂ}［数詞］千	千	천(1000)
1084	1001-1100	milda	{Ｂ}温和な, 優しい, 穏やかな, もの柔らかな	柔和，温和，温柔	성격이 온화하고 부드러운
1085	1001-1100	miliardo	{Ｂ}十億	十亿（吉）	십억
1086	1001-1100	miliono	{Ｂ}百万	百万；一百万	백만
1087	1001-1100	militi	{Ｂ}［自］戦争する, 戦う, >>〜	作战	전쟁하다
1088	1001-1100	minaci	{Ｂ}［他］脅す, 脅かす, 脅迫する; （危険が）迫る, ～する恐れがある, 危うく～しそうである	威胁，恐吓	위협하다, 협박하다
1089	1001-1100	mineralo	{Ｂ}鉱物, >>erco; 無機物, ミネラル	矿物（质）	광물, 무기물
1090	1001-1100	minimumo	{Ｂ}最小, 最少, 最低; 【数】最小, 極小, ><〜	最小量，最低限度	최소한의 수량이나 한도
1091	1001-1100	ministerio	{Ｂ}（政府の）省, >>〜	部，部委机关	(정부의) 부, 성
1092	1001-1100	ministro	{Ｂ}大臣	部长，阁员，大臣	정부의 장관, 대신
1093	1001-1100	mino	{Ｂ}鉱山, 採掘坑; 爆破坑; 【軍】地雷, 機雷	矿，矿山，矿坑；地雷坑；地雷	광산, 광석을 캐는 곳
1094	1001-1100	minus	{Ｂ}［接］【数】マイナス（引き算・負数）; 《般》～を差し引いて, ><〜	减；负	빼기, 음수를 나타내는 부호
1095	1001-1100	minuto	{Ｂ}（時間の）分; 寸時, ごく短い時間; （角度の）分	分钟	1분, 매우 짧은 시간
1096	1001-1100	miri	{Ｂ}［自］不思議に思う, 驚く, 驚嘆する	惊奇	놀라다, 경탄하다
1097	1001-1100	mis-	{Ｂ}［接頭辞］（誤り・失敗を示す）, >>〜aŭdi	不适当，错误，不准确	잘못됨, 오류, 실패를 나타내는 접두사
1098	1001-1100	mistero	{Ｂ}神秘, 不思議, 謎, 秘密; 【キ】玄義; 【宗】秘儀, 奥義	奥秘	신비, 수수께끼
1099	1001-1100	mizero	{Ｂ}悲惨, 窮状, 困窮, 貧困, 窮乏	极度贫困；苦难	극심한 빈곤, 비참한 상태
1100	1001-1100	modelo	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	모형, 원형, 본보기; (인물) 모델; (이론) 모델
