row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
425	fadeno	{Ｂ}糸, 線; 筋, 脈絡（針金は通常、別語（metal〜）を用いる）	线；线索	가늘고 긴 실이나 줄, 비유적으로 연속성
426	fajfi	{Ｂ}［自］（高く鋭い音を出すこと）口笛を吹く, 指笛を吹く; 警笛を鳴らす, 汽笛を鳴らす; （鳥が）ぴいぴい鳴く	吹口哨，吹哨	휘파람이나 호루라기를 불다
427	fajro	{Ｂ}火; 火事; 《転》情熱, 熱中	火	불, 화재
428	fako	{Ｂ}専門, 部; （棚や箱などの）仕切り, 区画; 科目, 種目; 【遊】（将棋盤の）升目	格子；学科；部门	전문 분야
429	fakto	{Ｂ}事実; 真相	事实	사실
430	faldi	{Ｂ}［他］折りたたむ	折叠	종이·옷을 접다
431	fali	{Ｂ}［自］落ちる, 落下する; 倒れる, 転ぶ; 降る; 《転》滅びる	落下，跌倒	위에서 아래로 떨어지다
432	falsi	{Ｂ}［他］偽造する, 変造する, 偽作する, 改竄（かいざん）する, 偽る	伪造，篡改，作假	위조하다
433	fama	{Ｂ}有名な, 名高い, 評判の	有名，著名	유명한, 명성이 있는
434	familiara	{Ｂ}親しい, 慣れ親しんだ, 心安い, くだけた, 平俗な, >>〜, >>senceremonia	亲昵，不拘礼仪，随便	친숙하고 허물없는, 가까운 사이의
435	familio	{Ｂ}家族; 一族; 【生】（分類学上の）科; 【語】語族	家庭，家族；（生）科；（语）语族	가족, 【생물】과, 【언어】어족
436	fandi	{Ｂ}［他］（熱で）溶かす; 鋳造（ちゅうぞう）する	熔化，冶炼；铸	열로 녹이다, 금속을 주조하다
437	fanfaroni	{Ｂ}［自］空威張りする, 大言壮語する, ほらを吹く, >>bombasti	自夸，吹牛，说大话	허풍떨다, 과장해서 자랑하다
438	fantazio	{Ｂ}幻想, 夢想; （創造的な）空想力; 【楽】幻想曲, ファンタジア	想象，想象力；奇想，幻想；幻觉	창조적인 상상력
439	farbo	{Ｂ}絵具, 顔料, ペンキ	颜料，油彩	페인트, 안료
440	fari	{Ｂ}［他］する, 遂行する; 作る, つくり出す	做；造；使……成为	하다, 만들다
441	farmi	{Ｂ}［他］小作する, （農地を）賃借りする	租种	농지를빌려경작하다
442	farti	{Ｂ}［自］～の健康状態である	（身体）感觉；过得（好/不好等）	건강 상태가 어떻다
443	faruno	{Ｂ}【料】（穀物の）粉, 小麦粉	面粉；粉末	곡물 가루
444	fasko	{Ｂ}束（たば）; 【理】束（そく）, ビーム	一捆（束、扎）	다발, 묶음
445	favora	{Ｂ}好意的な; 有利な, 好都合な	偏爱的；优惠的，有利	호의적인
446	faŭko	{Ｂ}（猛獣などの）口; （つぼ・トンネルなどの）口, 開口部	（毒蛇猛兽）的血盆大口，入口	맹수의 큰 입, 넓은 구멍·입구
447	febro	{Ｂ}【病】高熱, 熱病; 《転》熱中, ～熱	发烧，热；狂热	고열, 열병
448	februaro	{Ｂ}２月	二月	2월
449	federacio	{Ｂ}連合; 連邦	联邦	여러 국가의 연방
450	feliĉa	{Ｂ}幸福な, 幸せな; 幸運な	幸福，幸运	행복한, 운 좋은
451	felo	{Ｂ}（未加工の）皮, 毛皮	毛皮，生皮	가공전가죽, 모피
452	fenestro	{Ｂ}窓; 【情】ウィンドウ	窗户；（计）窗口	창, 창문；（컴퓨터） 윈도우
453	fenomeno	{Ｂ}現象, 事象; 《転》特異現象, 驚くべき事件; 【哲】現象, 外象	表象，现象	현상, 사상
454	ferio	{Ｂ}休日, 休業日; （一日の）休暇, 休み, >>festotago, >>libertempo	假日	휴일
455	fermi	{Ｂ}［他］閉める, 閉じる, 閉ざす; 《転》終える	关	닫다, 폐쇄하다
456	fero	{Ｂ}鉄; =feraĵo	铁	금속 원소 철
457	fervora	{Ｂ}熱心な, 熱烈な, 熱情にあふれた, >>〜, >>entuziasma	热心，热情	열성적인, 열심인
458	festeni	{Ｂ}［自］ごちそうを食べる; 宴会に参加する; 祝宴を催す	欢宴，赴宴	연회를 열다, 잔치를 벌이다
459	festi	{Ｂ}［他］祝う	庆祝，过（节）	축하하다
460	fianĉo	{Ｂ}婚約者（男）, いいなずけ（男）	未婚夫	남자 약혼자
461	fidela	{Ｂ}忠実な, 誠実な; 節操の堅い, 貞節な; 事実を曲げない	忠实，坚贞，逼真	충실한, 성실한
462	fidi	{Ｂ}［他］信頼する, 信用する	信任，信赖	신뢰하다, 믿다
463	fiera	{Ｂ}誇り高い, 自尊心のある; 高慢な, 尊大な	自豪，得意；骄傲，自负	자랑스러워하는, 거만한
464	figuro	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람·사물의 형태; (수학) 도형; (수사) 비유적 표현
465	fikcio	{Ｂ}虚構, フィクション, 作り事, 作り話	虚构，幻想（文艺）	허구, 꾸며낸 이야기
466	fiksi	{Ｂ}［他］固定する, 取りつける, 据える; 【写】定着する; 取り決める, 定める, 確定する	将…固定在…	단단히 고정하거나 확정하다
467	filmo	{Ｂ}（写真や映画の）フィルム; 映画（個々の作品）	胶片，感光片；影片	사진·영화용 필름; 영화 작품
468	filo	{Ｂ}息子	儿子	아들
469	financo	{Ｂ}財政, 財務; 金融	财政，金融；财政学	재정, 금융
470	fingro	{Ｂ}指; 指の幅	手指	손가락
471	fini	{Ｂ}［他］終える, やめる; 仕上げる, 完了する	结束；完成	끝내다, 완료하다
472	firma	{Ｂ}堅い, 引き締まった; しっかりした, ぐらつかない; 《転》堅固な, 確固とした	坚实，牢固；坚决	단단하고 견고한, 흔들리지 않는
473	fiziko	{Ｂ}物理学	物理学	물리학
474	fiŝo	{Ｂ}魚	鱼	물고기
475	flago	{Ｂ}旗, >>〜	旗帜	깃발, 기
476	flamo	{Ｂ}炎, 火炎; 情熱の炎, 激情	火焰，火苗	불꽃, 타오르는 불길
477	flanko	{Ｂ}側（がわ）, わき; 側面; （～の）方（ほう）	面，侧	옆, 측면, 쪽
478	flari	{Ｂ}［他］（においを）感じる; 嗅ぐ; 嗅ぎ分ける	嗅到，闻到；嗅，闻	냄새를 맡다, 냄새를 느끼다
479	flava	{Ｂ}黄色い, 黄色の	黄颜色	노란, 황색의
480	flegi	{Ｂ}［他］看護する; 《転》（入念に）世話をする, 面倒をみる	看护，护理	환자를 돌보아 간호하다
481	fleksi	{Ｂ}［他］曲げる, たわめる; 《転》屈服させる, 従わせる	屈，弯曲；使屈服	굽히다, 휘게 하다
482	fliki	{Ｂ}［他］つぎを当てる; 《転》取り繕う; 【情】パッチを当てる	缝补，修补；弥补	헝겊을 대어 헐린 데를 깁다
483	flirti	{Ｂ}［自］（旗などが）翻る; （蝶などが）ひらひら飛び回る; （異性と）たわむれる	翩翩（飞舞）；飘扬；调情	펄럭이다, 나풀거리다
484	floro	{Ｂ}花, 草花; 精華, 最良の部分	花	꽃, 식물의 꽃
485	floso	{Ｂ}いかだ	筏，木排	뗏목
486	flugi	{Ｂ}［自］飛ぶ, 飛行する; 飛ぶように進む, 急ぐ	飞	공중을 날다, 비행하다
487	flui	{Ｂ}［自］流れる; 流れるように動く; 《転》（話などが）よどみなく進む	流，流动	액체가 흘러 움직이다
488	flustri	{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>〜, >>murmureti	低语，耳语，发潺潺（飒飒）声	작게 속삭이다, 소곤소곤 말하다
489	foiro	{Ｂ}定期市, 見本市, （家畜・農産物の）品評会	（定期定点的大型）集市，交易会，展销会	정기적으로 열리는 큰 시장
490	fojo	{Ｂ}度, 回	次，回	번, 회, 차례
491	folio	{Ｂ}（植物の）葉; （金属などの）薄片; 紙片	叶，张（两面）	식물의 잎
492	fondi	{Ｂ}［他］創立する, 創設する, 創建する; 根拠を置く	建立；创建，创办	조직 등을 창설하다
493	fonto	{Ｂ}泉, 水源; 源; 《転》源泉, 根源	泉，源	샘, 근원
494	for	{Ｂ}［副］遠くへ; 離れて / ［間］去れ！	往远处；在远处；不在，不见	멀리, 떨어져
495	forgesi	{Ｂ}［他］忘れる, 失念する; なおざりにする, おろそかにする	忘记，忽略	잊다, 기억하지 못하다
496	forko	{Ｂ}フォーク状の道具; 【料】フォーク, =manĝo〜	叉子，叉形物	포크 모양의 도구, 식탁용 포크
497	formo	{Ｂ}形, 形状; 形態, 様相; 形式, 外形; 作法	形状，样子	사물의 겉모양, 형체
498	formulo	{Ｂ}書式; 【理】式; 【数】公式	公式，分子式；格式；说法，用语	공식
499	forno	{Ｂ}炉, かまど; 暖炉, ストーブ; こんろ	炉	화덕, 난로
500	forta	{Ｂ}強い, 力強い; 強固な; 激しい	强有力；坚强	강한, 힘센
