row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
760	701-800	kelka	{Ｂ}（数について）いくつかの, 何人かの; （量について）いくらかの, 多少の	一些；[~aj]几个（人），不很多	몇몇의, 약간의 수 또는 양
761	701-800	kelnero	{Ｂ}給仕, ウエーター, ボーイ	侍者，服务员	웨이터, 종업원
762	701-800	kelo	{Ｂ}地下室, 穴倉, 地下貯蔵庫; 《転》（地下に貯蔵された）ワイン（全体）	地窖，地下室	식료품·포도주 등을 두는 지하실
763	701-800	kemio	{Ｂ}化学	化学	화학
764	701-800	kerno	{Ｂ}核, 種（たね）, 芯（しん）; 《転》核心; 【理】核, =〜	仁，核；中心，核心	사물의 중심이 되는 가장 중요한 부분
765	701-800	kesto	{Ｂ}箱, ケース, 容器	箱子	상자, 용기
766	701-800	kia	{Ｂ}［形］どのような, どんな	什么样的	어떠한, 어떤 성질의
767	701-800	kial	{Ｂ}［副］なぜ, どうして / {Ｂ}［接］なぜ～かということ	为什么	왜, 어째서
768	701-800	kiam	{Ｂ}［副］いつ / ［接］～ときに	什么时候；[连]当…时候	언제, 〜할 때
769	701-800	kie	{Ｂ}［副］どこで, どこに	在什么地方	어디에, 어느 곳에
770	701-800	kiel	{Ｂ}［副］いかに, どのように / {Ｂ}［接］～のように	怎样；如同；作为	어떻게, 어떤 방식으로
771	701-800	kies	{Ｂ}［形］だれの	谁的	누구의
772	701-800	kino	{Ｂ}映画, 映画制作, >>〜	电影	영화
773	701-800	kio	{Ｂ}［代］何, 何事	什么	무엇
774	701-800	kiom	{Ｂ}［副］どれほど, どれくらい, いくら / {Ｂ}［接］（～）ほど	多少	얼마, 어느 정도의 양
775	701-800	kirurgio	{Ｂ}【医】外科学, 外科	外科，外科学，外科手术	외과학
776	701-800	kisi	{Ｂ}［他］キスする, 口づけする; 《転》そっと触れる	吻	입맞추다, 키스하다
777	701-800	kiu	{Ｂ}［形］どの, どちらの / {Ｂ}［代］だれ, どれ, どちら	谁；哪一个	누구, 어느 사람·어느 것
778	701-800	klara	{Ｂ}澄みきった, 明るい; 明瞭（めいりょう）な, 明白な	清楚；明亮，清澈	맑은
779	701-800	klasika	{Ｂ}古典の; 古典的な, 伝統的な, 正統派の; 【芸】古典主義の, 古典派の	古典，经典	고전의, 고전적인, 전통적인
780	701-800	klaso	{Ｂ}等級, 種類; 階級, 階層; クラス, 学級, 組; 【生】（分類学上の）綱（こう）	阶级；班级；等级	학교에서 같은 단계의 학생 집단, 학급
781	701-800	klera	{Ｂ}教養ある, 学識のある	有文化，有教养，有见识	교양있고유식한
782	701-800	kliento	{Ｂ}顧客, 依頼人, 患者; 得意客, 常連; 【史】（古代ローマの）クリエンテス（被保護平民）	顾客，委托人，患者	고객, 의뢰인, 환자
783	701-800	klimato	{Ｂ}気候; 風土	气候，风土	기후
784	701-800	klini	{Ｂ}［他］傾ける, 斜めにする; 《転》心を向けさせる	使倾斜，使弯曲，俯身	기울이다, 몸을 굽히다
785	701-800	klopodi	{Ｂ}［自］奔走する, 尽力する, 世話を焼く	尽力，忙碌；奔走，奔忙	애쓰다, 힘쓰다
786	701-800	klubo	{Ｂ}クラブ, 会, 結社	俱乐部，联谊会	클럽, 동호회
787	701-800	knabo	{Ｂ}少年, 男の子	男孩	소년, 남자아이
788	701-800	knedi	{Ｂ}［他］（穀粉・粘土を）こねる, 練る; もむ; 《転》（性格などを）鍛える	和面，揉面；揉捏，捏塑	밀가루나 진흙을 반죽하다, 주무르다
789	701-800	koketa	{Ｂ}こびるような, なまめかしい, 色っぽい	卖弄风情	교태를 부리는, 요염한
790	701-800	koko	{Ｂ}ニワトリ（鶏）	鸡（家鸡）	닭
791	701-800	kolegio	{Ｂ}【学】（英米などの）カレッジ, 単科大学, 高等専門学校; （仏などの）コレージュ, 中等学校; 【宗】（同じ職能の）集団, 会	学院；专门学校，高等专科学校	단과대학, 전문대학 등 고등 교육 기관
792	701-800	kolektiva	{Ｂ}集団的な, 団体の, 共同の; 集合的な	集体的，公共的，集团的	집단적인, 공동의
793	701-800	koleri	{Ｂ}［自］怒る, 腹を立てる（対象・原因を伴う）; ［他］まれ	发怒	화내다, 성을 내다
794	701-800	kolizii	{Ｂ}［自］衝突する, ぶつかる	互撞，相碰	충돌하다, 부딪치다
795	701-800	kolo	{Ｂ}【解】首; 《転》首状に細くなった部分	颈，脖子	사람과짐승의목
796	701-800	kolombo	{Ｂ}【鳥】ハト（鳩）（ハト科の鳥の総称）	鸽属鸟类	비둘기
797	701-800	kolono	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱；（排版）栏；（军）纵队	원주, 기둥; (인쇄) 난(欄); (군사) 종대
798	701-800	koloro	{Ｂ}色, 色彩; 【楽】=son〜（音色）; 【遊】（トランプの）色（赤または黒）; 《転》特色, 個性, 色合い	颜色，色彩；（乐）音色；（牌）花色；（转）特色	색, 색채; (음악) 음색; (카드) 색; (비유) 특색
799	701-800	kolumno	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列；（数）数位	신문 칼럼; 세로 열(欄); (수학) 자리수
800	701-800	komandi	{Ｂ}［他］【軍】指揮する, 指図する, 命令する; 【機】操作する, 制御する	统帅，指挥，命令，控制	군대를 지휘·명령하다
