row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
1060	mem	scope_ko:5	{Ｂ}［副］～自身, ～自ら, ～そのもの; 自分から, 自発的に, おのずと	本人；亲自；自愿	스스로, 자기 자신	0	5
1062	memori	balanced	{Ｂ}［他］覚えている, 記憶している, 忘れない	记住，记得，记忆	기억하다, 잊지 않고 간직하다	1	1
1064	mendi	balanced	{Ｂ}［他］注文する, あつらえる, 予約する	定购，预定（事后付款）	주문하다, 예약하다	1	1
1072	meti	scope_zh:8|scope_ko:8	{Ｂ}［他］置く, 入れる, 備え付ける, 身につける; （ある状態に）する	放置	어딘가에 놓다, 두다	8	8
1075	metro	scope_zh:5|scope_ko:5	{Ｂ}【単】メートル（長さの単位，m）; メートル尺; 【文】歩格, 韻律	米	길이 단위인 미터	5	5
1077	mezuri	balanced	{Ｂ}［他］計る, 寸法をとる; 測定する; 《転》評価する	量，测量	길이·양 등을 재다, 측정하다	1	1
1084	milda	scope_ko:5	{Ｂ}温和な, 優しい, 穏やかな, もの柔らかな	柔和，温和，温柔	성격이 온화하고 부드러운	0	5
1089	mineralo	scope_ko:5	{Ｂ}鉱物, >>erco; 無機物, ミネラル	矿物（质）	광물, 무기물	0	5
1091	ministerio	balanced	{Ｂ}（政府の）省, >>〜	部，部委机关	(정부의) 부, 성	1	1
1093	mino	scope_ko:8	{Ｂ}鉱山, 採掘坑; 爆破坑; 【軍】地雷, 機雷	矿，矿山，矿坑；地雷坑；地雷	광산, 광석을 캐는 곳	0	8
1098	mistero	scope_zh:5	{Ｂ}神秘, 不思議, 謎, 秘密; 【キ】玄義; 【宗】秘儀, 奥義	奥秘	신비, 수수께끼	5	0
1100	modelo	scope_zh:6	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	모형, 원형, 본보기; (인물) 모델; (이론) 모델	6	0
