row	batch	esperanto	score_zh	score_ko	score_sum	verdict	target_column	suggested_minimal	reason	Japanese_Trans	Chinese_Trans	Korean_Trans
912	901-1000	kubuto	15	16	31	optional_low	Chinese_Trans|Korean_Trans	肘；弯头，弯管接头 / 팔꿈치; 굽은 부분; (기계) 엘보관	屈曲部・機械義の補完余地。	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘，肘关节	팔꿈치
957	901-1000	lango	18	15	33	optional_low	Korean_Trans	혀; (식용) 혀고기; (비유) 말솜씨	食用・転義を軽く補完。	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头，口才	입 안의 근육 기관인 혀
991	901-1000	linio	18	24	42	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
1035	1001-1100	marko	22	19	41	keep	-	-	ZH/KOとも主要義（記号・商標・貨幣）が成立。	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크
1061	1001-1100	membro	22	22	44	optional_medium	Korean_Trans	구성원; (신체) 사지(손·발)	KOが組織メンバー義に偏る。	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	肢；成员，会员	단체나 조직에 속한 일원, 구성원
1100	1001-1100	modelo	24	26	50	optional_medium	Korean_Trans	모형, 원형, 본보기; (인물) 모델	KOが「본보기」のみ。	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	본보기
1105	1101-1200	modo	19	12	31	optional_medium	Chinese_Trans	时尚；（语法）语气；（统计）众数	ZHが流行義に偏り、文法・統計義が不足。	{Ｂ}流行; 【Ｇ】（動詞の）叙法; 【服】モード, ファッション; 【統】モード, 最頻値	时尚，时髦	유행; (문법) 서법; (통계) 최빈값
1167	1101-1200	nigra	27	21	48	optional_medium	Chinese_Trans	黑色的；（转）阴暗的，邪恶的，不正的	ZHが色彩義のみで転義が抜ける。	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的	검은, 흑색의, 《전》음침한, 사악한, 불법적인
1171	1101-1200	nodo	48	42	90	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드
1210	1201-1300	ombro	18	17	35	optional_low	Chinese_Trans|Korean_Trans	阴影，影子；（转）阴霾，阴暗面 / 그늘, 그림자; (비유) 어두운 기운	転義（かげり/闇）の最小補完余地。	{Ｂ}陰（かげ）, 日陰; 影（かげ）, 影法師; 陰影, 暗部; 《転》闇, かげり; 亡霊	阴影	그늘, 그림자
1218	1201-1300	ordo	34	22	56	optional_low	Chinese_Trans	次序，秩序；（生物分类）目	分類学義の最小補完。	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1228	1201-1300	oro	20	22	42	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금
1306	1301-1400	piedo	18	15	33	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	脚	발, 발목부터 끝까지의 부분
1320	1301-1400	plafono	18	14	32	optional_low	Chinese_Trans|Korean_Trans	天花板；（转）上限 / 천장; (비유) 상한, 최고 한도	JAの転義（上限）を最小補完可能。	{Ｂ}天井; 【気】雲高; 【空】上昇限度; 《転》最高限度, 上限	天花板	건물 안쪽 위를 덮는 천장
1378	1301-1400	prepari	22	22	44	optional_medium	Chinese_Trans|Korean_Trans	准备；调制；（计算机）格式化 / 미리 준비하다; (약학) 조제하다; (정보) 포맷하다	JAにある専門義を最小補完。	{Ｂ}［他］準備する, 用意する, 支度する; 【薬】調合する; 【情】（ディスクを）初期化する, フォーマットする; 覚悟をさせる, 心構えをさせる, >>pretigi	准备，准备好	미리 준비하다
1441	1401-1500	radio	21	25	46	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살
1486	1401-1500	revizii	21	23	44	keep	-	-	ZH/KOとも再検討・修正義を保持しており実用十分。	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다
1492	1401-1500	reĝimo	23	22	45	optional_medium	Chinese_Trans|Korean_Trans	政体，体制；（机械）工作状态；（计算机）模式 / 정치 체제; (기계) 작동 상태; (정보) 모드	機械・情報のmode義が欠落。	{Ｂ}【政】政体; 制度, 体制; 【機】作動状態; 【情】モード, >>enŝova, >>superskriba	政体，政治制度；制度	정치 체제, 또는 일정한 지배 제도
1509	1501-1600	ripo	18	22	40	keep	-	-	ZH/KOとも解剖・植物・機械義を保持。	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1525	1501-1600	rozo	22	22	44	optional_low	Chinese_Trans|Korean_Trans	蔷薇；（建）玫瑰窗 / 장미; (건축) 장미창	建築義の最小補完。	{Ｂ}バラ（の花）; 【植】バラ（薔薇）（属）; 《転》バラの花の形をしたもの; 【建】バラ窓; （羅針盤の）方位盤; （じょうろの）散水口	蔷薇属植物（玫瑰、月季等）	장미, 장미꽃
1577	1501-1600	serio	27	28	55	optional_medium	Chinese_Trans|Korean_Trans	系列；（理）串联；（数）级数 / 연속, 시리즈; (물리) 직렬; (수학) 급수	理数義の補完余地。	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	一系列，一组；合订本	연속된 것, 일련으로 이어짐
1617	1601-1700	sojlo	17	17	34	optional_low	Chinese_Trans|Korean_Trans	门槛；（物理）阈值；起点 / 문턱; (물리) 임계값; 시작점	物理の閾値義を補完可能。	{Ｂ}【建】敷居; 門口; 【理】しきい値; 《転》始まり, 出発点	门槛，槛	문턱, 시작점
1641	1601-1700	spirito	26	25	51	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍
1659	1601-1700	stranga	22	23	45	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한
1756	1701-1800	tono	39	36	75	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤
1769	1701-1800	tranĉi	24	24	48	keep	-	-	基礎義「切る」はZH/KOで自然に成立。	{Ｂ}［他］切る, 断つ; 切り分ける; 《転》横切って進む; 《転》鋭く刺激する; 【遊】（札を）切る; 【運】（ボールを）カットする	砍，切，剪	무언가를 자르거나 베다
1786	1701-1800	trunko	33	28	61	optional_low	Chinese_Trans|Korean_Trans	树干，躯干；（数）截头体 / 나무줄기, 몸통; (수학) 절두체	数義を軽く補完。	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	（树）干，躯干	나무의 줄기; (인체) 몸통, 체간
1832	1801-1900	vazo	27	25	52	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관
1848	1801-1900	verda	22	15	37	optional_medium	Chinese_Trans	绿色的；未成熟的；（语）世界语的；环保的	ZHが色彩義のみでJA/KOとの整合が弱い。	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인
1864	1801-1900	vigla	28	25	53	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，精神焕发，活泼	활기차고 원기 왕성한, 생기 있고 활발한
1910	1901-2000	ĉelo	25	18	43	optional_low	Korean_Trans	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포	政治義の補完。	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	작은 방, 특히 감옥의 독방; (생물) 세포; (벌집) 벌집 칸
1923	1901-2000	ĉielo	14	17	31	keep	-	-	ZH/KOとも空・天国義を保持。	{Ｂ}空, 大空, 天, >>〜, >>firmamento; 【宗】天, 天国, >>〜	天，天空；【宗】天堂	하늘, 【종교】천국
1959	1901-2000	ŝelo	16	22	38	optional_medium	Chinese_Trans|Korean_Trans	外皮，壳；（计算机）命令解释器（shell） / 껍질; (정보) 셸(명령 해석기)	情報分野のshell義が欠落。	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	皮层，树皮；壳；外壳	껍질, 껍데기
2070	2001-2100	distrikto	24	24	48	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区	행정구역, 관할구
2080	2001-2100	elimini	13	16	29	keep	-	-	ZH/KOとも除去・淘汰義が成立。	{Ｂ}［他］除去する, 取り除く, 削除する; ふるい落とす; 【医】排出する; 【数】消去する	消除，排除；淘汰	없애다, 제거하다
2094	2001-2100	faktoro	17	17	34	optional_medium	Chinese_Trans|Korean_Trans	因素；（数）因数；（商）代理商 / 요인; (수학) 인수; (상업) 대리인·중개인	商業義の補完余地。	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素，要素；[数] 因子	요인, 요소; (수학) 인수
2145	2101-2200	indico	15	16	31	optional_low	Korean_Trans	지수, 지표; (수학) 아래첨자	KOが指数義中心。添字義の最小補完余地。	{Ｂ}【学】指数, 率; 【学】添え字（変数の右下につける）; 《古》=indikaĵo（徴候）	指数，指标	지수
2160	2101-2200	kancero	14	17	31	optional_low	Korean_Trans	암; (천문) 게자리(황도12궁)	ZHにある天文義を揃える。	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	악성 종양, 암
2165	2101-2200	karcero	16	15	31	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉	牢房，禁闭室	감옥의 독방, 감방
2249	2201-2300	negativa	23	28	51	optional_medium	Chinese_Trans|Korean_Trans	消极的；否定的；（电/数）负的 / 부정적, 소극적; (전기·수학) 음의, 음극의	電気/数学の義が欠落。	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；负的	부정적인, 소극적인
2270	2201-2300	paralela	23	22	45	optional_medium	Chinese_Trans|Korean_Trans	平行的；并列的；（电/计）并行的 / 평행한; 병렬의; (전기·정보) 병렬의	ZH/KOで並列（電気/情報）義を補完可能。	{Ｂ}【数】平行の; 並列の, 平行する; 【電】並列の; 【情】パラレルの, >>seria	平行的	평행한, 나란한
2284	2201-2300	pozitiva	36	34	70	optional_medium	Chinese_Trans|Korean_Trans	积极的；肯定的；（电/数）正的；（摄影）正片的 / 긍정적; (전기·수학) 양의, 양극의; (사진) 포지의	ZHに理工・写真義、KOに写真義を補完。	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；正的	긍정적인, 【전기】양의, 【수학】양수의
2313	2301-2400	rubo	23	20	43	optional_low	Chinese_Trans|Korean_Trans	瓦砾，垃圾，废料；（转）无价值之物 / 쓰레기, 파편; (비유) 쓸모없는 것	瓦礫・転義の補完。	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	垃圾，废料	쓰레기, 파편 따위의 버려진 것
2323	2301-2400	skeleto	24	20	44	optional_medium	Chinese_Trans|Korean_Trans	骨骼；骨架；（转）提纲 / 골격, 해골; (비유) 뼈대, 개요	建築的骨組み・比喩義の補完余地。	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼	몸의 뼈대가 되는 구조, 해골
2362	2301-2400	tezo	21	20	41	optional_low	Chinese_Trans|Korean_Trans	论题，命题；（学）学位论文（参） / 논제, 명제; (학위) 논문(참)	学術義の軽い補完余地。	{Ｏ}主張, 説; 【論】命題, 定立, 提題; 【政】テーゼ; 【学】=disertacio（学位論文）	论题，论点	논리나 철학에서의 명제
2401	2401-2500	ŝvebi	19	23	42	keep	-	-	現状でも語義として十分成立。過修正回避のため維持。	{Ｏ}［自］（空中に）浮かぶ, ただよう, 舞う, 滑空する; すべるように動く; 【理】（水中で）漂う, >>flosi, >>sinki; 《転》（心などに）浮かぶ; 《転》宙づりになっている	悬浮；漂浮；滑翔；《转》（心中）浮现	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다
2434	2401-2500	agordo	12	10	22	optional_medium	Chinese_Trans|Korean_Trans	调音；调谐；协调 / 조율; 동조; 조화	ZH現訳が「和音」寄りで語義が狭く、KOも調律義中心。	{Ｂ}【楽】調律; 【通】同調; （心の）調和	（各种乐器的）和音	악기 음을 맞춤
