row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
219	boli	{Ｂ}［自］沸騰する, 煮えたぎる; 《転》荒れ狂う, 激高する	沸腾	끓다, 비등하다
220	bombono	{Ｂ}【菓】キャンデー, ボンボン	糖果	사탕, 캔디
221	bona	{Ｂ}良い, 善良な, りっぱな	好	좋은, 훌륭한
222	bordo	{Ｂ}岸, 縁（ふち）	岸；边缘	물가, 강가
223	bori	{Ｂ}［他］穴をあける, せん孔する	钻孔，打洞（钻透）；穿过	구멍을 뚫다
224	botelo	{Ｂ}びん	细颈瓶	병
225	bovo	{Ｂ}【動】ウシ（牛）（属）	牛	소
226	brako	{Ｂ}腕	胳膊	팔
227	branĉo	{Ｂ}枝; 《転》枝, 枝分かれ, 支流, 支線, 部門	枝，分支	나무에서 줄기에서 갈라져 나온 가지
228	brasiko	{Ｂ}【植】キャベツ, =〜; （キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称	甘蓝类植物（白菜）	양배추, 배추류 식물
229	brava	{Ｂ}勇敢な, 勇ましい, りりしい; 実直な, 律義な; りっぱな	出类拔萃，能干，干练，英勇	용감한
230	bredi	{Ｂ}［他］【農】飼育する; 育種する, 品種改良する	饲养；改良品种，培育良种	동식물을 기르다
231	bremso	{Ｂ}【機】ブレーキ	制动器，刹闸	브레이크, 제동기
232	breto	{Ｂ}棚, 棚板	搁板	선반
233	briko	{Ｂ}れんが; れんが形のもの	砖	벽돌
234	brili	{Ｂ}［自］輝く, 光る	发光；闪耀	빛나다
235	bronzo	{Ｂ}【化】青銅	青铜	청동, 구리합금
236	broso	{Ｂ}ブラシ	硬毛刷；电刷	솔, 브러시
237	brovo	{Ｂ}眉（まゆ）	眉毛	눈썹
238	broŝuro	{Ｂ}小冊子, パンフレット	小册子，宣传册	소책자, 팸플릿
239	brui	{Ｂ}［自］騒音を出す, 騒ぎ立てる	发噪声，喧哗	시끄러운 소리를 내다
240	bruli	{Ｂ}［自］燃える	燃烧	불이 타다
241	bruna	{Ｂ}褐色の, 栗色の, 茶色の	褐色，棕色	갈색, 밤색
242	brusto	{Ｂ}胸	胸	가슴, 흉부
243	bubo	{Ｂ}いたずらっ子; 【遊】（トランプの）ジャック, =fanto	顽童，淘气鬼	장난꾸러기 아이
244	budo	{Ｂ}仮小屋, スタンド, ブース, 売店	简易小屋，棚，摊店	간이 가건물
245	buklo	{Ｂ}巻き毛, カール; （巻いてできた）輪	卷发（束）；圈形物	곱슬머리의 한 가닥
246	bulko	{Ｂ}【料】ロールパン, 菓子パン（など小型の丸いパン）	小圆面包	작은 둥근 롤빵, 과자빵
247	bulo	{Ｂ}玉, 団子	（可塑性的）球，团，块	둥근 덩어리, 뭉치
248	bulteno	{Ｂ}会報, 紀要, （定期）報告書	（定期的）会报，公报，通报	단체의 정기 회보
249	burĝono	{Ｂ}【植】（葉や花の）芽; つぼみ	芽，嫩枝，蕾	싹, 꽃봉오리
250	butero	{Ｂ}【料】バター	黄油，奶油	버터
251	butiko	{Ｂ}店, 小売店	店，铺，杂货铺	가게, 상점
252	butono	{Ｂ}【服】ボタン; ボタン形のもの	纽扣，扣子	옷에 다는 단추
253	buĝeto	{Ｂ}【商】予算; 予算案	预算	예산
254	buŝo	{Ｂ}口; 【解】口腔	口	사람이나 동물의 입
255	cedi	{Ｂ}［自］譲歩する, 屈服する; ［他］譲る, 譲渡する	让步，退让；让与	양보하거나 굴복하다
256	celo	{Ｂ}目的, 目標	目的，目标，宗旨	목적, 목표
257	cemento	{Ｂ}セメント; 接合剤, 接着剤; （歯の）セメント質; 【地質】膠結物（こうけつぶつ）	水泥，接合剂	시멘트, 접합제
258	cent	{Ｂ}［数詞］百	百	100이라는 수
259	centralo	{Ｂ}中央施設, 本部, =centrejo; 【電】発電所; 【通】電話交換局	中心机构，总部；（电）发电厂，电站；（电信）电话交换局	중앙 기관, 본부; 발전소, 전화국
260	centro	{Ｂ}中心, 中央; 【政】中道, 中間派; 【解】中枢	中心点，圆心，中点；中心	중앙, 중심
261	cepo	{Ｂ}【料】玉ネギ; 【植】タマネギ	洋葱，葱头	양파
262	cerbo	{Ｂ}頭脳; 【解】脳, 大脳	（大）脑，头脑	뇌, 두뇌
263	certa	{Ｂ}確かな, 確実な; ある（特定の）	有把握的；确实的	확실한, 틀림없는
264	cervo	{Ｂ}【動】シカ（鹿，属）; シカ（科）	鹿属动物	사슴
265	cetera	{Ｂ}残りの, そのほかの, その他の	其余，其他	나머지의, 그 밖의
266	cifero	{Ｂ}数字	数字，数目	숫자
267	cigaredo	{Ｂ}紙巻きたばこ	纸烟，香烟	종이 말아 만든 담배
268	cigno	{Ｂ}【鳥】ハクチョウ（白鳥）; 《転》詩聖	天鹅属鸟类	백조
269	ciklo	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；循环；（文）组诗；（化）环	주기, 순환; (문학) 연작; (화학) 고리
270	cindro	{Ｂ}灰; 遺灰, 遺骨	余烬，灰；骨灰	재
271	cirklo	{Ｂ}【数】円周, 円, >>〜	圆，圆周，圆形；圈	원, 원주
272	cirkonstanco	{Ｂ}周囲の事情, 状況	情况，环境，形势	상황, 사정
273	cirkulero	{Ｂ}回状, 回覧状	通告，通函，通知书	회람장
274	cirkuli	{Ｂ}［自］循環する; （人や車が）往来する; （商品などが）流通する	循环；往来，流动；流通，传播	순환하다, 돌다, 유통되다
275	citi	{Ｂ}［他］引用する; （名前や例を）挙げる, 引き合いに出す	引用；举出，列举	말이나 글을 인용하다
276	citrono	{Ｂ}《般》レモン（慣用）, =limono; 【果】シトロン	柠檬（狭义：香橼）	레몬, 신맛이 나는 과일
277	civila	{Ｂ}市民の, 文民の; 【法】民事の, ><militista, ><eklezia, ><ŝtata, ><kriminala	公民的，国民的，民用，文职，平民，世俗，民事	시민의, 민간의
278	civilizi	{Ｂ}［他］教化する, 文明化する	教化，使…开化	문명화하다
279	civito	{Ｂ}【史】自治都市; 市民（全体）, 公民（全体）	自由市，自治市；市民；公民全体	자치도시
280	da	{Ｂ}［前］（数量）～の～	用在数量与可量名词之间，表示其后名词的量	수량과 명사를 잇는 전치사
281	danci	{Ｂ}［自］踊る, ダンスをする; 小躍りする, はねる; ［他］（～を）踊る	跳舞	춤추다
282	danki	{Ｂ}［他］感謝する, ありがたく思う; 礼を言う, 謝意を表す	感谢	감사하다
283	danĝero	{Ｂ}危険, 危難	危险	위험, 위태로움
284	dato	{Ｂ}日付, 年月日; 期日, 日取り	日期，日子	날짜, 연월일
285	de	{Ｂ}［前］～の（所有・関係）; ～から（起点・原因）; ～によって（動作の主体）	的；从；被	소유나 관계를 나타내는 전치사
286	decembro	{Ｂ}１２月	十二月	십이월
287	deci	{Ｂ}［自］礼儀・作法にかなう; （礼儀・作法上）ふさわしい	合礼，合适，适宜；合于	예의에 맞다, 적절하다
288	decidi	{Ｂ}［他］決める, 決定する; 決心する	决心，决定	결정하다, 결심하다
289	dediĉi	{Ｂ}［他］（努力・時間を）ささげる; （著書・楽曲を）献呈する; 【宗】奉献する	献；题献；献身，致力于	시간·노력이나 작품을 바치다
290	defendi	{Ｂ}［他］守る, 防御する, 防衛する; 【法】弁護する	防御，保卫	지키다, 방어하다
291	deficito	{Ｂ}【商】欠損, 赤字	赤字，逆差	적자
292	degeli	{Ｂ}［自］（雪、氷、霜が）とける	（冰雪）融化，融解，解冻	눈·얼음이 녹다
293	dek	{Ｂ}［数詞］十	十	열, 십
294	deklari	{Ｂ}［他］宣言する, 宣告する; 表明する, 明言する; （課税品を）申告する	正式公开宣布；宣布；申报	공식적으로 선언하다
295	deklivo	{Ｂ}坂, 斜面; 傾斜	斜面，坡	비탈진 땅
296	dekoracio	{Ｂ}装飾, 飾り付け; 【劇】舞台装置, 背景, 書割（かきわり）	装饰，陈设；布景	장식, 꾸밈
297	dekstra	{Ｂ}右の; 【政】右翼の, 右派の	右，右边	오른쪽의
298	delegi	{Ｂ}［他］（代表として）送り出す, （代表に）任命する; （職権を）委任する	派遣（代表）	대표로 파견하다
299	delikata	{Ｂ}繊細な, 洗練された; 優美な, 上品な; 鋭敏な, 敏感な; きゃしゃな, 壊れやすい	精美，高雅；纤细，脆性的	섬세하고 세련된
300	demandi	{Ｂ}［他］質問する, たずねる	问	묻다, 질문하다
