row	batch	esperanto	verdict	target_column	suggested_minimal	reason	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
797	701-800	kolono	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	23	21	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱；（排版）栏；（军）纵队	원주, 기둥; (인쇄) 난(欄); (군사) 종대
799	701-800	kolumno	optional_low	Korean_Trans	신문 칼럼; 세로 열(欄); (수학) 자리수	KOに数義を最小補完。	19	20	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列；（数）数位	신문의 칼럼, 세로 난
870	801-900	korpo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	16	15	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	신체, 몸; 물체; (수학) 체
872	801-900	korvo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	16	16	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo	鸦属鸟类	까마귀
957	901-1000	lango	optional_low	Chinese_Trans	舌头；（食）舌肉；（转）口才	ZHに食用義を軽補完。	18	11	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头，口才	혀; (식용) 혀고기; (비유) 말솜씨
991	901-1000	linio	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	18	24	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
1061	1001-1100	membro	optional_low	Chinese_Trans	成员，会员；（解）肢体（手脚等）	ZHを会員義中心に整理しつつ解剖義を保持。	22	22	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	肢；成员，会员	구성원; (신체) 사지(손·발)
1100	1001-1100	modelo	optional_low	Korean_Trans	모형, 원형, 본보기; (인물) 모델; (이론) 모델	KOに理論モデル義を最小追加。	24	20	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	모형, 원형, 본보기; (인물) 모델
1167	1101-1200	nigra	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	22	21	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的；（转）阴暗的，邪恶的，不正的	검은, 흑색의, 《전》음침한, 사악한, 불법적인
1171	1101-1200	nodo	optional_low	Chinese_Trans	结，交点；要点；（计）节点；（航海）节（速度单位）	ZHに航海義を補完。	48	42	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드
1218	1201-1300	ordo	optional_low	Chinese_Trans	次序，秩序；（军）队形；（建）柱式；（生）目	ZHをJA/KOの専門義に寄せて補完。	31	22	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序；（生物分类）目	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1228	1201-1300	oro	optional_low	Chinese_Trans|Korean_Trans	金，黄金；金钱，财富 / 금, 황금; (비유) 부, 재물	転義（富）を最小補完。	20	22	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금
1306	1301-1400	piedo	optional_medium	Chinese_Trans	足（脚踝以下）；（物体）底部、脚部；（诗）音步	ZH「脚」のみだとfoot/legが曖昧。語義の焦点を明確化。	18	15	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	脚	발, 발목부터 끝까지의 부분
1363	1301-1400	potenco	optional_medium	Chinese_Trans|Korean_Trans	力量，权力；强国；（数）幂 / 힘, 권력; (국가) 강국; (수학) 거듭제곱	数義（累乗）と転義（強国）の補完が有効。	15	17	{Ｂ}威力, 強さ; 勢力, 権力, 支配力; 《転》強国; 【数】累乗, べき	力量，权力，权，政权	힘, 권력
1441	1401-1500	radio	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	21	25	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살
1486	1401-1500	revizii	optional_medium	Chinese_Trans|Korean_Trans	复查，重新审查；修订，校订；（法）再审 / 재검토·점검하다; 수정·교정하다; (법) 재심하다	ZH/KOとも「検査」中心で、改訂・再審義が薄い。	21	23	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다
1509	1501-1600	ripo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	18	22	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1577	1501-1600	serio	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	25	22	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	系列；（理）串联；（数）级数	연속, 시리즈; (물리) 직렬; (수학) 급수
1641	1601-1700	spirito	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	26	25	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍
1659	1601-1700	stranga	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	22	23	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한
1756	1701-1800	tono	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	39	36	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤
1786	1701-1800	trunko	optional_low	Chinese_Trans|Korean_Trans	树干，躯干；（数）截头体；（建）柱身 / 나무줄기, 몸통; (수학) 절두체; (건축) 기둥몸체	建築義（柱身）を軽補完。	30	29	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	树干，躯干；（数）截头体	나무줄기, 몸통; (수학) 절두체
1832	1801-1900	vazo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	27	25	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관
1864	1801-1900	vigla	optional_low	Chinese_Trans|Korean_Trans	活跃，生气勃勃；警觉的 / 활발하고 생기 있는; 경계심 있는	「警戒を怠らない」義を補完。	28	25	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，精神焕发，活泼	활기차고 원기 왕성한, 생기 있고 활발한
1910	1901-2000	ĉelo	optional_medium	Chinese_Trans	小房间，囚室；蜂房，细胞；（政）基层组织（细胞）	ZHに政治義（細胞組織）を最小補完。	25	18	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포
1959	1901-2000	ŝelo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	19	18	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	外皮，壳；（计算机）命令解释器（shell）	껍질; (정보) 셸(명령 해석기)
2070	2001-2100	distrikto	optional_low	Chinese_Trans|Korean_Trans	行政区，地区；辖区 / 행정구역, 관할구; 지구	地区/辖区ニュアンスを補完。	24	24	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区	행정구역, 관할구
2094	2001-2100	faktoro	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	16	14	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素；（数）因数；（商）代理商	요인; (수학) 인수; (상업) 대리인·중개인
2160	2101-2200	kancero	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	14	15	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	암; (천문) 게자리(황도12궁)
2165	2101-2200	karcero	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	16	15	{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉	牢房，禁闭室	감옥의 독방, 감방
2249	2201-2300	negativa	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	21	23	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；（电/数）负的	부정적, 소극적; (전기·수학) 음의, 음극의
2284	2201-2300	pozitiva	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	31	33	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；（电/数）正的；（摄影）正片的	긍정적; (전기·수학) 양의, 양극의; (사진) 포지의
2313	2301-2400	rubo	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	19	18	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	瓦砾，垃圾，废料；（转）无价值之物	쓰레기, 파편; (비유) 쓸모없는 것
2369	2301-2400	uragano	optional_low	Chinese_Trans|Korean_Trans	飓风；（转）风暴般的动荡 / 허리케인, 대폭풍; (비유) 거센 소용돌이	転義（嵐的騒動）を軽補完。	19	17	{Ｏ}（旋風性の）大暴風; 【気】颶風（ぐふう）（風力階級12）, >>〜, >>〜; 《転》あらし（嵐）	飓风	맹렬한 대폭풍, 허리케인
2401	2401-2500	ŝvebi	keep	-	-	現状の語義で運用上は十分。過修正回避で維持。	19	23	{Ｏ}［自］（空中に）浮かぶ, ただよう, 舞う, 滑空する; すべるように動く; 【理】（水中で）漂う, >>flosi, >>sinki; 《転》（心などに）浮かぶ; 《転》宙づりになっている	悬浮；漂浮；滑翔；《转》（心中）浮现	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다
