row	esperanto	column	severity	type	current	suggested	reason
1641	spirito	Japanese_Trans	high	format_regression	{Ｂ}精神（霊魂）（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1649	stango	Japanese_Trans	high	format_regression	{Ｂ}棒（さすまた等）（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1689	surtuto	Japanese_Trans	high	format_regression	{Ｂ}【服】オーバー（外套）（外套）, 外套（がいとう）, コート, >>palto, >>kaftano	{Ｂ}【服】オーバー（外套）, 外套（がいとう）, コート, >>palto, >>kaftano	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1719	temo	Japanese_Trans	high	format_regression	{Ｂ}主題（テーマ）（テーマ）, テーマ, 題目, 論題, 話題; 【楽】主題, 主旋律	{Ｂ}主題（テーマ）, テーマ, 題目, 論題, 話題; 【楽】主題, 主旋律	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1771	trejni	Japanese_Trans	high	format_regression	{Ｂ}［他］訓練する（トレーニングする）（トレーニングする）, 鍛錬する; 養成する, 仕込む	{Ｂ}［他］訓練する（トレーニングする）, 鍛錬する; 養成する, 仕込む	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1787	truo	Japanese_Trans	high	format_regression	{Ｂ}穴（貫通した穴）（貫通した穴）, 孔; （動物の）巣穴; 【運】（ゴルフの）ホール; 《転》欠陥	{Ｂ}穴（貫通した穴）, 孔; （動物の）巣穴; 【運】（ゴルフの）ホール; 《転》欠陥	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1803	tuta	Japanese_Trans	high	format_regression	{Ｂ}全部の（全体の）（全体の）, 全体の, すべての	{Ｂ}全部の（全体の）, 全体の, すべての	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1860	viando	Japanese_Trans	high	format_regression	{Ｂ}【料】肉（食肉）（食肉）, 食肉, >>karno	{Ｂ}【料】肉（食肉）, 食肉, >>karno	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1862	vidi	Japanese_Trans	high	format_regression	{Ｂ}［他］見る（目に入る）（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	{Ｂ}［他］見る（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
1953	ŝanceli	Japanese_Trans	high	format_regression	{Ｂ}［他］揺さぶる（ぐらつかせる）（ぐらつかせる）, ぐらつかせる; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	{Ｂ}［他］揺さぶる（ぐらつかせる）, ぐらつかせる; 《転》（心を）動揺させる, ちゅうちょさせる; 《転》（国家などを）揺るがす	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2054	buso	Japanese_Trans	high	format_regression	{Ｂ}【車】バス（乗合自動車）（乗合自動車）, =aŭto〜 / 【情】バス	{Ｂ}【車】バス（乗合自動車）, =aŭto〜 / 【情】バス	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2078	ekstra	Japanese_Trans	high	format_regression	{Ｏ}特別の（追加の）（追加の）, 格別の, 余分の, 臨時の, >>aldona	{Ｏ}特別の（追加の）, 格別の, 余分の, 臨時の, >>aldona	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2114	fortuno	Japanese_Trans	high	format_regression	{Ｂ}運（幸運）（幸運）, 運命, 幸運（財産の意味ではまれ）	{Ｂ}運（幸運）, 運命, 幸運（財産の意味ではまれ）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2148	integra	Japanese_Trans	high	format_regression	{Ｂ}全部の（完全な）（完全な）, 完全な, 欠けたところのない; 不可分の, 不可欠の	{Ｂ}全部の（完全な）, 完全な, 欠けたところのない; 不可分の, 不可欠の	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2211	kvereli	Japanese_Trans	high	format_regression	{Ｏ}［自］口論する（喧嘩する）（喧嘩する）, 口げんかする	{Ｏ}［自］口論する（喧嘩する）, 口げんかする	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2227	manio	Japanese_Trans	high	format_regression	{Ｏ}熱狂（マニア）（マニア）, 偏執, マニア; 奇癖; 【医】躁状態, 躁病	{Ｏ}熱狂（マニア）, 偏執, マニア; 奇癖; 【医】躁状態, 躁病	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2256	novelo	Japanese_Trans	high	format_regression	{Ｏ}小説（短編小説）（短編小説）, 中編小説, >>romano	{Ｏ}小説（短編小説）, 中編小説, >>romano	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2308	respektiva	Japanese_Trans	high	format_regression	{Ｏ}それぞれの（各自の）（各自の）, 各自の	{Ｏ}それぞれの（各自の）, 各自の	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2368	universo	Japanese_Trans	high	format_regression	{Ｏ}宇宙（森羅万象）（森羅万象）, 万有, 森羅万象, 全世界, >>kosmo	{Ｏ}宇宙（森羅万象）, 万有, 森羅万象, 全世界, >>kosmo	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2428	abrupta	Japanese_Trans	high	format_regression	{Ｂ}突然の（険しい）（険しい）, 不意の; 険しい	{Ｂ}突然の（険しい）, 不意の; 険しい	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2441	aleo	Japanese_Trans	high	format_regression	{Ｂ}並木道（散歩道）（散歩道）, 散歩道	{Ｂ}並木道（散歩道）, 散歩道	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2511	diablo	Japanese_Trans	high	format_regression	{Ｂ}【宗】悪魔（ディアブロ）（ディアブロ）	{Ｂ}【宗】悪魔（ディアブロ）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2515	dio,Dio	Japanese_Trans	high	format_regression	{Ｂ}【宗】神（唯一神）（唯一神）	{Ｂ}【宗】神（唯一神）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2534	eskapi	Japanese_Trans	high	format_regression	{Ｂ}［自］逃げる（脱出する）（脱出する）, 脱出する	{Ｂ}［自］逃げる（脱出する）, 脱出する	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2545	fasado	Japanese_Trans	high	format_regression	{Ｂ}【建】正面（建築のファサード）（建築のファサード）, ファサード	{Ｂ}【建】正面（建築のファサード）, ファサード	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2553	fi!	Japanese_Trans	high	format_regression	{Ｂ}［間］チェッ！（ふん！）（ふん！）	{Ｂ}［間］チェッ！（ふん！）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2564	foso	Japanese_Trans	high	format_regression	{Ｂ}穴（掘った穴）（掘った穴）, 堀	{Ｂ}穴（掘った穴）, 堀	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2578	garni	Japanese_Trans	high	format_regression	{Ｂ}［他］飾る（付け合わせる）（付け合わせる）, 装飾する; 付け合わせる	{Ｂ}［他］飾る（付け合わせる）, 装飾する; 付け合わせる	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2599	he!	Japanese_Trans	high	format_regression	{Ｂ}［間］おい！（ねえ！）（ねえ！）	{Ｂ}［間］おい！（ねえ！）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2630	kaverno	Japanese_Trans	high	format_regression	{Ｂ}洞窟（ほら穴）（ほら穴）, 洞穴	{Ｂ}洞窟（ほら穴）, 洞穴	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2651	konkordo	Japanese_Trans	high	format_regression	{Ｂ}一致（和合）（和合）, 調和, 和合	{Ｂ}一致（和合）, 調和, 和合	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2685	majesta	Japanese_Trans	high	format_regression	{Ｂ}荘厳な（威厳のある）（威厳のある）, 威厳のある	{Ｂ}荘厳な（威厳のある）, 威厳のある	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2692	mastr/umi	Japanese_Trans	high	format_regression	{Ｂ}［他］管理する（使いこなす）（使いこなす）, 切り盛りする	{Ｂ}［他］管理する（使いこなす）, 切り盛りする	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2695	meĥaniko	Japanese_Trans	high	format_regression	{Ｂ}力学（メカニクス）（メカニクス）, 機械学, =mekaniko	{Ｂ}力学（メカニクス）, 機械学, =mekaniko	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2696	meĥanismo	Japanese_Trans	high	format_regression	{Ｂ}機械装置（メカニズム）（メカニズム）, 機構, =mekanismo	{Ｂ}機械装置（メカニズム）, 機構, =mekanismo	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2705	nepra	Japanese_Trans	high	format_regression	{Ｂ}絶対の（必至の）（必至の）, 必須の	{Ｂ}絶対の（必至の）, 必須の	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2709	nul	Japanese_Trans	high	format_regression	{Ｂ}ゼロ（無）（無）, 零	{Ｂ}ゼロ（無）, 零	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2715	opozicii	Japanese_Trans	high	format_regression	{Ｂ}［自］反対する（対立する）（対立する）, 対立する	{Ｂ}［自］反対する（対立する）, 対立する	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2742	planto	Japanese_Trans	high	format_regression	{Ｂ}植物（草木）（草木）	{Ｂ}植物（草木）	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2759	proleto	Japanese_Trans	high	format_regression	{Ｂ}プロレタリア（労働者）（労働者）, 無産者	{Ｂ}プロレタリア（労働者）, 無産者	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2779	reklami	Japanese_Trans	high	format_regression	{Ｂ}［自］宣伝する（広告する）（広告する）, 広告する	{Ｂ}［自］宣伝する（広告する）, 広告する	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2783	rento	Japanese_Trans	high	format_regression	{Ｂ}年金（利子・不労所得）（利子・不労所得）, 利子収入	{Ｂ}年金（利子・不労所得）, 利子収入	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2809	situo	Japanese_Trans	high	format_regression	{Ｂ}位置（立地）（立地）, 立地	{Ｂ}位置（立地）, 立地	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2825	streko	Japanese_Trans	high	format_regression	{Ｂ}線（線分）（線分）, ストローク	{Ｂ}線（線分）, ストローク	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2847	teĥniko	Japanese_Trans	high	format_regression	{Ｂ}技術（テクノロジー）（テクノロジー）, =tekniko	{Ｂ}技術（テクノロジー）, =tekniko	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
2886	ĥemio	Japanese_Trans	high	format_regression	{Ｂ}化学（ケミストリー）（ケミストリー）, =kemio	{Ｂ}化学（ケミストリー）, =kemio	同一の補足語が「（X）（X）」で重複しており可読性を下げる。意味強化にもなっていない。
56	afero	Chinese_Trans	medium	semantic_narrowing	事情，事务，案件	事情，事务，案件；【法】诉讼事件；【商】交易	法学・商業の語義が脱落している。
257	cemento	Chinese_Trans	medium	semantic_narrowing	水泥，接合剂	水泥；接合剂；（牙科）黏固剂；（地质）胶结物	専門語義（歯科・地質）が落ち、学習語彙として情報量が低下。
732	kapo	Chinese_Trans	medium	semantic_narrowing	头，头部	头；头脑；先端；领导者	比喩義・派生義が大きく削られている。
1171	nodo	Chinese_Trans	medium	semantic_narrowing	结，交点	结；交点；要点；（计）节点	学習上重要な「节点」などの語義が欠落。
1218	ordo	Chinese_Trans	medium	semantic_narrowing	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	多義語としての専門語義が欠落。
1682	super	Chinese_Trans	medium	semantic_narrowing	在…上方	在…上方；高于；超过	前置詞 super の比較義・超過義が落ちる。
1901	ĉapelo	Korean_Trans	medium	semantic_narrowing	테 있는 모자	테 있는 모자; (버섯) 갓; (기호) 캐럿(^)	複合語で頻出の派生義（버섯 갓, ^）が削除。
1959	ŝelo	Chinese_Trans	medium	semantic_narrowing	皮层，树皮	皮层；树皮；壳；外壳	基本語義の「殻」が消えており過度に限定的。
2391	ĝiri	Korean_Trans	medium	semantic_narrowing	계좌 이체하다	어음/수표를 배서하다; 계좌 이체하다	ĝiri は 배서(裏書) を含むため、現訳は狭すぎる。
2695	meĥaniko	Chinese_Trans	medium	semantic_narrowing	力学	同 mekaniko；力学；机械学	同義語注記と機械学語義の情報が落ちる。
2696	meĥanismo	Chinese_Trans	medium	semantic_narrowing	机械装置	同 mekanismo；机械装置；机构	「机构」語義が欠落。
