46	administri	{Ｂ}［他］管理する, 経営する, 運営する; （～の）行政をつかさどる	管理	조직이나 기관을 관리·운영하다
47	admiri	{Ｂ}［他］感嘆する, 賛美する; 敬服する, 感心する	赞赏，倾倒，崇敬	감탄하고 존경하다
48	admoni	{Ｂ}［他］言い聞かせる, 勧告する, 強く勧める; 戒める, 訓戒する, 説諭する, 叱責する	劝导，训斥	타이르다
49	adopti	{Ｂ}［他］養子にする; 《転》（自分の考え・行動に）取り入れる, 採用する	收养，过继；采纳，采用	아이를법적으로데려와자녀로삼다
50	adori	{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである	崇拜，崇敬；酷好，醉心于…	예배하고 숭배하다; (전) 동경하다, 몹시 좋아하다
51	adreso	{Ｂ}住所; あて名; 【情】アドレス（メモリの番地）	地址；（计）内存地址	주소, 받는 이의 이름；（컴퓨터） 주소
52	adverbo	{Ｂ}【Ｇ】副詞, >>e-vorto	副词	부사
53	advokato	{Ｂ}弁護士, 弁護人; 《転》代弁者	律师，辩护人	변호사
54	aero	{Ｂ}空気, 外気, 大気; 空, 空中	空气，气体；空中，天空	공기, 대기
55	afabla	{Ｂ}愛想のよい, 親切な; ものやわらかな, ていねいな; 【情】使いやすい, ユーザーフレンドリーな	和气的，和蔼的	상냥하고 친절한, 붙임성 있는
56	afero	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래
57	afiŝo	{Ｂ}ポスター, 貼り紙, 掲示物; プラカード; 【情】（メーリングリストや電子掲示板などの）投稿記事, 掲示	广告，招贴；（网络）帖子	포스터, 벽이나 기둥에 붙이는 광고；（인터넷） 게시글
58	aflikti	{Ｂ}［他］深く悲しませる, 苦しませる, 悩ませる	使人苦恼	깊이 괴롭혀 고통스럽게 하다
59	afranki	{Ｂ}［他］切手を貼る, 郵便料金を払う	预付邮费，贴邮票	우편요금을 미리 내다
60	agi	{Ｂ}［自］行動する, ふるまう; 【理】作用する	行动；对待	행동하다
61	agrabla	{Ｂ}快い, 心地よい, 気持ちのよい	令人愉快的	기분 좋고 유쾌한
62	ajlo	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘; (식물) 파속 식물
63	ajn	{Ｂ}［副］～であっても（無差別を示す）	无论，不管；任何	어느 것이든, 아무거나
64	akademio	{Ｂ}学士院, アカデミー	学院，研究院	학술원, 아카데미
65	akceli	{Ｂ}［他］加速する, 促進する, >>plirapidigi	加速，促进	속도를 높이다, 촉진하다
66	akcento	{Ｂ}【Ｇ】【楽】アクセント; 《転》強調	重音，声调，语气，腔调	발음에서 특정 음절의 강세
67	akcepti	{Ｂ}［他］受入れる, 受理する; 迎え入れる; 容認する	接受，接待	받아들이다
68	akcidento	{Ｂ}事故, 災難; 偶然の出来事	事故，偶发事件	사고, 우발적 사건
69	akiri	{Ｂ}［他］手に入れる, 獲得する, 習得する, >>〜	获得，得到	얻다, 획득하다
70	akompani	{Ｂ}［他］同行する; 【楽】伴奏する	陪同，伴随，护送	함께 가다, 동행하다
71	akordo	{Ｂ}一致, 調和; 【楽】和音	融洽，协调，一致，和弦	의견이나 상태의 일치
72	akra	{Ｂ}鋭い	锋利，尖锐	예리한, 날카로운
73	aktiva	{Ｂ}活動的な, 活発な, 積極的な; 活動中の, 現役の; 【Ｇ】能動の	有能力的，有作用的；积极的，活动的；有效，特效	활동적인, 적극적인
74	akto	{Ｂ}【劇】幕; 【法】証書	[戏剧]幕，证书，契约，法令，条例	연극의 막
75	aktoro	{Ｂ}俳優	演员	배우
76	aktuala	{Ｂ}現行の, 最新の	当前的，热门的，时事性的	현재의, 최신의
77	akurata	{Ｂ}時間厳守の	准时，及时，守时	시간 엄수하는
78	akuzi	{Ｂ}［他］【法】告発する, 告訴する	指责，谴责；控告，控诉	법적고소하다
79	akvo	{Ｂ}水	水	물
80	al	{Ｂ}［前］～へ	向	향하는 대상
81	albumo	{Ｂ}（写真・切手の）アルバム, 写生帳, サイン帳; （音楽ＣＤの）アルバム, 曲集	影集，画册，集邮册；（音乐）专辑	사진첩, 앨범
82	alfabeto	{Ｂ}【Ｇ】アルファベット, 字母	字母表	알파벳, 자모
83	alia	{Ｂ}ほかの, 別の, その他の; もう一つの / ［代］他の人	另外的；他者（代名词）	다른, 또 하나의；（대명사） 다른 사람/것
84	alkoholo	{Ｂ}アルコール	酒精，（乙）醇	알코올, 술
85	almenaŭ	{Ｂ}［副］少なくとも	至少；起码	적어도
86	almozo	{Ｂ}施し物	布施，救济	자선품
87	alta	{Ｂ}高い; 高貴な, 高級な	高	높은, 키가 큰
88	alterni	{Ｂ}［自］交互に起こる	交替，轮流，轮换；交流（电）；轮作	번갈아일어나다, 교대하다
89	aludi	{Ｂ}［他］ほのめかす, それとなく言及する, 暗示する	暗指；暗示，（间接）提到	넌지시 언급하다
90	alumeto	{Ｂ}マッチ	火柴	성냥
91	amara	{Ｂ}苦い; きびしい	苦味，枯涩；痛苦，辛酸，辛辣；刺人的，严厉	맛이 쓴, 《전》가혹한
92	amaso	{Ｂ}集積, 大量, 群れ; 大衆, 群衆	一大堆，一群；人群	큰 무더기
93	amatoro	{Ｂ}アマチュア, 愛好家, ><profesiulo	业余爱好者，爱好者	아마추어, 애호가
94	ambasadoro	{Ｂ}大使	大使	대사
95	ambaŭ	{Ｂ}［形］両方の, 双方の / {Ｂ}［代］両方, 両者 / {Ｂ}［副］両方とも, どちらも	两者（代词/副词）	둘 다, 양쪽 모두（대명사/부사로도 사용）
96	ami	{Ｂ}［他］愛する, 好きである	爱	사랑하다
97	amiko	{Ｂ}友達; 味方	朋友	친구, 벗
98	amplekso	{Ｂ}大きさ, 広がり; 【哲】外延; 【統】分布範囲	大小，广度，范围	범위
99	amuzi	{Ｂ}［他］楽しませる	逗笑，使…高兴	남을 즐겁게 하다
100	anaso	{Ｂ}【鳥】アヒル（家鴨）	鸭属鸟类	집오리
