row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
834	konfuzi	scope_ko:6	{Ｂ}［他］混乱させる, かき乱す; 取り違える, 混同する; まごつかせる, 困惑させる	使混乱，搅乱；混淆	정돈된 것을 흐트러뜨려 혼란하게 하다	0	6
835	kongreso	scope_ko:8	{Ｂ}大会, 会議; 【政】（米の）国会, 連邦議会, （仏国会の）両院合同会議	（代表）大会	대표들이 모이는 큰 대회나 회의	0	8
845	konservi	balanced	{Ｂ}［他］保存する, 保管する, 貯蔵する; 保つ, 保持する, 維持する	保存，保持	보존하다, 보관하다, 유지하다	1	1
846	konsideri	scope_ko:6	{Ｂ}［他］考慮する, 考察する; 考慮に入れる; （～と）見なす	考虑；把…看作…	고려하다	0	6
852	konstitucio	scope_ko:8	{Ｂ}【法】憲法; 【医】体質, 体格	宪法	국가 통치의 기본법	0	8
853	konstrui	scope_ko:6	{Ｂ}［他］建造する, 建築する, 建設する; 組み立てる, 構成する	建筑；构成	건물을 짓거나 시설을 건설하다	0	6
857	kontrakti	style_ko:4	{Ｂ}［自・他］契約する, 契約を結ぶ	订契约，立合同；缔结	계약을체결하다	0	4
858	kontraŭ	balanced	{Ｂ}［前］～に向かって, ～に対して, ～に対抗して, ～に反して	对着，向着	〜에 맞서, 〜에 반대하여	1	1
862	konvinki	style_ko:4	{Ｂ}［他］（論理や証拠によって）説得する, 説き伏せる	说服，使信服	논리와증거로남을설득하다	0	4
864	kordo	scope_ko:8	{Ｂ}【楽】弦; 《転》（心の）琴線; 【数】弦	弦，带，索	악기 줄, 현	0	8
866	korespondi	scope_ko:6	{Ｂ}［自］文通する; （乗物が）接続する	通信	편지를 주고받다, 통신하다	0	6
867	koridoro	scope_ko:8	{Ｂ}廊下, 通廊, 回廊; 【政】回廊地帯; 【車】（道路の）車線	走廊，回廊	건물안의길게난복도	0	8
870	korpo	balanced	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	신체, 몸; 물체; (수학) 체	1	1
871	korto	style_ko:5	{Ｂ}中庭	庭院	집안의뜰, 안마당	0	5
876	koto	scope_ko:5	{Ｂ}（雨などでできた）泥, ぬかるみ, >>ŝlimo; 《転》汚辱	泥，泥泞；污垢	빗물에 생긴 질퍽한 진흙, 진창	0	5
879	kovri	scope_ko:8	{Ｂ}［他］覆う, かぶせる; 覆いかくす; 償う, 埋め合わせる	盖	덮다	0	8
880	krado	scope_ko:5	{Ｂ}【建】格子; 格子柵; 格子状のもの; 【電】グリッド	栅栏，铁篦子	격자 모양의 창살·철망	0	5
882	kranio	scope_ko:5	{Ｂ}【解】頭蓋, 頭蓋骨; 《転》頭	颅；头，头脑	두개골, 머리뼈	0	5
883	krano	style_ko:4|scope_ko:4	{Ｂ}【機】（水道・ガスなどの）栓, コック, 蛇口	旋塞，龙头	수도·가스의꼭지	0	4
887	kredito	scope_ko:8	{Ｂ}【商】信用; 掛け, 信用貸; （簿記の）貸方, ><〜	信用（贷款），赊欠；贷方	상품이나 돈을 외상으로 쓰는 신용	0	8
891	kreski	scope_ko:5	{Ｂ}［自］成長する, 発育する, 生える; 《転》増大する	生长	자라다	0	5
896	kripla	style_ko:4	{Ｂ}身体に障害のある, 肢体が不自由な; 欠陥のある（差別的表現は避ける）	残疾的，有缺陷的	신체에장애가있는, 팔다리가불편한	0	4
899	krizo	scope_ko:5	{Ｂ}危機, 重大局面; 【医】（病気の）急変, 発作	危机，恐慌	위기, 중대한 고비	0	5
900	krokodilo	scope_ko:5	{Ｂ}【動】ワニ（鰐，総称）; クロコダイル（科）（ナイルワニ、イリエワニなど）, >>aligatoro	鳄属动物；[~i]在讲世界语的环境中说民族语	악어	0	5
