row	esperanto	column	verdict	before	after
1061	membro	Korean_Trans	optional_medium	단체나 조직에 속한 일원, 구성원	구성원; (신체) 사지(손·발)
1100	modelo	Korean_Trans	optional_medium	본보기	모형, 원형, 본보기; (인물) 모델
1105	modo	Chinese_Trans	optional_medium	时尚，时髦	时尚；（语法）语气；（统计）众数
1167	nigra	Chinese_Trans	optional_medium	黑色的	黑色的；（转）阴暗的，邪恶的，不正的
1210	ombro	Chinese_Trans	optional_low	阴影	阴影，影子；（转）阴霾，阴暗面
1210	ombro	Korean_Trans	optional_low	그늘, 그림자	그늘, 그림자; (비유) 어두운 기운
1218	ordo	Chinese_Trans	optional_low	次序，秩序	次序，秩序；（生物分类）目
1320	plafono	Chinese_Trans	optional_low	天花板	天花板；（转）上限
1320	plafono	Korean_Trans	optional_low	건물 안쪽 위를 덮는 천장	천장; (비유) 상한, 최고 한도
1378	prepari	Chinese_Trans	optional_medium	准备，准备好	准备；调制；（计算机）格式化
1378	prepari	Korean_Trans	optional_medium	미리 준비하다	미리 준비하다; (약학) 조제하다; (정보) 포맷하다
1492	reĝimo	Chinese_Trans	optional_medium	政体，政治制度；制度	政体，体制；（机械）工作状态；（计算机）模式
1492	reĝimo	Korean_Trans	optional_medium	정치 체제, 또는 일정한 지배 제도	정치 체제; (기계) 작동 상태; (정보) 모드
1525	rozo	Chinese_Trans	optional_low	蔷薇属植物（玫瑰、月季等）	蔷薇；（建）玫瑰窗
1525	rozo	Korean_Trans	optional_low	장미, 장미꽃	장미; (건축) 장미창
1577	serio	Chinese_Trans	optional_medium	一系列，一组；合订本	系列；（理）串联；（数）级数
1577	serio	Korean_Trans	optional_medium	연속된 것, 일련으로 이어짐	연속, 시리즈; (물리) 직렬; (수학) 급수
1617	sojlo	Chinese_Trans	optional_low	门槛，槛	门槛；（物理）阈值；起点
1617	sojlo	Korean_Trans	optional_low	문턱, 시작점	문턱; (물리) 임계값; 시작점
1786	trunko	Chinese_Trans	optional_low	（树）干，躯干	树干，躯干；（数）截头体
1786	trunko	Korean_Trans	optional_low	나무의 줄기; (인체) 몸통, 체간	나무줄기, 몸통; (수학) 절두체
1848	verda	Chinese_Trans	optional_medium	绿色的	绿色的；未成熟的；（语）世界语的；环保的
1910	ĉelo	Korean_Trans	optional_low	작은 방, 특히 감옥의 독방; (생물) 세포; (벌집) 벌집 칸	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포
1959	ŝelo	Chinese_Trans	optional_medium	皮层，树皮；壳；外壳	外皮，壳；（计算机）命令解释器（shell）
1959	ŝelo	Korean_Trans	optional_medium	껍질, 껍데기	껍질; (정보) 셸(명령 해석기)
2094	faktoro	Chinese_Trans	optional_medium	因素，要素；[数] 因子	因素；（数）因数；（商）代理商
2094	faktoro	Korean_Trans	optional_medium	요인, 요소; (수학) 인수	요인; (수학) 인수; (상업) 대리인·중개인
2145	indico	Korean_Trans	optional_low	지수	지수, 지표; (수학) 아래첨자
2160	kancero	Korean_Trans	optional_low	악성 종양, 암	암; (천문) 게자리(황도12궁)
2249	negativa	Chinese_Trans	optional_medium	消极的；否定的；负的	消极的；否定的；（电/数）负的
2249	negativa	Korean_Trans	optional_medium	부정적인, 소극적인	부정적, 소극적; (전기·수학) 음의, 음극의
2270	paralela	Chinese_Trans	optional_medium	平行的	平行的；并列的；（电/计）并行的
2270	paralela	Korean_Trans	optional_medium	평행한, 나란한	평행한; 병렬의; (전기·정보) 병렬의
2284	pozitiva	Chinese_Trans	optional_medium	积极的；肯定的；正的	积极的；肯定的；（电/数）正的；（摄影）正片的
2284	pozitiva	Korean_Trans	optional_medium	긍정적인, 【전기】양의, 【수학】양수의	긍정적; (전기·수학) 양의, 양극의; (사진) 포지의
2313	rubo	Chinese_Trans	optional_low	垃圾，废料	瓦砾，垃圾，废料；（转）无价值之物
2313	rubo	Korean_Trans	optional_low	쓰레기, 파편 따위의 버려진 것	쓰레기, 파편; (비유) 쓸모없는 것
2323	skeleto	Chinese_Trans	optional_medium	骨骼	骨骼；骨架；（转）提纲
2323	skeleto	Korean_Trans	optional_medium	몸의 뼈대가 되는 구조, 해골	골격, 해골; (비유) 뼈대, 개요
2362	tezo	Chinese_Trans	optional_low	论题，论点	论题，命题；（学）学位论文（参）
2362	tezo	Korean_Trans	optional_low	논리나 철학에서의 명제	논제, 명제; (학위) 논문(참)
2434	agordo	Chinese_Trans	optional_medium	（各种乐器的）和音	调音；调谐；协调
2434	agordo	Korean_Trans	optional_medium	악기 음을 맞춤	조율; 동조; 조화
