row	esperanto	column	verdict	status	before	after
308	determini	Korean_Trans	optional_low	applied	정하다, 확정하다	정하다, 확정하다; (문법) 한정하다
317	difini	Chinese_Trans	optional_low	applied	下定义	下定义；明确；规定
326	dis-	Chinese_Trans	optional_low	applied	分散	表示分离、分散的前缀
335	diveni	Chinese_Trans	optional_low	applied	猜；猜测	猜测，猜中；预言，占卜
337	dividi	Korean_Trans	optional_medium	applied	나누다	나누다, 분할·분배하다; (수학) 나누다(제하다)
338	do	Chinese_Trans	optional_medium	applied	（接）所以，那么；（副）究竟，到底	（接）所以，那么；（副）究竟、到底；（字母名）D 的名称
338	do	Korean_Trans	optional_medium	applied	그래서, 그러면을 나타내는 접속사	그래서, 그러면; (부) 도대체; (문자명) d의 이름
344	domo	Chinese_Trans	optional_low	applied	房屋	房屋，住宅；建筑物；（贵族）家系
349	dorso	Korean_Trans	optional_low	applied	사람이나 동물의 등	등, 등쪽; 사물의 뒷면
352	droni	Chinese_Trans	optional_low	applied	淹死，沉没	淹死，沉没；（转）沉沦
368	ekonomio	Chinese_Trans	optional_low	applied	经济	经济；节约
368	ekonomio	Korean_Trans	optional_low	applied	국가나 사회의 재화·서비스 체계	경제; 절약
369	ekrano	Korean_Trans	optional_low	applied	영상 따위를 비추거나 표시하는 스크린, 화면	스크린, 화면; 차폐막
377	ekspozicio	Korean_Trans	optional_low	applied	전시회, 전람회, 박람회	전시, 전시회, 박람회
382	ekzameni	Korean_Trans	optional_medium	applied	시험하다	검사·검토하다; 시험하다; (법) 심문하다
391	elemento	Korean_Trans	optional_medium	applied	구성 요소, 성분	요소, 성분; (화학) 원소; 기본 원리
395	en	Chinese_Trans	optional_medium	applied	在…里	在…里；在…期间；处于…状态
395	en	Korean_Trans	optional_medium	applied	안에, 속에	…안에; …동안에; …상태로
396	energio	Chinese_Trans	optional_low	applied	精力，干劲；能	精力，活力；能量
401	epoko	Chinese_Trans	optional_low	applied	纪元，时代	纪元，时代；（地质）世
401	epoko	Korean_Trans	optional_low	applied	역사에서 구분되는 일정한 시대	시대; (지질) 세(世)
406	esplori	Korean_Trans	optional_low	applied	상세히 조사하거나 탐구하다	탐구·조사하다; (의학) 정밀검사하다; (법) 심리하다
420	eĥo	Korean_Trans	optional_low	applied	메아리, 반향	메아리, 반향; (통신) 에코; (비유) 되풀이
426	fajfi	Korean_Trans	optional_low	applied	휘파람이나 호루라기를 불다	휘파람·호루라기를 불다; (새가) 울다
428	fako	Korean_Trans	optional_medium	applied	전문 분야	전문 분야; 부서; 칸, 구획; 과목
431	fali	Korean_Trans	optional_low	applied	위에서 아래로 떨어지다	떨어지다, 넘어지다; (비) 내리다; (비유) 몰락하다
438	fantazio	Korean_Trans	optional_low	applied	창조적인 상상력	환상, 공상; 창조적 상상력; (음악) 환상곡
466	fiksi	Chinese_Trans	optional_low	applied	将…固定在…	固定；定影；确定，规定
482	fliki	Korean_Trans	optional_medium	applied	헝겊을 대어 헐린 데를 깁다	기우다, 덧대다; (비유) 임시로 메우다; (정보) 패치를 적용하다
488	flustri	Korean_Trans	optional_low	applied	작게 속삭이다, 소곤소곤 말하다	속삭이다; (바람·물 소리가) 사각거리다
497	formo	Chinese_Trans	optional_medium	applied	形状，样子	形状，形式；形态；作风
497	formo	Korean_Trans	optional_medium	applied	사물의 겉모양, 형체	형태, 형상; 형식; 방식, 예법
498	formulo	Korean_Trans	optional_medium	applied	공식	공식; 식(수학·물리); 형식, 정형 표현
499	forno	Chinese_Trans	optional_low	applied	炉	炉，火炉，灶
