row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
573	grumbli	optional_low	Korean_Trans	작게 투덜거리며 불평하다	KOの語間スペース欠落を最小修正。	style_ko:4	0	4	{Ｂ}［自］ぼやく, ぶつぶつ不平を言う, 愚痴をこぼす	嘟哝，低声抱怨	작게투덜거리며불평하다
575	gruo	keep	-	-	ZH/KOとも鳥類義・機械義を保持しており十分。	balanced	1	1	{Ｂ}【鳥】ツル / 【機】クレーン, 起重機	鹤属鸟类；起重机，吊车	두루미과 새；기중기（크레인）
580	gvidi	optional_low	Korean_Trans	인도하다, 안내하다; 이끌다, 지도하다	KOが案内義中心で、lead/guide の広がりが弱い。	scope_ko:6	0	6	{Ｂ}［他］案内する, 導く; 指導する, 手引きする	领路；引导	길을 안내하다
581	haki	optional_low	Chinese_Trans|Korean_Trans	砍，劈，剁；（转）把话说得支离破碎 / 도끼로 찍어 베다; 잘게 썰다; (비유) 거칠게 끊다	ZH/KOとも「切る」中心で、細分・比喩義の補完余地がある。	scope_zh:6|scope_ko:6	6	6	{Ｂ}［他］（斧で）切る, たたき切る; （話などを）切れ切れにする; 傷める	砍	도끼로 찍어 베다
584	harmonio	optional_medium	Chinese_Trans	和声，和谐；融洽	ZHの「谐音」はhomophone寄りで、harmonioには「和声/和谐」が自然。	word_choice_zh:9	9	0	{Ｂ}調和, ハーモニー; 【楽】和声	谐音，和音；和谐，融洽	화음, 조화
586	haveno	optional_low	Chinese_Trans|Korean_Trans	港口，港湾；（转）避难所 / 항구, 항만; (비유) 피난처	港義は正しいが、JAにある転義（避難所）を最小補完可能。	scope_zh:5|scope_ko:5	5	5	{Ｂ}港, 港湾; 《転》避難所, 休息所	港口	항구
588	hazardo	optional_low	Korean_Trans	우연, 뜻밖의 일; 운	KOで「運」の語感を軽く補う余地。	scope_ko:5	0	5	{Ｂ}偶然; 運	机遇，巧合；偶然，侥幸	우연한 일
589	haŭto	optional_low	Chinese_Trans|Korean_Trans	皮，皮肤；外皮（果皮等）；（转）薄膜状外层 / 피부, 살갗; (사물·과일의) 껍질; (비유) 피막	ZH/KOとも核心義は正しいが、外皮・皮膜義を補う余地。	scope_zh:5|scope_ko:5	5	5	{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの	皮，皮肤	사람이나 동물의 피부, 살갗
590	hejmo	optional_low	Chinese_Trans|Korean_Trans	家，家庭；（机构）收容之家；（转）归属之地 / 집, 가정; (시설) 수용·보호 시설; (비유) 귀속처	ZH/KOとも「家」中心で、施設・転義が薄い。	scope_zh:6|scope_ko:6	6	6	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko	家	집, 가정
592	hela	keep	-	-	ZH/KOとも色・音の補足があり現状で十分。	balanced	1	1	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한; (색) 옅은; (소리) 맑은
597	heredi	optional_medium	Korean_Trans	상속하다, 물려받다; (유전 형질을) 물려받다	KOが財産相続に寄り、遺伝的継承義が不足。	scope_ko:8	0	8	{Ｂ}［他］相続する; 《転》受け継ぐ; 遺伝として受け継ぐ	继承，承袭；受遗传	재산이나 권리를 상속받다
599	heroo	keep	-	-	ZH/KOとも英雄＋主人公義を保持しており十分。	balanced	1	1	{Ｂ}英雄, 勇士; （物語の）主人公; 【神】（ギリシャ神話の）半神, 神人	英雄；主人公	영웅, 이야기의 주인공
