row	esperanto	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
350	dramo	scope_zh:15|scope_ko:17	15	17	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡; (비유) 극적인 사건
352	droni	scope_zh:9|scope_ko:9	9	9	{Ｂ}［自］溺れる; 【海】沈没する; 《転》没する, 沈む	淹死，沉没	익사하다, (배가) 침몰하다
354	dubi	scope_zh:9|scope_ko:9	9	9	{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>〜, ><〜	怀疑	의심하다
358	ebena	scope_zh:12|scope_ko:11	12	11	{Ｂ}平らな, 平坦な, >>〜; なめらかな, >>〜	表面平整	표면이 평평한, 평탄한
360	eduki	scope_zh:16|scope_ko:16	16	16	{Ｂ}［他］（人を）教育する, しつける, >>〜, >>prizorgi; （動物を）飼いならす, >>〜; （植物を）育てる, 栽培する, =kultivi	教育；驯养；栽培	교육하다; (동물) 길들이다; (식물) 재배하다
362	efektiva	scope_zh:8|scope_ko:11	8	11	{Ｂ}実際の, 現実の, >>〜, >>fakta; 事実上の	实际，确实；正式	실제의, 사실상의
363	efiki	scope_zh:14|scope_ko:14	14	14	{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>〜; 【理】【化】作用する	生效，起作用	효과를 내다, 어떤 작용을 하다
364	egala	scope_zh:11|scope_ko:10	11	10	{Ｂ}等しい, 同等の; 対等な, 平等な; むらのない, 一様な; どうでもよい	平等，相等	같은, 동등한, 평등한
365	ek-	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接頭辞］（開始・瞬間を示す）, >>〜bruli, >>〜krii	开始或突然发生	행동의 시작이나 갑작스런 발생 표시
367	eklezio	scope_ko:10	7	10	{Ｂ}【キ】（団体としての）教会, >>preĝejo, >>kirko	教会（作为整体）；教会组织，教会团体	기독교 교회 조직, 교회 공동체
368	ekonomio	scope_zh:9|scope_ko:9	9	9	{Ｂ}経済; 節約, =ŝparado; =〜ko	经济	국가나 사회의 재화·서비스 체계
369	ekrano	scope_ko:13	7	13	{Ｂ}ついたて, 遮蔽（しゃへい）物; 映写幕, スクリーン; （テレビやレーダーの）画面; 【情】表示画面	炉围，炉挡；银幕；屏	영상 따위를 비추거나 표시하는 스크린, 화면
371	eksciti	scope_ko:10	7	10	{Ｂ}［他］刺激する, 興奮させる; 《転》かき立てる, そそる; 【理】励起する	刺激，激发；助长	자극하다, 흥분시키다
377	ekspozicio	scope_zh:10|scope_ko:14	10	14	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =〜ejo	展览；展品；展览会场	전시회, 전람회, 박람회
381	ekzakta	scope_zh:9|scope_ko:9	9	9	{Ｂ}正確な, 精密な, 厳密な, >>senerara, >>strikta	准确，精确	정확한, 정밀한
382	ekzameni	scope_ko:8	5	8	{Ｂ}［他］調べる, 検査する, 検討する; 試験する; （容疑者を）取り調べる	考核，检查，审查，考试	시험하다
384	ekzerci	scope_ko:8	7	8	{Ｂ}［他］訓練する, 練習させる, >>disciplini, >>hardi	练习，训练，锻炼	훈련시키다, 연습시키다
389	elekti	scope_zh:12|scope_ko:12	12	12	{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>〜	选择，选举	선택하다, 고르다
391	elemento	scope_zh:12|scope_ko:18	12	18	{Ｂ}要素, 成分; 基本原理, 初歩; 【化】元素; 自然の力, 悪天候; （本来の）生息環境, 活動領域	元素；成分；原理，初步	구성 요소, 성분
395	en	scope_zh:9|scope_ko:8	9	8	{Ｂ}［前］（場所）～の中で; （時間）～の間に; （状態）～において; （衣服）～を着て	在…里	안에, 속에
396	energio	scope_zh:9|scope_ko:12	9	12	{Ｂ}活力, 精力; 【理】エネルギー; 【環】エネルギー	精力，干劲；能	에너지, 활력
400	envii	scope_zh:11|scope_ko:12	11	12	{Ｂ}［他］欲しがる, >>avidi; うらやむ, ねたむ, >>ĵaluzi	羡慕，忌妒	질투하거나 부러워하다
