row	batch	esperanto	verdict	target_column	suggested_minimal	reason	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
545	501-600	gento	keep	-	-	現状で意味は成立。過修正回避のため維持。	15	13	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>〜, >>〜, >>〜	种族，氏族，部族	공통 조상을 가진 종족이나 부족
628	601-700	ideo	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	14	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	관념, 생각, 아이디어; (철학) 이데아
652	601-700	infero	keep	-	-	現状で意味は成立。過修正回避のため維持。	15	16	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱；（转）人间地狱；冥界	죽은 자가 가는 지하 세계, 지옥
725	701-800	kanalo	optional_low	Chinese_Trans	运河，水道；（通信）频道；（解）管道；途径	ZHが水路義中心で、通信/解剖/比喩義が未反映。	19	16	{Ｂ}運河, 堀, 水路; 【海】水道; 【通】チャンネル; 【解】管; 《転》伝達手段, 経路	运河；沟渠，水道；海峡	운하, 수로, 【통신】채널, 【해부】관, 경로
797	701-800	kolono	keep	-	-	現状で意味は成立。過修正回避のため維持。	23	21	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱；（排版）栏；（军）纵队	원주, 기둥; (인쇄) 난(欄); (군사) 종대
870	801-900	korpo	keep	-	-	現状で意味は成立。過修正回避のため維持。	16	15	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	신체, 몸; 물체; (수학) 체
872	801-900	korvo	keep	-	-	現状で意味は成立。過修正回避のため維持。	16	16	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo	鸦属鸟类	까마귀
991	901-1000	linio	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	24	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
995	901-1000	litero	optional_medium	Chinese_Trans	文字，字母；（印）活字；字句，文面	ZH「字母」のみでは狭い。JA/KOに合わせて拡張可能。	15	14	{Ｂ}文字, 字; 【印】活字, >>ideografiaĵo; 字句, 文面	字母	글자, 문자
1035	1001-1100	marko	keep	-	-	現状で意味は成立。過修正回避のため維持。	22	19	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크
1061	1001-1100	membro	keep	-	-	現状で意味は成立。過修正回避のため維持。	22	22	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	成员，会员；（解）肢体（手脚等）	구성원; (신체) 사지(손·발)
1167	1101-1200	nigra	keep	-	-	現状で意味は成立。過修正回避のため維持。	22	21	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的；（转）阴暗的，邪恶的，不正的	검은, 흑색의, 《전》음침한, 사악한, 불법적인
1171	1101-1200	nodo	keep	-	-	現状で意味は成立。過修正回避のため維持。	45	42	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点；（航海）节（速度单位）	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드
1218	1201-1300	ordo	keep	-	-	現状で意味は成立。過修正回避のため維持。	25	22	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序；（军）队形；（建）柱式；（生）目	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1228	1201-1300	oro	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	17	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金，黄金；金钱，财富	금, 황금; (비유) 부, 재물
1378	1301-1400	prepari	keep	-	-	現状で意味は成立。過修正回避のため維持。	17	14	{Ｂ}［他］準備する, 用意する, 支度する; 【薬】調合する; 【情】（ディスクを）初期化する, フォーマットする; 覚悟をさせる, 心構えをさせる, >>pretigi	准备；调制；（计算机）格式化	미리 준비하다; (약학) 조제하다; (정보) 포맷하다
1391	1301-1400	princo	optional_low	Chinese_Trans|Korean_Trans	君主，诸侯；王子；公爵；（转）第一人者 / 군주, 왕자, 공작; (비유) 제일인자	転義（第一人者）を軽補完。	13	17	{Ｂ}（小国の）君主, 公; 王子, 皇子, =reĝido; 公爵, >>duko; 《転》第一人者	君主，诸侯；王子，亲王，王侯	군주, 왕자, 공작
1441	1401-1500	radio	keep	-	-	現状で意味は成立。過修正回避のため維持。	21	25	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살
1466	1401-1500	regno	optional_medium	Chinese_Trans|Korean_Trans	国家，王国；（生）界（分类） / 국가, 왕국; (생물 분류) 계(界)	分類学義（界）がZH/KOで欠落。	21	19	{Ｂ}【法】（国際関係上の主権を有する）国, 国家, >>〜, >>〜, >>〜; 【生】（分類学上の）界	国，国家	주권을 가진 국가, 나라
1509	1501-1600	ripo	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	22	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1577	1501-1600	serio	keep	-	-	現状で意味は成立。過修正回避のため維持。	25	22	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	系列；（理）串联；（数）级数	연속, 시리즈; (물리) 직렬; (수학) 급수
1641	1601-1700	spirito	keep	-	-	現状で意味は成立。過修正回避のため維持。	26	25	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍
1659	1601-1700	stranga	keep	-	-	現状で意味は成立。過修正回避のため維持。	22	23	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한
1756	1701-1800	tono	keep	-	-	現状で意味は成立。過修正回避のため維持。	39	36	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤
1786	1701-1800	trunko	keep	-	-	現状で意味は成立。過修正回避のため維持。	27	25	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	树干，躯干；（数）截头体；（建）柱身	나무줄기, 몸통; (수학) 절두체; (건축) 기둥몸체
1832	1801-1900	vazo	keep	-	-	現状で意味は成立。過修正回避のため維持。	27	25	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관
1864	1801-1900	vigla	keep	-	-	現状で意味は成立。過修正回避のため維持。	26	24	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，生气勃勃；警觉的	활발하고 생기 있는; 경계심 있는
1910	1901-2000	ĉelo	keep	-	-	現状で意味は成立。過修正回避のため維持。	23	18	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，囚室；蜂房，细胞；（政）基层组织（细胞）	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포
1959	1901-2000	ŝelo	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	18	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	外皮，壳；（计算机）命令解释器（shell）	껍질; (정보) 셸(명령 해석기)
2070	2001-2100	distrikto	keep	-	-	現状で意味は成立。過修正回避のため維持。	21	21	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区；辖区	행정구역, 관할구; 지구
2094	2001-2100	faktoro	keep	-	-	現状で意味は成立。過修正回避のため維持。	16	14	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素；（数）因数；（商）代理商	요인; (수학) 인수; (상업) 대리인·중개인
2160	2101-2200	kancero	keep	-	-	現状で意味は成立。過修正回避のため維持。	14	15	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	암; (천문) 게자리(황도12궁)
2165	2101-2200	karcero	keep	-	-	現状で意味は成立。過修正回避のため維持。	16	15	{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉	牢房，禁闭室	감옥의 독방, 감방
2249	2201-2300	negativa	keep	-	-	現状で意味は成立。過修正回避のため維持。	21	23	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；（电/数）负的	부정적, 소극적; (전기·수학) 음의, 음극의
2284	2201-2300	pozitiva	keep	-	-	現状で意味は成立。過修正回避のため維持。	31	33	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；（电/数）正的；（摄影）正片的	긍정적; (전기·수학) 양의, 양극의; (사진) 포지의
2313	2301-2400	rubo	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	18	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	瓦砾，垃圾，废料；（转）无价值之物	쓰레기, 파편; (비유) 쓸모없는 것
2323	2301-2400	skeleto	keep	-	-	現状で意味は成立。過修正回避のため維持。	18	18	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼；骨架；（转）提纲	골격, 해골; (비유) 뼈대, 개요
2401	2401-2500	ŝvebi	keep	-	-	現状で意味は成立。過修正回避のため維持。	19	23	{Ｏ}［自］（空中に）浮かぶ, ただよう, 舞う, 滑空する; すべるように動く; 【理】（水中で）漂う, >>flosi, >>sinki; 《転》（心などに）浮かぶ; 《転》宙づりになっている	悬浮；漂浮；滑翔；《转》（心中）浮现	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다
