row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
389	301-400	elekti	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>〜	选择，选举	선택하다, 고르다
391	301-400	elemento	low	scope_zh:12|scope_ko:17	12	17	{Ｂ}要素, 成分; 基本原理, 初歩; 【化】元素; 自然の力, 悪天候; （本来の）生息環境, 活動領域	元素；成分；原理，初步	구성 요소, 성분
396	301-400	energio	low	scope_ko:12	9	12	{Ｂ}活力, 精力; 【理】エネルギー; 【環】エネルギー	精力，干劲；能	에너지, 활력
401	401-500	epoko	low	scope_zh:17|scope_ko:15	17	15	{Ｂ}時代; 【地質】世, >>〜（紀）, >>erao（代）, >>〜（期）	纪元，时代	역사에서 구분되는 일정한 시대
404	401-500	esenco	low	scope_zh:17|scope_ko:17	17	17	{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno	本质，实质，核心	사물·개념의 본질, 핵심
406	401-500	esplori	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する	考察，探索	상세히 조사하거나 탐구하다
412	401-500	etaĝo	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}階（欧州と日米で数え方が異なる）, >>ter〜, >>unua 〜, >>dua 〜	楼层	건물의 층
428	401-500	fako	low	scope_ko:14	9	14	{Ｂ}専門, 部; （棚や箱などの）仕切り, 区画; 科目, 種目; 【遊】（将棋盤の）升目	格子；学科；部门	전문 분야
431	401-500	fali	low	scope_zh:12	12	11	{Ｂ}［自］落ちる, 落下する; 倒れる, 転ぶ; 降る; 《転》滅びる	落下，跌倒	위에서 아래로 떨어지다
453	401-500	fenomeno	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}現象, 事象; 《転》特異現象, 驚くべき事件; 【哲】現象, 外象	表象，现象	현상, 사상
454	401-500	ferio	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}休日, 休業日; （一日の）休暇, 休み, >>festotago, >>libertempo	假日	휴일
464	401-500	figuro	low	scope_zh:19|scope_ko:23	19	23	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람이나 물체의 겉모습, 형태
466	401-500	fiksi	low	scope_zh:13	13	11	{Ｂ}［他］固定する, 取りつける, 据える; 【写】定着する; 取り決める, 定める, 確定する	将…固定在…	단단히 고정하거나 확정하다
488	401-500	flustri	low	scope_zh:12	12	11	{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>〜, >>murmureti	低语，耳语，发潺潺（飒飒）声	작게 속삭이다, 소곤소곤 말하다
498	401-500	formulo	low	scope_ko:12	4	12	{Ｂ}書式; 【理】式; 【数】公式	公式，分子式；格式；说法，用语	공식
504	501-600	fosto	low	scope_zh:13|scope_ko:14	13	14	{Ｂ}【建】柱; くい, 標柱, 電柱, >>〜, >>〜	立柱，桩，路标，电杆	기둥, 말뚝, 표지말뚝
519	501-600	fronto	low	scope_ko:15	9	15	{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線	前线；阵线；前面，正面	정면, 앞부분
522	501-600	frukto	low	scope_zh:22|scope_ko:21	22	21	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果	나무나 식물이 맺는 과일, 열매
524	501-600	fulmo	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき	闪电	번개
530	501-600	funkcio	low	scope_ko:16	9	16	{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数	职能，职务；作用，功能；函数	기능이나 역할
538	501-600	gardi	low	scope_ko:13	10	13	{Ｂ}［他］見張る, 番をする; 守護する, 護衛する; 監視する, 警戒する; 守る, 保存する, 保管する	守卫，看守；保管	지키다, 보호하다
539	501-600	gaso	low	scope_zh:14|scope_ko:19	14	19	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	기체 연료, 가스
545	501-600	gento	low	scope_zh:15|scope_ko:13	15	13	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>〜, >>〜, >>〜	种族，氏族，部族	공통 조상을 가진 종족이나 부족
556	501-600	golfo	low	scope_zh:15	15	11	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>〜	海湾；高尔夫球	바다에 깊게 파고든 육지의 만；골프
557	501-600	gorĝo	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口	喉，咽喉	목구멍, 인후
574	501-600	grundo	low	scope_ko:13	10	13	{Ｂ}土壌, 土地; 地盤, 地面, 土台; 水底; 《転》下地	土，土壤；地基	땅, 토양
589	501-600	haŭto	low	scope_zh:12	12	10	{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの	皮，皮肤	사람이나 동물의 피부, 살갗
590	501-600	hejmo	low	scope_zh:12	12	11	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko	家	집, 가정
592	501-600	hela	low	scope_zh:15|scope_ko:19	15	19	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한
605	601-700	historio	low	scope_ko:12	11	12	{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話	历史；故事	역사, 지나온 과정
607	601-700	hoko	low	scope_zh:16|scope_ko:17	16	17	{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝ〜; 【運】（ボクシングの）フック	钩子，鱼钩	갈고리
613	601-700	horizonto	low	scope_ko:15	11	15	{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位	地平线，水平线；眼界，见识	지평선, 수평선
628	601-700	ideo	low	scope_zh:18|scope_ko:20	18	20	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	생각
642	601-700	imuna	low	scope_ko:12	8	12	{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある	免疫的；免除某项法律责任的；抗…的，防…的	질병에 대한 면역이 있는
652	601-700	infero	low	scope_zh:21|scope_ko:16	21	16	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱	죽은 자가 가는 지하 세계, 지옥
663	601-700	instali	low	scope_zh:12	12	11	{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする	设置，安装，建立	기계나 설비를 제자리에 설치하다
667	601-700	instrumento	low	scope_zh:13	13	10	{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書	用具，仪器	작업이나 연주에 쓰는 도구, 기구
677	601-700	intesto	low	scope_zh:13|scope_ko:12	13	12	{Ｂ}【解】腸; >>大腸, >>小腸	肠	창자, 장(腸)
688	601-700	izoli	low	scope_ko:13	7	13	{Ｂ}［他］孤立させる, 切り離す, 隔離する; 【電】絶縁する; 【化】単離する	隔离，使孤立；使绝缘；隔绝	떼어놓다, 격리·고립시키다
709	701-800	kadro	low	scope_zh:12	12	11	{Ｂ}枠, 額縁; 環境, 場所; 枠組, 範囲; 【政】幹部 / 【情】フレーム（ウェブページの表現技法の一）	边框，环境，范围；干部；（计）框架	둘러싸는 틀, 테두리；간부；（IT） 프레임
710	701-800	kaduka	low	scope_ko:12	4	12	{Ｂ}老朽の, 荒廃した; 老衰した, 老いぼれた; 消えていく, はかない; 【法】（期限切れで）無効の, 失効した	破旧，破败；衰老；不稳定，不可靠；失效，无效	노후하여 몹시 낡고 쇠약한 상태
714	701-800	kajo	low	scope_zh:12|scope_ko:14	12	14	{Ｂ}【海】岸壁, 波止場; 河岸（かし）, 荷揚げ場; 【鉄】プラットホーム	码头，站台，月台	부두
724	701-800	kampo	low	scope_ko:17	10	17	{Ｂ}野原, 田畑; 場, 分野, 範囲; 【理】場; 【情】フィールド	田地，场地；领域，范围；（理）场	밭, 들판
725	701-800	kanalo	low	scope_zh:19|scope_ko:16	19	16	{Ｂ}運河, 堀, 水路; 【海】水道; 【通】チャンネル; 【解】管; 《転》伝達手段, 経路	运河；沟渠，水道；海峡	운하, 수로, 【통신】채널, 【해부】관, 경로
732	701-800	kapo	low	scope_zh:18|scope_ko:16	18	16	{Ｂ}頭, 首, 頭部; 頭脳; 一人, 一頭; 《転》頂上部, 先端, 先頭; 指導者	头，头部	머리, 두뇌, 선두, 지도자
736	701-800	karaktero	low	scope_zh:15|scope_ko:17	15	17	{Ｂ}性質, 性格, 個性, 特徴; 風格, 気骨; 【生】形質; 【心】性格	性质，特征；性格	성격, 성질, 개성
751	701-800	kavo	low	scope_zh:18|scope_ko:16	18	16	{Ｂ}穴, 空洞, くぼみ, へこみ; 【解】腔（こう）, 窩（か）; 【理】（波の）谷, >>〜	坑，腔，膛	움푹 파인 빈 공간이나 구멍
753	701-800	kaĉo	low	scope_zh:14	14	11	{Ｂ}【料】かゆ, ピューレ, かゆ状の食物; 《転》まずい食物; 《転》かゆ状の物	粥，糊	걸쭉한 죽, 묽게 으깬 음식
757	701-800	kaŭzo	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}原因, もと; 理由, 動機, わけ, 根拠; 【哲】原因, 因	原因	원인, 이유
791	701-800	kolegio	low	scope_zh:12	12	11	{Ｂ}【学】（英米などの）カレッジ, 単科大学, 高等専門学校; （仏などの）コレージュ, 中等学校; 【宗】（同じ職能の）集団, 会	学院；专门学校，高等专科学校	단과대학, 전문대학 등 고등 교육 기관
797	701-800	kolono	low	scope_zh:28|scope_ko:28	28	28	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱，栋梁	둥근 기둥, 원주
798	701-800	koloro	low	scope_zh:21|scope_ko:18	21	18	{Ｂ}色, 色彩; 【楽】=son〜（音色）; 【遊】（トランプの）色（赤または黒）; 《転》特色, 個性, 色合い	颜色	사물이나 빛의 색, 색깔
799	701-800	kolumno	low	scope_zh:22|scope_ko:20	22	20	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列	신문의 칼럼, 세로 난
827	801-900	konduki	low	scope_zh:17|scope_ko:16	17	16	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	带领，引领	앞장서서 이끌어 가다
830	801-900	konfesi	low	scope_ko:13	5	13	{Ｂ}［他］告白する, 打ち明ける; 白状する; （信仰を）告白する; 【キ】告解する, ざんげする	公开表明；直言不讳；承认错误；忏悔	고백하다, 자백하다
864	801-900	kordo	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}【楽】弦; 《転》（心の）琴線; 【数】弦	弦，带，索	악기 줄, 현
867	801-900	koridoro	low	scope_zh:13|scope_ko:14	13	14	{Ｂ}廊下, 通廊, 回廊; 【政】回廊地帯; 【車】（道路の）車線	走廊，回廊	건물안의길게난복도
868	801-900	korno	low	scope_zh:18|scope_ko:14	18	14	{Ｂ}【動】角（つの）; 角状のもの; 【楽】ホルン; 角笛（つのぶえ）; 警笛	兽角	동물 머리에 난 단단한 뿔
870	801-900	korpo	low	scope_zh:16|scope_ko:20	16	20	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	사람이나 동물의 몸, 신체
872	801-900	korvo	low	scope_zh:16|scope_ko:16	16	16	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo	鸦属鸟类	까마귀
880	801-900	krado	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}【建】格子; 格子柵; 格子状のもの; 【電】グリッド	栅栏，铁篦子	격자 모양의 창살·철망
900	801-900	krokodilo	low	scope_ko:12	9	12	{Ｂ}【動】ワニ（鰐，総称）; クロコダイル（科）（ナイルワニ、イリエワニなど）, >>aligatoro	鳄属动物；[~i]在讲世界语的环境中说民族语	악어
902	901-1000	krono	low	scope_ko:13	9	13	{Ｂ}冠, 王冠; （栄誉の印としての）花冠, 栄冠; 王権, 王位; 冠状のもの / 【貨】クローネ（デンマーク・スウェーデンなどの通貨）	花冠，冕，王冠；冠状物；（货币）克朗	왕관；（화폐） 크로네
904	901-1000	kruco	low	scope_ko:14	11	14	{Ｂ}【宗】十字架; はりつけ台; 十字形のもの; 《転》苦難	十字架，十字标记、符号、物品	십자가
907	901-1000	kruro	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>〜; 《転》脚部	小腿；腿	사람이나 동물의 다리, 특히 종아리
911	901-1000	kubo	low	scope_ko:15	11	15	{Ｂ}【数】立方体; 【数】立方; サイコロ, =ĵet〜; 立方形の物	立方体；（菜）丁；立方	정육면체 모양의 입체
912	901-1000	kubuto	low	scope_zh:15|scope_ko:16	15	16	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘，肘关节	팔꿈치
922	901-1000	kun	low	scope_zh:13	13	6	{Ｂ}［前］～と共に, ～と一緒に; ～と, ～に対して; ～を連れて, ～を持って; ～と同時に, ～しながら	和…一起	함께, 같이; 동반·동시에 있음을 나타내는 말
938	901-1000	kvadrato	low	scope_zh:13|scope_ko:12	13	12	{Ｂ}【数】正方形; 【数】平方, 二乗; 【軍】方陣	正方形；平方	정사각형；（수학） 제곱
957	901-1000	lango	low	scope_zh:18|scope_ko:15	18	15	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头，口才	입 안의 근육 기관인 혀
959	901-1000	lardo	low	scope_zh:12|scope_ko:14	12	14	{Ｂ}【料】豚の脂身, ラード; （古）ベーコン, >>bekono / >>porkograso	猪脂肪，猪油；（旧）培根	돼지 비계, 라드
968	901-1000	leciono	low	scope_zh:12	12	10	{Ｂ}授業, けいこ, レッスン; 学課, 課業; （教科書の）課; 教訓, 戒め	课，功课	학교에서 듣는 수업이나 강의
980	901-1000	leĝo	low	scope_zh:14	14	11	{Ｂ}【法】法律, 法, 法規; おきて, 戒律, 律法; 【理】法則	法律，准则，法则	국가가 정한 강제력 있는 법이나 규범
986	901-1000	ligi	low	scope_zh:14|scope_ko:15	14	15	{Ｂ}［他］結ぶ, 縛る, つなぐ; 結び合わせる; 《転》束縛する; 関係づける; 団結させる	绑，连，联	묶다, 연결하다
989	901-1000	limo	low	scope_ko:14	11	14	{Ｂ}境界, 境, 端, 果て; 国境; 限界, 限度, 極限; 期限	分界线；范围	경계선
991	901-1000	linio	low	scope_zh:18|scope_ko:24	18	24	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
995	901-1000	litero	low	scope_zh:15|scope_ko:14	15	14	{Ｂ}文字, 字; 【印】活字, >>ideografiaĵo; 字句, 文面	字母	글자, 문자
1002	1001-1100	loko	low	scope_zh:14	14	11	{Ｂ}場所, 所; 部分, 個所; 地方, 土地; 《転》地位, 立場	地点，处所	장소, 사람이나 사물이 있는 곳
1006	1001-1100	ludi	low	scope_ko:13	11	13	{Ｂ}［自］遊ぶ, たわむれる, 自由に動く; ［他］（ゲームなどを）する, （必要な）動作をする; 【楽】演奏する; （役割を）演じる	玩，游戏；演奏	놀다, (게임·악기·역할을) 하다
1031	1001-1100	mantelo	low	scope_zh:13|scope_ko:16	13	16	{Ｂ}【服】マント, 外套, コート, ケープ; 【建】マントルピース; 《転》覆い隠すもの	披风，斗篷；外套	망토, 외투
1032	1001-1100	manĝi	low	scope_zh:17|scope_ko:16	17	16	{Ｂ}［他］食べる; （虫が）食う; 常食とする; 《転》腐食する, むしばむ; 《転》むさぼる	吃	음식을 먹다
1035	1001-1100	marko	low	scope_zh:22|scope_ko:19	22	19	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크
1041	1001-1100	maso	low	scope_ko:13	11	13	{Ｂ}かたまり（塊）; 集積, 総体; 【美】マッス; 【理】質量	一堆，一团，一块；质量	뭉쳐 있는 덩어리나 집단
1043	1001-1100	mastro	low	scope_zh:12	12	9	{Ｂ}主人, 支配人, 雇い主; 持ち主, 所有主; 【生】宿主	主人	집이나 사업체의 주인, 소유자
1048	1001-1100	mato	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}マット, むしろ, ござ, 敷物, >>〜, >>tatamo / 【遊】（チェス・将棋の）詰み, チェックメイト	席子；（国际象棋）将死	돗자리, 깔개；（체스） 체크메이트
1061	1001-1100	membro	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	肢；成员，会员	단체나 조직에 속한 일원, 구성원
1065	1001-1100	menso	low	scope_zh:13|scope_ko:16	13	16	{Ｂ}精神, 心, 知力, >>〜, >>〜, >>〜, >>psiko	精神，心灵；智能，智力	정신, 마음, 지성
1075	1001-1100	metro	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}【単】メートル（長さの単位，m）; メートル尺; 【文】歩格, 韻律	米	길이 단위인 미터
1098	1001-1100	mistero	low	scope_zh:16|scope_ko:15	16	15	{Ｂ}神秘, 不思議, 謎, 秘密; 【キ】玄義; 【宗】秘儀, 奥義	奥秘	신비, 수수께끼
1100	1001-1100	modelo	low	scope_zh:24|scope_ko:26	24	26	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	본보기
1105	1101-1200	modo	low	scope_zh:19|scope_ko:12	19	12	{Ｂ}流行; 【Ｇ】（動詞の）叙法; 【服】モード, ファッション; 【統】モード, 最頻値	时尚，时髦	유행; (문법) 서법; (통계) 최빈값
1107	1101-1200	mola	low	scope_zh:14	14	10	{Ｂ}やわらかい, 柔軟な; 優しい, 柔和な; 弱々しい; 【声】軟音の	软	부드럽고 무른, 딱딱하지 않은 상태
1110	1101-1200	mondo	low	scope_zh:16|scope_ko:15	16	15	{Ｂ}世界; 宇宙, 万物; 世の中, 世間, 社会; ～界; 世人, 世の人々	世界	세계, 세상
1114	1101-1200	montri	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}［他］示す, 見せる, 提示する; 指さす, 指し示す; 教示する, 教える; 表す, 発揮する	出示，指出，表明	보여주다, 가리키다, 드러내다
1120	1101-1200	morti	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}［自］死ぬ, 亡くなる, 死亡する; 枯れる; 無感覚になる; 《転》消える, 滅びる	死亡	죽다, 생명이 끝나다
1131	1101-1200	muso	low	scope_zh:15|scope_ko:12	15	12	{Ｂ}【動】ハツカネズミ（二十日鼠）（属）; 《般》（比較的小型の）ネズミ, >>〜; 【情】マウス	小型鼠类（尤指小家鼠属）；（计）鼠标	작은 집쥐, 생쥐；（컴퓨터） 마우스
1137	1101-1200	nadlo	low	scope_ko:15	6	15	{Ｂ}【機】（レコード・注射器・手術用などの）針, （計器の）指針, 磁針, （小銃の）撃針; エギーユ（鋭くとがった岩峰）, >>kudrilo, >>〜, >>montrilo	针；指针；磁针；击针；唱针；注射针	계기·주사기·나침반 등에 쓰는 바늘, 지침, 자침, 격침
1167	1101-1200	nigra	low	scope_zh:27|scope_ko:21	27	21	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的	검은, 흑색의, 《전》음침한, 사악한, 불법적인
1171	1101-1200	nodo	low	scope_zh:48|scope_ko:42	48	42	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드
