row	batch	esperanto	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
799	701-800	kolumno	scope_zh:10|scope_ko:10	10	10	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列	신문의 칼럼, 세로 난
842	801-900	konscii	ja_mask:paren	-1	0	{Ｂ}［自］意識している, 自覚している（「〜について」または節を補語に取る）	自感；认识到	의식하다, 자각하다
868	801-900	korno	scope_zh:8|scope_ko:8	8	8	{Ｂ}【動】角（つの）; 角状のもの; 【楽】ホルン; 角笛（つのぶえ）; 警笛	兽角	동물 머리에 난 단단한 뿔
870	801-900	korpo	scope_zh:9|scope_ko:9	9	9	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体	사람이나 동물의 몸, 신체
991	901-1000	linio	scope_zh:8|scope_ko:11	8	11	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통
1035	1001-1100	marko	scope_zh:8|scope_ko:9	8	9	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크
1100	1001-1100	modelo	scope_zh:10|scope_ko:10	10	10	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	본보기
1105	1101-1200	modo	scope_zh:9|scope_ko:9	9	9	{Ｂ}流行; 【Ｇ】（動詞の）叙法; 【服】モード, ファッション; 【統】モード, 最頻値	时尚，时髦	유행, 특히 의상·패션의 유행
1171	1101-1200	nodo	scope_zh:19|scope_ko:17	19	17	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드
1218	1201-1300	ordo	scope_zh:14|scope_ko:8	14	8	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1228	1201-1300	oro	scope_ko:8	7	8	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금
1243	1201-1300	paneo	scope_ko:8	6	8	{Ｂ}【機】（故障による）停止; 【海】（縮帆して）停船; 【情】クラッシュ	因故障抛锚；因故障停车；（计）崩溃，死机	고장, 멈춤
1292	1201-1300	periodo	scope_zh:9|scope_ko:9	9	9	{Ｂ}期間, 時期, 時代; 【理】周期; 【地質】紀; 【修】総合文	周期，时期，时代，阶段	기간, 시기
1432	1401-1500	punkto	scope_zh:12|scope_ko:8	12	8	{Ｂ}点; 地点; 句点; 要点; 【数】点; 【印】（活字の）ポイント; 【情】ピリオド, ドット（．）	点，地点	점, 지점, 마침표, 요점, 【수학】점, 【인쇄】포인트
1440	1401-1500	radiko	scope_ko:8	6	8	{Ｂ}根（ね）; 根元（ねもと）; 《転》根本; 【Ｇ】語根; 【数】根（こん）	根；词根；方根	식물의 뿌리, 사물의 근본
1441	1401-1500	radio	scope_zh:9|scope_ko:11	9	11	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살
1462	1401-1500	redukti	scope_zh:8|scope_ko:10	8	10	{Ｂ}［他］削減する, 縮小する, 縮写する; （人を悪い状態に）追いやる; 【写】減力する; 【化】還元する; 【医】整復する	减少，减小，缩小，降低；使成为；使还原	줄이다, 축소하다
1486	1401-1500	revizii	scope_zh:9|scope_ko:10	9	10	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다
1492	1401-1500	reĝimo	scope_zh:8|scope_ko:9	8	9	{Ｂ}【政】政体; 制度, 体制; 【機】作動状態; 【情】モード, >>enŝova, >>superskriba	政体，政治制度；制度	정치 체제, 또는 일정한 지배 제도
1509	1501-1600	ripo	scope_zh:8|scope_ko:10	8	10	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1525	1501-1600	rozo	scope_zh:9|scope_ko:9	9	9	{Ｂ}バラ（の花）; 【植】バラ（薔薇）（属）; 《転》バラの花の形をしたもの; 【建】バラ窓; （羅針盤の）方位盤; （じょうろの）散水口	蔷薇属植物（玫瑰、月季等）	장미, 장미꽃
1577	1501-1600	serio	scope_zh:11|scope_ko:12	11	12	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	一系列，一组；合订本	연속된 것, 일련으로 이어짐
1746	1701-1800	tipo	scope_zh:9|scope_ko:11	9	11	{Ｂ}型, 類型, タイプ; 典型; 原型; 【機】型式; 【印】活字; 【情】字体	典型，典范；类型；字模	유형, 전형이 되는 형식이나 모델
1756	1701-1800	tono	scope_zh:17|scope_ko:17	17	17	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리나 목소리의 높낮이와 어조
1769	1701-1800	tranĉi	scope_zh:9|scope_ko:9	9	9	{Ｂ}［他］切る, 断つ; 切り分ける; 《転》横切って進む; 《転》鋭く刺激する; 【遊】（札を）切る; 【運】（ボールを）カットする	砍，切，剪	무언가를 자르거나 베다
1786	1701-1800	trunko	scope_zh:17|scope_ko:16	17	16	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	（树）干，躯干	나무의 줄기; (인체) 몸통, 체간
1791	1701-1800	tubo	scope_zh:10|scope_ko:10	10	10	{Ｂ}管, 筒, パイプ; 筒型容器, チューブ; 【解】管; 【軍】（砲身の）内筒; 【理】電子管, 放電管	管，筒	속이 빈 관, 통, 파이프 모양의 긴 것
1848	1801-1900	verda	scope_zh:8	8	6	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인
1910	1901-2000	ĉelo	scope_zh:14|scope_ko:13	14	13	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	작은 방, 특히 감옥의 독방; (생물) 세포; (벌집) 벌집 칸
1959	1901-2000	ŝelo	scope_ko:9	7	9	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	皮层，树皮；壳；外壳	껍질, 껍데기
2020	2001-2100	agordi	scope_ko:9	6	9	{Ｏ}［他］【楽】調律する, 音を合わせる; 【通】同調させる; 【情】設定する, セットアップする; 《転》（人を～な）気分にさせる	[乐] 调音；[无线] 调谐；[计] 设置；使产生某种心情	악기의 음을 맞추어 조율하다
2094	2001-2100	faktoro	scope_zh:8|scope_ko:9	8	9	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素，要素；[数] 因子	어떤 결과를 낳는 요인, 요소
2117	2101-2200	frakcio	scope_ko:8	7	8	{Ｏ}【数】分数; 【化】留分; 【政】分派, フラクション	[数] 分数；派别	수학의 분수
2160	2101-2200	kancero	scope_ko:8	7	8	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	악성 종양, 암
2249	2201-2300	negativa	scope_zh:9|scope_ko:11	9	11	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；负的	부정적인, 소극적인
2263	2201-2300	operacio	scope_zh:11|scope_ko:11	11	11	{Ｂ}【医】手術; 【商】操作; 【数】【情】演算; 【軍】=operaco（作戦）	手术；操作；运算	수술; 조작, 운용; 연산
2264	2201-2300	opozicio	scope_zh:8|scope_ko:9	8	9	{Ｂ}（政治上の）反対, 対立; 【政】反対派, 野党; 【天】衝（しょう）; 【理】逆位相	反对；反对派	정치적 반대, 야당
2270	2201-2300	paralela	scope_zh:9|scope_ko:9	9	9	{Ｂ}【数】平行の; 並列の, 平行する; 【電】並列の; 【情】パラレルの, >>seria	平行的	평행한, 나란한
2284	2201-2300	pozitiva	scope_zh:13|scope_ko:11	13	11	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；正的	긍정적인, 【전기】양의, 【수학】양수의
2313	2301-2400	rubo	scope_zh:8|scope_ko:8	8	8	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	垃圾，废料	쓰레기, 파편 따위의 버려진 것
2320	2301-2400	simbolo	scope_zh:8|scope_ko:8	8	8	{Ｏ}象徴, シンボル, >>emblemo; 【化】【数】記号; 【カ】信経	象征，符号	어떤 개념을 드러내는 표시, 상징
2323	2301-2400	skeleto	scope_zh:8|scope_ko:8	8	8	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼	몸의 뼈대가 되는 구조, 해골
2362	2301-2400	tezo	scope_zh:9|scope_ko:9	9	9	{Ｏ}主張, 説; 【論】命題, 定立, 提題; 【政】テーゼ; 【学】=disertacio（学位論文）	论题，论点	논리나 철학에서의 명제
