row	esperanto	column	token	start	end	context	current
793	koleri	Japanese_Trans	pri	16	19	plain	{Ｂ}［自］怒る, 腹を立てる（pri/pro〜）; ［他］まれ
793	koleri	Japanese_Trans	pro	20	23	plain	{Ｂ}［自］怒る, 腹を立てる（pri/pro〜）; ［他］まれ
797	kolono	Japanese_Trans	kolumno	43	50	equal	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=kolumno（欄）; 【軍】縦隊
799	kolumno	Japanese_Trans	vertikalo	47	56	equal	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =vertikalo; 【数】（数の）桁（けた）
803	komedio	Japanese_Trans	tragedio	16	24	antonym	{Ｂ}喜劇, コメディー, ><tragedio; 《転》茶番, 見せかけの芝居, >>farso
842	konscii	Japanese_Trans	pri	21	24	plain	{Ｂ}［自］意識している, 自覚している（pri/keで補語を取る）
851	konstati	Japanese_Trans	konfirmi	31	39	see_also	{Ｂ}［他］（調べて）確認する, 確かめる, 確証する, >>konfirmi
857	kontrakti	Japanese_Trans	pri	9	12	plain	{Ｂ}［自・他］（pri）契約する, 契約を結ぶ
859	kontroli	Japanese_Trans	regi	39	43	see_also	{Ｂ}［他］検査する, 点検する, 照合する, チェックする, 調べる, >>regi
872	korvo	Japanese_Trans	korniko	31	38	see_also	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>korniko, >>monedo
873	kosmo	Japanese_Trans	universo	12	20	see_also	{Ｂ}【天】宇宙, >>universo; 《転》完全体系, ><kaoso
877	kotono	Japanese_Trans	vato	20	24	see_also	{Ｂ}綿（めん）, 綿花; 木綿, >>vato
887	kredito	Japanese_Trans	debeto	30	36	antonym	{Ｂ}【商】信用; 掛け, 信用貸; （簿記の）貸方, ><debeto
907	kruro	Japanese_Trans	piedo	41	46	see_also	{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>piedo; 《転》脚部
923	kuniklo	Japanese_Trans	leporo	26	32	see_also	{Ｂ}【動】カイウサギ, イエウサギ（家兎）, >>leporo
939	kvalito	Japanese_Trans	kvanto	12	18	antonym	{Ｂ}質, 品質, ><kvanto; 特性, 特質
941	kvanto	Japanese_Trans	kvalito	12	19	antonym	{Ｂ}量, 数量, ><kvalito
946	kvieta	Japanese_Trans	trankvila	24	33	see_also	{Ｂ}静かな, おだやかな, おとなしい, >>trankvila
975	leporo	Japanese_Trans	kuniklo	27	34	see_also	{Ｂ}【動】ノウサギ; （一般に）ウサギ（兎）, >>kuniklo
1013	luno	Japanese_Trans	satelito	15	23	see_also	{Ｂ}【天】月; 衛星, >>satelito
1019	maksimumo	Japanese_Trans	minimumo	40	48	antonym	{Ｂ}最大限, 最大量, 最高度, 最高値, 極限; 【数】最大, 極大, ><minimumo
1048	mato	Japanese_Trans	tapiŝo	23	29	see_also	{Ｂ}マット, むしろ, ござ, 敷物, >>tapiŝo, >>tatamo / 【遊】（チェス・将棋の）詰み, チェックメイト
1065	menso	Japanese_Trans	animo	16	21	see_also	{Ｂ}精神, 心, 知力, >>animo, >>spirito, >>intelekto, >>psiko
1065	menso	Japanese_Trans	spirito	25	32	see_also	{Ｂ}精神, 心, 知力, >>animo, >>spirito, >>intelekto, >>psiko
1065	menso	Japanese_Trans	intelekto	36	45	see_also	{Ｂ}精神, 心, 知力, >>animo, >>spirito, >>intelekto, >>psiko
1087	militi	Japanese_Trans	batali	18	24	see_also	{Ｂ}［自］戦争する, 戦う, >>batali
1090	minimumo	Japanese_Trans	maksimumo	28	37	antonym	{Ｂ}最小, 最少, 最低; 【数】最小, 極小, ><maksimumo
1091	ministerio	Japanese_Trans	sub	13	16	see_also	{Ｂ}（政府の）省, >>sub〜
1094	minus	Japanese_Trans	plus	37	41	antonym	{Ｂ}［接］【数】マイナス（引き算・負数）; 《般》～を差し引いて, ><plus
1116	moralo	Japanese_Trans	etiko	27	32	see_also	{Ｂ}道徳, 道義, 倫理, モラル; 道徳論, >>etiko
1119	moro	Japanese_Trans	kutimo	22	28	see_also	{Ｂ}風俗, 慣習, 風習, 習わし, >>kutimo
1131	muso	Japanese_Trans	rato	41	45	see_also	{Ｂ}【動】ハツカネズミ（二十日鼠）（属）; 《般》（比較的小型の）ネズミ, >>rato; 【情】マウス
1136	nacio	Japanese_Trans	regno	29	34	equal	{Ｂ}民族; 国民（全体）; 国民という共同体（統治機構=regno/ŝtatoとは別）
1136	nacio	Japanese_Trans	ŝtato	35	40	plain	{Ｂ}民族; 国民（全体）; 国民という共同体（統治機構=regno/ŝtatoとは別）
1137	nadlo	Japanese_Trans	pinglo	77	83	see_also	{Ｂ}【機】（レコード・注射器・手術用などの）針, （計器の）指針, 磁針, （小銃の）撃針; エギーユ（鋭くとがった岩峰）, >>kudrilo, >>pinglo, >>montrilo
1141	naski	Japanese_Trans	akuŝi	23	28	see_also	{Ｂ}［他］（女性が）生む, 出産する, >>akuŝi; 《転》生み出す, 生じる
1150	neglekti	Japanese_Trans	ignori	57	63	see_also	{Ｂ}［他］（不注意などから）なおざりにする, おろそかにする, 軽視する, 怠る, >>malzorgi, >>ignori
1171	nodo	Japanese_Trans	ventro	70	76	antonym	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><ventro; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜
1175	nordo	Japanese_Trans	sudo	16	20	antonym	{Ｂ}北; 北部, 北方, ><sudo
1197	oferi	Japanese_Trans	dediĉi	56	62	see_also	{Ｂ}［他］【宗】（神に）ささげる, 供える; 犠牲にする, 費やす; （人などに）ささげる, 進呈する, >>dediĉi
1203	okcidento	Japanese_Trans	oriento	16	23	antonym	{Ｂ}西, 西方; 西部, ><oriento
1208	oleo	Japanese_Trans	petrolo	12	19	see_also	{Ｂ}油, 石油, >>petrolo
1223	oriento	Japanese_Trans	okcidento	16	25	antonym	{Ｂ}東, 東方, 東部, ><okcidento; （フリーメーソンの）地方支部
1242	palto	Japanese_Trans	surtuto	31	38	see_also	{Ｂ}【服】オーバー, 外套（がいとう）, 防寒コート, >>surtuto
1249	papilio	Japanese_Trans	nokto	34	39	see_also	{Ｂ}【虫】チョウ（蝶）, ガ（蛾）（チョウ目の昆虫の総称）, >>nokto〜
1276	peki	Japanese_Trans	kontraŭ	46	53	plain	{Ｂ}［自］（宗教的・道徳的に）罪を犯す, あやまちを犯す; （規則・習慣に）反する（-i kontraŭ）
1281	peni	Japanese_Trans	klopodi	31	38	see_also	{Ｂ}［自］努める, 努力する, 苦労する, 骨を折る, >>klopodi, >>strebi
1290	perfekta	Japanese_Trans	plena	35	40	see_also	{Ｂ}完全な, 完璧な, 申し分のない, >>senmanka, >>plena, >>kompleta
1290	perfekta	Japanese_Trans	kompleta	44	52	see_also	{Ｂ}完全な, 完璧な, 申し分のない, >>senmanka, >>plena, >>kompleta
1297	persisti	Japanese_Trans	insisti	33	40	see_also	{Ｂ}［自］根気よく続ける, 頑張る, ねばる, 固執する, >>insisti, >>obstini; 持続する, 長く残る
1302	petrolo	Japanese_Trans	benzino	26	33	plain	{Ｂ}石油; 原油/灯油など（自動車用燃料はふつう benzino）
1319	plado	Japanese_Trans	telero	12	18	see_also	{Ｂ}大皿, 皿, >>telero; （皿に盛った）料理
1328	plej	Japanese_Trans	pli	35	38	see_also	{Ｂ}（la ～）［副］もっとも, 一番, 最～（比較最上級）, >>pli
1340	plus	Japanese_Trans	minus	34	39	antonym	{Ｂ}［接］【数】プラス（足し算・正数）; 《般》～を足して, ><minus
1370	praktiko	Japanese_Trans	teorio	17	23	antonym	{Ｂ}実践, 実行, 実用, ><teorio
1398	procento	Japanese_Trans	interezo	38	46	equal	{Ｂ}パーセント, =elcento; 利率, 利回り; 利息, 利子, =interezo
1415	prosperi	Japanese_Trans	sukcesi	52	59	see_also	{Ｂ}［自］栄えている, 繁栄している, 繁盛している, 繁茂している; うまくいく, 成功する, >>sukcesi
1433	pupo	Japanese_Trans	ganto	13	18	equal	{Ｂ}人形; 指人形, =ganto〜; 【虫】さなぎ（蛹）; 《転》（軽蔑的に）お人形, >>marioneto
1453	rato	Japanese_Trans	muso	49	53	see_also	{Ｂ}【動】クマネズミ（熊鼠）（属）, ドブネズミ（溝鼠）; 《般》（比較的大型の）ネズミ, >>muso
1466	regno	Japanese_Trans	ŝtato	29	34	see_also	{Ｂ}【法】（国際関係上の主権を有する）国, 国家, >>ŝtato, >>lando, >>nacio; 【生】（分類学上の）界
1466	regno	Japanese_Trans	lando	38	43	see_also	{Ｂ}【法】（国際関係上の主権を有する）国, 国家, >>ŝtato, >>lando, >>nacio; 【生】（分類学上の）界
1466	regno	Japanese_Trans	nacio	47	52	see_also	{Ｂ}【法】（国際関係上の主権を有する）国, 国家, >>ŝtato, >>lando, >>nacio; 【生】（分類学上の）界
1469	rekta	Japanese_Trans	vertikala	29	38	see_also	{Ｂ}まっすぐな, 一直線の; 直立した, 垂直の, >>vertikala; 直接の, 直行の, >>senpera
1511	riproĉi	Japanese_Trans	admoni	25	31	see_also	{Ｂ}［他］とがめる, しかる, 非難する, >>admoni, >>kritiki
1511	riproĉi	Japanese_Trans	kritiki	35	42	see_also	{Ｂ}［他］とがめる, しかる, 非難する, >>admoni, >>kritiki
1551	saĝa	Japanese_Trans	prudenta	30	38	see_also	{Ｂ}賢い, 賢明な, 聡明な, 思慮深い, 利口な, >>prudenta, >>inteligenta
1551	saĝa	Japanese_Trans	inteligenta	42	53	see_also	{Ｂ}賢い, 賢明な, 聡明な, 思慮深い, 利口な, >>prudenta, >>inteligenta
1557	sed	Japanese_Trans	tamen	23	28	see_also	{Ｂ}［接］しかし, だが, けれども, >>tamen, >>kontraŭe, >>male, >>kvankam
1557	sed	Japanese_Trans	kvankam	52	59	see_also	{Ｂ}［接］しかし, だが, けれども, >>tamen, >>kontraŭe, >>male, >>kvankam
1560	sekcio	Japanese_Trans	fako	26	30	see_also	{Ｂ}部, 課, 部門, 部会, セクション, >>fako; （文書の）節, 段, （バス路線などの）区間
1570	senco	Japanese_Trans	direkto	21	28	plain	{Ｂ}意味; 意味合い, センス（方向は direkto を用いる）
1577	serio	Japanese_Trans	paralelo	40	48	see_also	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>paralelo; 【数】級数; 【地質】統（とう）
1591	signo	Japanese_Trans	karaktero	37	46	equal	{Ｂ}しるし, 目印; 合図, 身ぶり; 記号, 符号; 【情】文字, =karaktero
1625	sonĝi	Japanese_Trans	pri	13	16	plain	{Ｂ}［自・他］夢を見る（pri〜/ion）
1632	speciala	Japanese_Trans	aparta	20	26	see_also	{Ｂ}特別の, 特殊な, 専門の, >>aparta, >>faka
1641	spirito	Japanese_Trans	menso	45	50	see_also	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo
1641	spirito	Japanese_Trans	animo	54	59	see_also	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo
1641	spirito	Japanese_Trans	fantomo	63	70	see_also	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo
1648	standardo	Japanese_Trans	flago	46	51	see_also	{Ｂ}（国家・軍隊などを象徴する）旗, 国旗, 軍旗, 連隊旗, 団旗; 《転》旗印, >>flago
1649	stango	Japanese_Trans	bastono	22	29	see_also	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto
1649	stango	Japanese_Trans	vergo	33	38	see_also	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto
1649	stango	Japanese_Trans	fosto	42	47	see_also	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto
1652	stato	Japanese_Trans	situacio	21	29	see_also	{Ｂ}状態, 様子, 有様, 身分, >>situacio; 【化】（物質の）態（固体・液体・気体）
1659	stranga	Japanese_Trans	kurioza	41	48	see_also	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>kurioza, >>originala, >>ekstravaganca, >>fremda
1659	stranga	Japanese_Trans	fremda	82	88	see_also	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>kurioza, >>originala, >>ekstravaganca, >>fremda
1665	studi	Japanese_Trans	esplori	19	26	see_also	{Ｂ}［他］研究する, 調べる, >>esplori; （学問を）勉強する, >>lerni
1665	studi	Japanese_Trans	lerni	41	46	see_also	{Ｂ}［他］研究する, 調べる, >>esplori; （学問を）勉強する, >>lerni
1672	sudo	Japanese_Trans	nordo	16	21	antonym	{Ｂ}南; 南部, 南方, ><nordo
1689	surtuto	Japanese_Trans	palto	33	38	see_also	{Ｂ}【服】オーバー（外套）, 外套（がいとう）, コート, >>palto, >>kaftano
1703	talio	Japanese_Trans	kokso	42	47	see_also	{Ｂ}（人体・服の）胴, 胴体; 腰回り, 腰（のくびれた部分）, ウエスト, >>kokso, >>lumbo
1703	talio	Japanese_Trans	lumbo	51	56	see_also	{Ｂ}（人体・服の）胴, 胴体; 腰回り, 腰（のくびれた部分）, ウエスト, >>kokso, >>lumbo
1717	telero	Japanese_Trans	plado	13	18	see_also	{Ｂ}皿, 取り皿, >>plado; （皿に盛った）料理, 一品; 《転》皿状のもの
1727	teorio	Japanese_Trans	praktiko	9	17	antonym	{Ｂ}理論, ><praktiko; 学説, ～論; 空論, 理屈
1728	tereno	Japanese_Trans	kampo	66	71	see_also	{Ｂ}（特定用途に仕切られた）土地, 用地, 敷地, 区画, 地域, ～場; 地所; 《転》領域, 分野, 活動の場, 地歩, >>kampo; 【地質】地層
1743	timi	Japanese_Trans	antaŭ	35	40	equal	{Ｂ}［他］恐れる, 怖がる, おびえる; 心配する, 危惧する, =antaŭ〜
1763	tragedio	Japanese_Trans	komedio	12	19	antonym	{Ｂ}【劇】悲劇, ><komedio; 《転》悲劇的事件
1767	trankvila	Japanese_Trans	kvieta	33	39	see_also	{Ｂ}（心が）平静な, 落ち着いた, 安らかな, 安心した, >>kvieta
1802	tusi	Japanese_Trans	terni	15	20	see_also	{Ｂ}［自］せきをする, >>terni; せき払いをする
1817	vagono	Japanese_Trans	lokomotivo	12	22	see_also	{Ｂ}【鉄】車両, >>lokomotivo
1831	vato	Japanese_Trans	kotono	30	36	see_also	{Ｂ}（衣類や寝具などに詰める）綿（わた）, 脱脂綿, >>kotono / 【理】ワット（仕事率・電力のSI単位，W）
1832	vazo	Japanese_Trans	poto	31	35	see_also	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>poto, >>pelvo, >>kruĉo / 【解】（複合語で）脈管, =angio, >>sangovazo
1832	vazo	Japanese_Trans	pelvo	39	44	see_also	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>poto, >>pelvo, >>kruĉo / 【解】（複合語で）脈管, =angio, >>sangovazo
1832	vazo	Japanese_Trans	kruĉo	48	53	see_also	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>poto, >>pelvo, >>kruĉo / 【解】（複合語で）脈管, =angio, >>sangovazo
1844	ventro	Japanese_Trans	nodo	27	31	antonym	{Ｂ}【解】腹, 腹部; 【理】（定常波の）腹, ><nodo
1855	vetero	Japanese_Trans	klimato	16	23	see_also	{Ｂ}【気】天候, 天気, >>klimato
1860	viando	Japanese_Trans	karno	15	20	see_also	{Ｂ}【料】肉（食肉）, >>karno
1864	vigla	Japanese_Trans	freŝa	37	42	see_also	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>freŝa, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の
1871	vipo	Japanese_Trans	vergo	27	32	see_also	{Ｂ}（皮ひもなどを短い棒につけた）むち（鞭）, >>vergo, >>skurĝo
1880	vojaĝi	Japanese_Trans	migri	43	48	equal	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =migri; 《俗》（幻覚剤で）トリップする, 幻覚状態になる
1897	zorgi	Japanese_Trans	pri	7	10	plain	{Ｂ}［自］（pri）配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける
1923	ĉielo	Japanese_Trans	aero	15	19	see_also	{Ｂ}空, 大空, 天, >>aero, >>firmamento; 【宗】天, 天国, >>paradizo
1923	ĉielo	Japanese_Trans	paradizo	47	55	see_also	{Ｂ}空, 大空, 天, >>aero, >>firmamento; 【宗】天, 天国, >>paradizo
1930	ĉokolado	Japanese_Trans	kakao	28	33	see_also	{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>kakao
1957	ŝati	Japanese_Trans	ami	43	46	equal	{Ｂ}［他］価値を認める, 高く評価する, 尊重する; 好む, 好く, 愛好する, =ami
1962	ŝinko	Japanese_Trans	kolbaso	12	19	see_also	{Ｂ}【料】ハム, >>kolbaso
1967	ŝmiri	Japanese_Trans	lubriki	46	53	see_also	{Ｂ}［他］（油などを）塗る, 塗布する; （機械などに）グリースを塗る, 油を差す, >>lubriki; 《転》買収する
