row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
655	601-700	iniciati	{Ｂ}［他］（新しいことを）始める, 発起する, 創始する	创始，发起	새로운 일을 시작하고 창시하다
656	601-700	injekti	{Ｂ}［他］【医】注射する; 【機】注入する	注射	주사하다
657	601-700	inklina	{Ｂ}傾向のある, 心の傾いた	倾向于…，有…倾向	어떤 쪽으로 기우는 성향
658	601-700	inko	{Ｂ}インク, インキ	墨水，墨汁；油墨	잉크
659	601-700	insekto	{Ｂ}【虫】昆虫	昆虫	곤충
660	601-700	insigno	{Ｂ}記章, バッジ; （～oj）（都市・家などの）紋章	徽章	휘장
661	601-700	insisti	{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>〜	坚持（意见或要求），主张	자신의 주장이나 요구를 굳게 고집하다
662	601-700	inspiri	{Ｂ}［他］（思想・感情を）吹き込む, 鼓吹する, 抱かせる; 霊感を与える	引起，激起，唤起；使获得灵感	영감이나 감정을 불러일으키다
663	601-700	instali	{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする	设置，安装，建立	기계나 설비를 제자리에 설치하다
664	601-700	instigi	{Ｂ}［他］励ます, 勧める; 駆りたてる, そそのかす	激励，鼓励，煽动，怂恿	남을 부추겨 행동하게 하다
665	601-700	instinkto	{Ｂ}本能; 直観	本能，生性，天性	본능
666	601-700	instrui	{Ｂ}［他］教える, 教育する; （出来事が）教示する, 教訓を与える	教，教导	지식이나 기술을 남에게 가르치다
667	601-700	instrumento	{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書	用具，仪器	작업이나 연주에 쓰는 도구, 기구
668	601-700	insulo	{Ｂ}島; 《転》離れ島	岛	섬
669	601-700	insulti	{Ｂ}［他］（言葉で）侮辱する, ののしる, 悪口を言う	骂	말로 모욕하거나 욕하다
670	601-700	intelekto	{Ｂ}知性, 知力, 理解力	智力，才智，悟力	지적 능력, 이해력
671	601-700	inteligenta	{Ｂ}聡明な, 頭のよい, 利口な	理解力强，聪明	총명하고 머리가 좋은
672	601-700	intenci	{Ｂ}［他］意図する, もくろむ, 企てる, ～するつもりである	想，打算，企图	어떤 일을 하려고 마음먹다
673	601-700	inter	{Ｂ}［前］～の間に, ～の間で; ～の中にまじって	在…之间	둘이나 여럿 사이의 관계
674	601-700	interesi	{Ｂ}［他］興味をひく, 関心を持たせる; 関係させる, 利害関係がある	使发生兴趣	흥미를 일으키게 하다, 관심을 갖게 하다
675	601-700	interna	{Ｂ}内部の, 内側の; 国内の; 内心の, 精神的な	内部，内在	안의, 내부의
676	601-700	interpreti	{Ｂ}［他］通訳する; 解釈する, 解明する; （演奏・演劇で）自己の解釈に基づいて演じる	口译；说明，解释	해석하다
677	601-700	intesto	{Ｂ}【解】腸; >>大腸, >>小腸	肠	창자, 장(腸)
678	601-700	intima	{Ｂ}親密な, 親しい, 内輪の; 私的な, 内に秘めた, 心の中の	内心，内在；亲密，亲切	매우 친밀하고 가까운
679	601-700	inundi	{Ｂ}［他］氾濫する, 水浸しにする; 《転》あふれる	泛滥，淹没	물이 넘쳐 땅이나 건물을 잠기게 하다
680	601-700	inventi	{Ｂ}［他］発明する, 考案する, >>elpensi	发明	발명하다
681	601-700	inviti	{Ｂ}［他］招待する, 招く; 勧誘する	邀请	초대하다, 부르다
682	601-700	inĝeniero	{Ｂ}技師, 技術者	工程师，技师	기술전문가
683	601-700	io	{Ｂ}［代］ある物, ある事; 何か	某物，某事	어떤 것, 무엇
684	601-700	iom	{Ｂ}［副］いくらか, 少し	一些，一点儿	조금, 약간
685	601-700	iri	{Ｂ}［自］行く, 行き着く, 向かう; （物事が）運ぶ; （機械が）動く	去，走	가다, 이동하다
686	601-700	ironio	{Ｂ}皮肉, 当てこすり; アイロニー, 反語	反语；用反语讽刺，嘲弄	빈정거리며 비꼬는 표현
687	601-700	iu	{Ｂ}［形］ある, どれかの / {Ｂ}［代］ある人, どれか	某人，某个	어떤 사람, 누군가
688	601-700	izoli	{Ｂ}［他］孤立させる, 切り離す, 隔離する; 【電】絶縁する; 【化】単離する	隔离，使孤立；使绝缘；隔绝	떼어놓다, 격리·고립시키다
689	601-700	ja	{Ｂ}［副］実に, まったく, まさに	确实；诚然	정말그렇다
690	601-700	jako	{Ｂ}【服】背広, （腰丈までの）ジャケット; 上着	夹克，男式短上衣	양복 상의, 짧은 재킷
691	601-700	jam	{Ｂ}［副］既に, もはや	已经	이미, 벌써
692	601-700	januaro	{Ｂ}１月	一月	1월
693	601-700	jaro	{Ｂ}年, 一年; 年度	年	한 해, 1년
694	601-700	je	{Ｂ}［前］（時刻を示す場合や，他に適当な前置詞がない場合に用いる）	通用介词	통용 전치사, 특히 시각 표현에 씀
695	601-700	jen	{Ｂ}［副］（相手の注意を引いて）そらここに, ほらそこに	（用以引起注意）[〜…〜…]一会儿…，一会儿…	상대의 시선을 끌 때 쓰는 감탄사
696	601-700	jes	{Ｂ}［副］はい, そうです	是，对	예, 그렇다
697	601-700	ju	{Ｂ}［副］（相関表現）「～すればするほど」の前半を作る語	越	…하면 할수록, 더 〜할수록
698	601-700	jubileo	{Ｂ}（５０周年などの）記念祭; 【カ】聖年, 大赦	五十年节；一百、五十或二十五周年纪念	25, 50, 100년 등의 기념축제
699	601-700	julio	{Ｂ}７月	七月	7월
700	601-700	juna	{Ｂ}若い, 年の若い, 年少の, 幼い	年轻	나이가 적은, 젊은
