row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
530	501-600	funkcio	{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数	职能，职务；作用，功能；函数	기능이나 역할
531	501-600	furioza	{Ｂ}怒り狂った, 激怒した; 荒れ狂う	暴怒，行为狂暴；猛烈	격노한, 광포한
532	501-600	fuĝi	{Ｂ}［自］逃げる, 逃走する, 逃亡する, 逃避する	逃避，逃走，逃难	도망가다, 달아나다
533	501-600	fuŝi	{Ｂ}［他］仕損じる, 台なしにする	弄糟，拙劣地做，胡乱地做	망치다
534	501-600	gaja	{Ｂ}陽気な, 快活な, 愉快な, にぎやかな, 浮き浮きした	愉快，喜形于外	명랑하고 쾌활한
535	501-600	gajni	{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>〜	赢得，取得	이겨서 얻다, 이득을 차지하다
536	501-600	ganto	{Ｂ}手袋; 【運】（野球の）グローブ	（分指的）手套	손가락끼우는장갑
537	501-600	garantii	{Ｂ}［他］保証する, 責任を持つ, 請合う; 保護する, 守る	担保，保证	보증하다, 책임지다
538	501-600	gardi	{Ｂ}［他］見張る, 番をする; 守護する, 護衛する; 監視する, 警戒する; 守る, 保存する, 保管する	守卫，看守；保管	지키다, 보호하다
539	501-600	gaso	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	가스, 기체 연료; (화학) 기체; (군사) 독가스
540	501-600	gasto	{Ｂ}客, 来客, 訪問客; 招待客, 来賓; （ホテルなどの）客, 宿泊客	客人，顾客	집이나 가게, 호텔 등에 오는 손님
541	501-600	gazeto	{Ｂ}雑誌, 新聞, 定期刊行物	报纸；期刊，杂志	신문, 잡지
542	501-600	ge-	{Ｂ}［接頭辞］（男女を併称する）, >>〜patroj, >>〜knaboj	包括两性的	남녀 양성을 함께 가리키는 〜 접두사
543	501-600	generacio	{Ｂ}世代, 同時代の人々; 【生】世代	代，世代，一代人	동시대의 사람들
544	501-600	genio	{Ｂ}天才, 天分; 【神】守護神	守护神；天才，天资	천재
545	501-600	gento	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>〜, >>〜, >>〜	种族，氏族，部族	공통 조상을 가진 종족이나 부족
546	501-600	genuo	{Ｂ}【解】ひざ, ひざがしら	膝	무릎, 무릎관절
547	501-600	geografio	{Ｂ}地理学; 地理	地理学	지리학
548	501-600	glacio	{Ｂ}氷, 氷塊, 張りつめた氷; 《転》よそよそしい態度, 堅苦しさ	冰；《转》冷淡态度	얼음, 《전》냉담함
549	501-600	gladi	{Ｂ}［他］アイロンをかける	熨，烫	옷을 다리다
550	501-600	glaso	{Ｂ}コップ, グラス	玻璃杯	유리잔
551	501-600	glata	{Ｂ}なめらかな, すべすべした; 《転》平らな; 《転》人当たりのよい	平滑；平坦；流畅	매끄러운, 평탄한
552	501-600	glavo	{Ｂ}刀, 剣; 《転》剣（武力・暴力・権威の象徴）	刀，剑	칼, 검
553	501-600	gliti	{Ｂ}［自］滑る, 滑走する, つるりと滑る; 《転》忍び込む, ひそかに進行する	滑；溜冰	미끄러지다
554	501-600	globo	{Ｂ}球体, 球; （ビリヤード・ボウリングの）球; 【機】玉, 鋼球	球；灯泡	둥근 공 모양의 구체, 공
555	501-600	gluti	{Ｂ}［他］飲み込む, 飲み下す; 《転》飲み込む, むさぼる	咽下，吞	삼키다
556	501-600	golfo	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>〜	海湾；高尔夫球	바다에 깊게 파고든 육지의 만；골프
557	501-600	gorĝo	{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口	喉，咽喉	목구멍, 인후
558	501-600	gracia	{Ｂ}優雅な, 優美な, 上品な	优美，文雅；苗条	우아한, 품위 있는
559	501-600	grado	{Ｂ}程度, 等級, 段階; 【単】（角度・温度などの）度; 【数】次数; 【法】親等	程度，等级；（角度/温度的）度；（数）次数；（法）亲等	정도, 등급, 단계；（각도/온도） 도；（수학） 차수；（법） 친등
560	501-600	grajno	{Ｂ}穀粒; （粒状の）実, 種子; （一般的に）粒; 《転》微量	谷粒，谷物（指果实）；粒状果实	곡식 낟알, 작은 알갱이
561	501-600	gramatiko	{Ｂ}【語】文法; 文法学; 文法書	语法	문법
562	501-600	gramo	{Ｂ}【単】グラム（g）	克	그램
563	501-600	granda	{Ｂ}大きい, 強大な, 多大の, 偉大な	大，伟大	큰, 위대한
564	501-600	grandioza	{Ｂ}雄大な, 堂々たる, 荘厳な	宏伟，壮观，堂皇	웅장하고 장엄한
565	501-600	graso	{Ｂ}脂肪; 油脂; 【機】グリース	脂肪	지방
566	501-600	grati	{Ｂ}［他］ひっかく, かき削る; かく, >>〜	抓，抓破，抓伤；挠，搔	손톱으로 긁어 상처를 내다
567	501-600	gratuli	{Ｂ}［他］お祝いを言う	祝贺，庆贺	축하하다
568	501-600	grava	{Ｂ}重要な, 重大な; 深刻な	重要；严重	중요한, 중대한
569	501-600	graveda	{Ｂ}妊娠した; 《転》はらんだ	怀孕的，妊娠的；孕育着…的，充满…的	임신한
570	501-600	greno	{Ｂ}穀物	谷物，谷类；谷种	곡물
571	501-600	grimpi	{Ｂ}［自］よじ登る; （山に）登る; （つる草が）はい上がる	攀登，爬上	기어오르다, 힘들게 오르다
572	501-600	griza	{Ｂ}灰色の, ねずみ色の; 白髪まじりの; どんよりした, 陰気な	灰色，花白	회색의
573	501-600	grumbli	{Ｂ}［自］ぼやく, ぶつぶつ不平を言う, 愚痴をこぼす	嘟哝，低声抱怨	작게투덜거리며불평하다
574	501-600	grundo	{Ｂ}土壌, 土地; 地盤, 地面, 土台; 水底; 《転》下地	土，土壤；地基	땅, 토양
575	501-600	gruo	{Ｂ}【鳥】ツル / 【機】クレーン, 起重機	鹤属鸟类；起重机，吊车	두루미과 새；기중기（크레인）
576	501-600	grupo	{Ｂ}グループ, 小集団, 群れ	一群，一批；一丛；组	무리, 집단, 떼
577	501-600	gumo	{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =〜; 消しゴム, =frot〜	树胶，树脂；橡胶；橡皮（橡皮擦）	고무, 고무질；지우개
578	501-600	gusto	{Ｂ}味, 風味; 味覚; 趣味, 好み	味；爱好；鉴赏力	맛, 취미, 기호
579	501-600	guto	{Ｂ}しずく, 一滴; 《転》微量	滴	물방울, 한 방울
580	501-600	gvidi	{Ｂ}［他］案内する, 導く; 指導する, 手引きする	领路；引导	길을 안내하다
581	501-600	haki	{Ｂ}［他］（斧で）切る, たたき切る; （話などを）切れ切れにする; 傷める	砍	도끼로 찍어 베다
582	501-600	halo	{Ｂ}ホール, 大広間; 市場, （屋根と柱だけの）市場の建物	敞棚，大厅	대형 홀, 넓은 실내 공간
583	501-600	halti	{Ｂ}［自］止まる, 立ち止まる, 停止する	停止	멈추다, 서다
584	501-600	harmonio	{Ｂ}調和, ハーモニー; 【楽】和声	谐音，和音；和谐，融洽	화음, 조화
585	501-600	haro	{Ｂ}毛（一本）, 髪の毛（一本）	毛，发	털, 머리카락 한 올
586	501-600	haveno	{Ｂ}港, 港湾; 《転》避難所, 休息所	港口	항구
587	501-600	havi	{Ｂ}［他］持っている, ～がある; 所有する	有	가지다, 소유하다
588	501-600	hazardo	{Ｂ}偶然; 運	机遇，巧合；偶然，侥幸	우연한 일
589	501-600	haŭto	{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの	皮，皮肤	사람이나 동물의 피부, 살갗
590	501-600	hejmo	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko	家	집, 가정
591	501-600	hejti	{Ｂ}［他］（炉などに）火をたく; （部屋を）暖房する	给…生火，烧火	방이나 건물을 덥게 하다
592	501-600	hela	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한; (색) 옅은; (소리) 맑은
593	501-600	helikoptero	{Ｂ}【空】ヘリコプター, >>aŭtogiro	直升飞机	헬리콥터
594	501-600	helpi	{Ｂ}［他］手助けする, 助力する, 手伝う, 介助する; 援助する; 役立つ	帮助	돕다, 도와주다
595	501-600	hepato	{Ｂ}【解】肝臓	肝	간
596	501-600	herbo	{Ｂ}草; 牧草, 芝草; 【植】草本	草	풀, 목초
597	501-600	heredi	{Ｂ}［他］相続する; 《転》受け継ぐ; 遺伝として受け継ぐ	继承，承袭；受遗传	재산이나 권리를 상속받다
598	501-600	heroldo	{Ｂ}布告者, 使者, 先触れ; 【史】（王の）伝令官	传令官；传播者	전령관, 포고자
599	501-600	heroo	{Ｂ}英雄, 勇士; （物語の）主人公; 【神】（ギリシャ神話の）半神, 神人	英雄；主人公	영웅, 이야기의 주인공
600	501-600	heziti	{Ｂ}［自］ためらう, 躊躇（ちゅうちょ）する	踌躇，犹豫，迟疑	주저하거나 망설이다
