row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans	batch_start	score_max
1910	1901-2000	ĉelo	low	scope_zh:25|scope_ko:18	25	18	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	작은 방, 특히 감옥의 독방; (생물) 세포; (벌집) 벌집 칸	1901	25
1959	1901-2000	ŝelo	low	scope_zh:16|scope_ko:22	16	22	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	皮层，树皮；壳；外壳	껍질, 껍데기	1901	22
2070	2001-2100	distrikto	low	scope_zh:24|scope_ko:24	24	24	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区	행정구역, 관할구	2001	24
2094	2001-2100	faktoro	low	scope_zh:17|scope_ko:17	17	17	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素，要素；[数] 因子	요인, 요소; (수학) 인수	2001	17
2160	2101-2200	kancero	low	scope_zh:14|scope_ko:17	14	17	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	악성 종양, 암	2101	17
2165	2101-2200	karcero	low	scope_zh:16|scope_ko:15	16	15	{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉	牢房，禁闭室	감옥의 독방, 감방	2101	16
2249	2201-2300	negativa	low	scope_zh:23|scope_ko:28	23	28	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；负的	부정적인, 소극적인	2201	28
2284	2201-2300	pozitiva	low	scope_zh:36|scope_ko:34	36	34	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；正的	긍정적인, 【전기】양의, 【수학】양수의	2201	36
2313	2301-2400	rubo	low	scope_zh:23|scope_ko:20	23	20	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	垃圾，废料	쓰레기, 파편 따위의 버려진 것	2301	23
2323	2301-2400	skeleto	low	scope_zh:24|scope_ko:20	24	20	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼	몸의 뼈대가 되는 구조, 해골	2301	24
2401	2401-2500	ŝvebi	low	scope_zh:19|scope_ko:23	19	23	{Ｏ}［自］（空中に）浮かぶ, ただよう, 舞う, 滑空する; すべるように動く; 【理】（水中で）漂う, >>flosi, >>sinki; 《転》（心などに）浮かぶ; 《転》宙づりになっている	悬浮；漂浮；滑翔；《转》（心中）浮现	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다	2401	23
2434	2401-2500	agordo	low	scope_zh:12	12	10	{Ｂ}【楽】調律; 【通】同調; （心の）調和	（各种乐器的）和音	악기 음을 맞춤	2401	12
